Orthogroup	V_vinifera.proteins	A_vesiculosa.proteins
OG0000072	VIT_206s0004g01710.1, VIT_206s0004g01690.1, VIT_218s0072g00800.1, VIT_204s0044g00560.1, VIT_213s0064g01340.1	Av_00011117-RA
OG0000077	VIT_203s0038g02050.1	Av_00007275-RA
OG0000078	VIT_206s0061g00475.1, VIT_207s0005g05300.1, VIT_219s0015g01980.1, VIT_219s0015g01970.1, VIT_219s0015g02010.1, VIT_219s0015g01960.1	Av_00010544-RA, Av_00010545-RA, Av_00022246-RA, Av_00022245-RA, Av_00022244-RA, Av_00013117-RA, Av_00013118-RA, Av_00001791-RA, Av_00001793-RA, Av_00001792-RA
OG0000079	VIT_212s0134g00020.1, VIT_212s0134g00020.2, VIT_212s0134g00030.1	Av_00009274-RA
OG0000085	VIT_211s0016g01060.1	Av_00009790-RA, Av_00008760-RA
OG0000085	VIT_209s0002g01110.1	Av_00021920-RA, Av_00004097-RA
OG0000085	VIT_208s0056g00150.1	Av_00005421-RA, Av_00002984-RA
OG0000085	VIT_211s0065g00470.2, VIT_211s0065g00470.1	Av_00001099-RA, Av_00004396-RA, Av_00008240-RA
OG0000085	VIT_206s0004g00220.2, VIT_206s0004g00220.1	Av_00018975-RA
OG0000087	VIT_208s0007g05390.1	Av_00020511-RA, Av_00000692-RA, Av_00020453-RA, Av_00013146-RA
OG0000087	VIT_201s0026g00940.1	Av_00000897-RA, Av_00006442-RA, Av_00007520-RA
OG0000088	VIT_211s0118g00750.1, VIT_211s0118g00740.1, VIT_219s0014g00800.1, VIT_219s0014g00710.1, VIT_219s0014g00750.1, VIT_219s0014g00750.2, VIT_219s0014g00810.1, VIT_219s0014g00790.1, VIT_219s0014g00790.2, VIT_219s0014g00680.3, VIT_219s0014g00680.2, VIT_219s0014g00680.1	Av_00002335-RA, Av_00019465-RA
OG0000088	VIT_210s0003g01900.1, VIT_210s0003g01980.1, VIT_210s0003g01980.4, VIT_210s0003g01980.2, VIT_210s0003g01980.3, VIT_210s0003g01920.1, VIT_210s0003g01920.2, VIT_210s0003g01960.4, VIT_210s0003g01960.1, VIT_210s0003g01960.3, VIT_210s0003g01960.2	Av_00003725-RA
OG0000089	VIT_209s0002g05490.1, VIT_209s0002g05490.4, VIT_209s0002g05400.1, VIT_209s0002g05370.1, VIT_209s0002g05360.1, VIT_209s0002g05600.1	Av_00023663-RA, Av_00018159-RA, Av_00004150-RA
OG0000089	VIT_211s0016g04590.1	Av_00007975-RA
OG0000090	VIT_204s0044g01620.4, VIT_204s0044g01620.3, VIT_204s0044g01620.6, VIT_204s0044g01620.5, VIT_204s0044g01620.2, VIT_204s0044g01620.1, VIT_204s0044g01620.7	Av_00025073-RA, Av_00025074-RA, Av_00016490-RA, Av_00022968-RA, Av_00016491-RA
OG0000090	VIT_200s0780g00040.1	Av_00014172-RA, Av_00010636-RA
OG0000090	VIT_214s0066g00290.1, VIT_214s0066g00290.2, VIT_214s0066g00290.3	Av_00007702-RA, Av_00000317-RA, Av_00001990-RA
OG0000091	VIT_205s0062g00240.1, VIT_205s0062g00480.1, VIT_205s0062g00610.1, VIT_205s0062g00250.1	Av_00024182-RA, Av_00022189-RA
OG0000091	VIT_211s0052g01250.1	Av_00011058-RA, Av_00016851-RA
OG0000091	VIT_211s0052g01230.1	Av_00004488-RA
OG0000091	VIT_211s0052g01200.1, VIT_211s0052g01340.1, VIT_211s0052g01270.1, VIT_211s0052g01180.1, VIT_211s0052g01190.1, VIT_211s0052g01300.1, VIT_211s0052g01260.1, VIT_211s0052g01320.1, VIT_211s0052g01280.1, VIT_211s0052g01330.1, VIT_211s0052g01220.1	Av_00007950-RA, Av_00006833-RA, Av_00010055-RA
OG0000092	VIT_219s0027g00830.1	Av_00005802-RA
OG0000092	VIT_213s0084g00060.1	Av_00002090-RA
OG0000093	VIT_213s0064g01740.1	Av_00008996-RA, Av_00019964-RA, Av_00006037-RA
OG0000095	VIT_209s0054g01830.1, VIT_209s0054g01830.2, VIT_209s0054g01830.4, VIT_209s0054g01830.3	Av_00016560-RA
OG0000095	VIT_203s0017g01780.2, VIT_203s0017g01780.5, VIT_203s0017g01780.3, VIT_203s0017g01780.1, VIT_203s0017g01780.4	Av_00022745-RA, Av_00014819-RA
OG0000095	VIT_203s0017g01810.4, VIT_203s0017g01810.1, VIT_203s0017g01810.2, VIT_203s0017g01810.3, VIT_203s0017g01810.5, VIT_203s0017g01810.6	Av_00015892-RA, Av_00013399-RA
OG0000096	VIT_212s0055g00180.1, VIT_212s0055g00200.1, VIT_212s0034g00080.1, VIT_212s0034g00040.1, VIT_212s0034g01120.1, VIT_212s0034g00060.1, VIT_212s0055g00250.1, VIT_212s0055g00060.1, VIT_212s0055g00190.1, VIT_212s0055g00320.1, VIT_212s0055g00310.1, VIT_212s0055g00280.1, VIT_212s0055g00030.1, VIT_212s0055g00050.1, VIT_212s0055g00020.1, VIT_212s0034g00030.1, VIT_212s0055g00070.1, VIT_212s0055g00225.1, VIT_212s0055g00170.1, VIT_212s0055g00160.1, VIT_212s0034g00140.1, VIT_212s0034g00130.1, VIT_212s0034g00160.1, VIT_203s0017g01990.1, VIT_203s0017g01996.1, VIT_203s0017g02146.1, VIT_203s0017g01992.1, VIT_203s0017g02140.1	Av_00015889-RA
OG0000096	VIT_206s0004g06380.1, VIT_206s0004g06400.1, VIT_206s0004g06390.1, VIT_206s0004g06370.1	Av_00006885-RA, Av_00009973-RA
OG0000097	VIT_203s0017g00090.1, VIT_212s0057g00745.1, VIT_209s0096g01010.1, VIT_219s0085g00150.1, VIT_218s0089g00680.1, VIT_219s0015g00030.1, VIT_212s0057g00820.1, VIT_216s0013g01710.1	Av_00021109-RA
OG0000098	VIT_218s0001g14360.1	Av_00009967-RA
OG0000098	VIT_210s0003g05320.1	Av_00000865-RA, Av_00023933-RA, Av_00002780-RA
OG0000098	VIT_202s0025g03540.1, VIT_217s0000g02450.1	Av_00020806-RA, Av_00006102-RA
OG0000098	VIT_208s0040g00980.1, VIT_208s0040g00980.2, VIT_206s0009g02020.1	Av_00020288-RA, Av_00020594-RA, Av_00006724-RA, Av_00013130-RA, Av_00020473-RA, Av_00003512-RA
OG0000098	VIT_216s0050g00380.1	Av_00006162-RA, Av_00008431-RA
