"","LT_NP_Time5_1","LT_NP_Time5_2","LT_NP_Time5_3","LT_NP_Time5_4","LT_NP_Time60_1","LT_NP_Time60_2","LT_NP_Time60_3","LT_NP_Time60_4","LT_NP_Time1440_1","LT_NP_Time1440_2","LT_NP_Time1440_3","LT_NP_Time1440_4","LT_P_Time5_1","LT_P_Time5_2","LT_P_Time5_3","LT_P_Time5_4","LT_P_Time60_1","LT_P_Time60_2","LT_P_Time60_3","LT_P_Time60_4","LT_P_Time1440_1","LT_P_Time1440_2","LT_P_Time1440_3","LT_P_Time1440_4"
"Dm_00000842-RA",0.801382944349102,11.7473734918138,1.48081537771341,6.50908653404094,9.83273084321615,7.03268222665468,0.840992767690591,0.855477304658741,102.12348367417,54.294762759674,2.26085492842184,114.285714448685,1.63777970852678,0.464009470042497,1.35570940483294,3.46079941505929,2.85512152515373,4.50278626405693,1.49129150819091,1.27481809336527,273.318559771632,300.282047401674,113.239790144489,18.8308919429675
"Dm_00000864-RA",178.54812000098,155.489540801369,124.758695572355,225.903591475539,215.277213158293,240.64959494334,245.065292505038,249.69243829727,142.972877143838,236.828584227911,118.468798249304,162.447120309748,95.7077517170337,221.332517210271,141.979748578868,165.497202797066,483.174411949093,470.541164593949,668.098595669528,355.815894503728,411.198738524802,481.189674319895,307.812026249107,253.922808543453
"Dm_00000575-RA",90.5562727114485,104.421097705012,88.1085149739482,100.316510112866,104.733481557287,132.741877028107,120.598362886831,112.495265562624,125.212271287461,96.5240226838648,112.289128111618,107.517084435778,88.9519104193607,77.7215862321183,91.9417469095794,77.6461407224841,65.997232177592,86.3972114415924,75.2273716354081,60.7663291170778,105.974021686321,111.580214335048,117.619229542342,109.16032673189
"Dm_00000603-RA",25.4839776303014,14.194742969275,13.0805358364685,34.842757329278,27.8594040557791,24.1748451541255,25.2297830307177,22.0285405949626,18.1411902675855,18.2706185794458,11.7564456277936,15.3595834908255,11.8739028868192,16.7043409215299,11.5851530958451,17.4814739683764,103.003999638238,85.2715148755781,67.1081178685909,50.8510772797924,45.0918648342717,76.3011759791139,13.1383181935594,126.814287928422
"Dm_00000608-RA",285.93343454376,174.252706795238,157.33663388205,271.084309770646,337.590425617088,645.028822975984,447.912748072009,432.550712168076,214.015300569347,194.944052956163,315.615348007689,176.244712259133,207.281494360421,208.804261519124,200.398499296215,214.214609947516,684.021230007022,426.638998519394,471.413815644793,645.341248152462,288.294919211174,604.46119787755,458.589868375194,326.009816762625
"Dm_00001138-RA",60.9051037705317,64.610554204976,59.9730227973933,56.6673415904741,50.5044811492466,37.8006669682689,49.9549704008211,47.9067290608895,57.2145231516157,68.0839088573689,44.9156512446472,53.6283762561026,58.5506245798324,64.2653116008859,57.8025191696954,49.9597454020098,32.5044604402117,40.2436522350088,46.3957358103839,27.4794122347624,45.7430108968604,46.1499048260769,35.6611493825185,53.8445816494227
"Dm_00001147-RA",14.9057227648933,8.4842141885322,17.2761794066565,14.1668353976185,11.173557776382,0.219771319582959,7.90533201629155,5.7744718064465,3.42525970087278,2.06837191465425,6.33039379958115,5.72730231861289,20.3698851248018,8.12016572574371,14.6663108341018,10.7373520313378,2.85512152515373,1.40712070751779,3.97677735517576,1.1331716385469,1.95343818776628,4.92265651478154,3.75380519815984,7.06158447861282
"Dm_00000748-RA",514.968680038733,467.773886125419,661.18406614904,634.827380790581,646.725524096989,391.41272017725,636.967922248853,618.723960594435,611.218564400187,803.217760190732,571.996296890726,479.27107129847,613.757945770411,608.548419960735,605.755611341264,544.144154183169,1345.64073727822,1012.2826369883,1191.21051693161,1019.99612114703,932.441161627105,729.988939004479,808.319386003753,454.001035437482
"Dm_00000749-RA",51.4487850272123,54.9842342602952,40.9692254500711,46.7122680678232,50.0575388381913,91.2050976269279,64.9246416657136,68.652053698864,57.5951075628238,31.1979430460349,46.4228878635951,43.7357631603166,29.2753122899162,39.208800218591,40.6712821449882,30.7035025028337,41.7286992137853,30.1123831408807,37.6136858177041,38.5278357105948,44.1151457403885,58.8667674892626,60.6865173702508,38.2502492591528
"Dm_00000764-RA",0.16027658886982,0,0.493605125904472,1.14866232953664,1.63878847386936,0,2.18658119599554,2.45949725089388,0,0,0,0,0,0,0,0.177476893079964,3.73362045597026,3.93993798104982,1.49129150819091,4.81597946382435,0.32557303129438,0.615332064347692,0.625634199693307,0
"Dm_00000758-RA",5.93023378818335,1.79473761680489,5.05945254052083,8.04063630675646,3.87350002914575,12.5269652162286,6.72794214152472,8.98251169891678,1.64919911523504,1.89600758843306,10.8521036564248,6.50829808933283,9.9290394829436,5.10410417046747,4.56011345261989,6.03421436471877,28.111965786129,13.7897829336744,7.62215659742021,36.8280782527744,3.2557303129438,5.53798857912923,4.37943939785315,4.70772298574188
"Dm_00000239-RA",346.998814903161,419.968602332344,398.586139167861,369.869270110797,673.840024301009,448.553263268819,565.988132655767,611.131599515588,378.427766211241,408.158724491771,299.337192523052,176.505044182706,303.603413468152,346.847078856767,414.84707787888,318.925976864695,932.856052160805,621.103080298353,946.307311475365,1068.29756224009,588.63604058024,536.97978148742,657.541543877666,194.487805848461
"Dm_00001113-RA",164.604056769306,115.842155266497,144.256098045582,197.95280812348,155.833885787941,230.100571603358,301.580006493846,293.321780834866,109.481448957526,46.7107324059417,89.2284078417153,90.0748455563664,107.581654603853,161.475295574789,162.931621199013,100.36318303672,280.680408395882,196.996899052491,247.22299224676,169.409159962762,204.459863652871,180.702516230106,199.577309702165,94.7429250880553
"Dm_00001118-RA",29.9717221186564,27.5736961127296,37.3905882872637,30.6309954543103,31.2859617738696,24.3946164737084,28.7619526550182,29.6209016738089,34.2525970087278,41.1950739668637,45.2170985684368,35.6654735295439,53.4325629906862,26.6805445274436,29.3326216682036,30.7922409493737,60.9458633253969,61.3504628477757,55.1777858030637,48.0181481834251,38.9059772396784,37.945477301441,32.532978384052,21.4789861224473
"Dm_00001295-RA",65.3928482588867,63.9579223443196,47.6328946497815,107.974258976444,68.9780966728648,152.741067110156,181.990834928244,156.231542763303,76.6243281232281,62.7406147445121,38.1330864593817,35.1448096823973,42.3775499581304,88.625808778117,70.0039038131918,50.1372222950898,145.61119778284,92.0256942716636,120.463214050532,132.014495890714,131.857077674224,432.168219860196,172.049404915659,127.696985988248
"Dm_00000003-RA",22.278445852905,17.9473761680489,20.6080140065117,21.4416968180172,28.0083848261308,16.4828489687219,17.4926495679643,18.3927620501629,19.156082030807,10.6865882257136,18.5390104130591,17.9629027265586,16.2754358534849,25.0565113822949,14.0500792864505,15.5292281444968,12.8480468631918,19.136841622242,13.0902254607869,25.4963618673054,27.3481346287279,63.1740919396964,73.1992013641169,27.9521052278424
"Dm_00000018-RA",50.1665723162538,59.5526572848895,89.3425277887094,78.4919258516702,57.2086158150758,39.9983801640985,45.9182051159062,46.7304477669837,71.5498693071203,93.0767361594411,69.0314371478135,97.6244713399925,81.0700955720756,81.201657257437,79.4938696470224,92.1992459550412,60.2869891272845,65.5718249703291,50.3725131655596,57.7917535658921,66.2541118684064,44.7141300092657,46.922564976998,66.7908198602129
"Dm_00001084-RA",3.04525518852659,5.22105488525058,2.34462434804624,22.9732465907327,48.1207888236184,43.7344925970088,24.5569888165652,32.5081375770322,16.238268211545,0.861821631105936,8.89269605179257,5.72730231861289,9.72431701937776,10.4402130759562,7.1482859527555,7.45402950935848,45.9015691351638,56.5662524422152,33.6369084625283,118.983022047425,34.5107413172043,50.4572292765108,31.9073441843587,9.12121328487489
"Dm_00001083-RA",11.7001909874969,5.22105488525058,9.00829354775661,24.5047963634483,13.4082693316584,59.5580276069818,47.0955949906731,51.1147689533598,9.64147175060487,6.89457304884749,12.2086166134779,11.7149365607991,8.39362100619975,10.2082083409349,10.9689215481938,10.1161829055579,35.2497695990134,28.9866865748665,39.9334726082232,31.8704523341317,20.511100971546,21.5366222521692,45.6712965776114,15.8885650768788
"Dm_00001097-RA",29.9717221186564,23.3315890184635,20.6080140065117,32.5454326702047,39.1819426025128,30.9877560611972,32.798717939933,28.0168817275738,22.7082032020825,26.716470564284,28.3360484362204,19.7852261915718,30.1965633759625,35.9607339282935,22.6773209535692,17.9251662010763,48.9763153930217,46.1535592065836,69.0965065461788,58.0750464755289,76.9980219011209,39.3812521182523,49.4251017757713,23.2443822421005
"Dm_00000673-RA",30.9333816518753,26.7579062869092,23.3228421989863,32.5454326702047,26.5185771226132,53.8439732978249,55.8419197746552,51.1147689533598,24.6111252581229,34.989958222901,28.1853247743256,16.4009111851187,19.5509952705384,35.4967244582511,30.441838453976,22.8057807607753,52.4903111162878,54.5962834516903,75.7244688048051,51.4176630990658,43.9523592247413,118.553977730989,105.732179748169,37.3675511993262
