"","p-value","R-squared","p.valor_beta0","p.valor_Time","p.valor_Time2","p.valor_Time3","p.valor_Time4","p.valor_Time5","p.valor_Time6"
"Dm_00018756-RA",1.77444477233635e-09,0.678024191494235,0.000220670013028078,NA,0.00336337725575334,0.00366981342296234,0.00385763375994673,0.00400558181624779,NA
"Dm_00018264-RA",2.82476922906517e-12,0.728946262406793,5.15824115033813e-10,0.00130837623656517,0.00316417699049855,0.00366158725674931,0.00381545001229008,0.00387510724284028,0.00390334594482264
"Dm_00016992-RA",8.1210414769706e-11,0.665050386722431,8.44668994020544e-32,NA,NA,0.00216024814476224,0.00988323320963054,NA,NA
"Dm_00017385-RA",2.93140993767384e-15,0.685008157055199,NA,0.0161558661941039,NA,0.0247430575151203,0.0270111710994838,0.0283751974356468,0.0292160604700231
"Dm_00018803-RA",1.44455730925274e-05,0.603082479450334,1.41822966643048e-12,0.000895240362580285,NA,0.00154709955630545,0.00159363997778835,0.00160086954783144,0.00159824548847393
"Dm_00018915-RA",1.22322200727266e-14,0.653673478246323,3.18253032990452e-20,NA,NA,4.81772717072274e-05,NA,NA,NA
"Dm_00016896-RA",5.78896588814508e-07,0.656072156153358,1.75405692528839e-17,0.000953535535399043,0.000155439885047244,9.88639462561516e-05,8.36245736188512e-05,7.76716621270958e-05,7.48266990953471e-05
"Dm_00018846-RA",1.55462130019176e-12,0.716394855991035,1.1716436155966e-28,0.000227316938908979,0.00124450077318825,NA,NA,0.00350162816981822,0.00399534078636277
"Dm_00018843-RA",1.53620451920302e-07,0.626134654346976,6.2664506565703e-30,NA,NA,0.000946880165733472,0.00149717148615325,0.00187899869493845,0.00212932133426907
"Dm_00015273-RA",7.66893173792625e-06,0.603665843649004,2.33163094937842e-07,0.0095428615028123,0.0174077844075516,0.0190013120050925,0.0191765186031062,0.0191276134395764,0.019061154567218
"Dm_00018806-RA",5.78708927238699e-13,0.771596104476378,6.69469627156809e-24,2.89707759723823e-05,0.000121455604955016,0.000214899857226211,0.000281870880589215,0.000323721772669317,0.000349470157707621
"Dm_00018660-RA",2.81026056044985e-06,0.627148699420404,1.99902506748704e-18,0.000274228574905646,0.000910965909644112,0.00137688585483945,0.0016593251732455,0.00182175455016147,0.00191753179709227
"Dm_00017025-RA",4.92879415948206e-11,0.729709071558749,3.66180300525053e-22,0.00213558294601251,0.00278880540524399,0.00345250953334913,0.00391702073019702,0.00420776495226086,0.0043886461823609
"Dm_00016188-RA",1.94027750470877e-11,0.708654388984176,2.24576132496706e-11,NA,4.23451175234998e-05,0.000107314892391858,0.000205200396932479,0.00031035237376902,NA
"Dm_00005516-RA",1.98892324519843e-15,0.766024181082458,8.86034114450426e-13,0.00980639715834796,0.00206507135921438,0.0017083698316123,0.00164256790522468,0.00162473956565285,0.0016187098344384
"Dm_00005520-RA",4.43789624455332e-19,0.826135880278242,5.28695506786322e-16,5.15695123953576e-05,0.000154821204293666,0.000280757703776635,0.00037798553414401,0.000440996181595935,0.000480556155008305
"Dm_00005515-RA",3.84021214526247e-09,0.70378671695919,6.71067564956757e-12,0.0327049105836298,0.00942872855379376,0.00792992336499592,0.00759369151604771,0.00748062000420337,0.00743240732808806
"Dm_00006860-RA",3.24761115793045e-06,0.60412081427841,NA,0.0108219995640528,NA,0.0241245021305801,0.0256936200339842,0.0264673201758254,0.0268986805171469
"Dm_00006760-RA",9.34795221171868e-14,0.75417648748606,7.48509297993869e-30,NA,0.0088577803773015,0.0139741340868232,0.0162991857977105,0.0176354485352478,NA
"Dm_00006155-RA",2.68557985690113e-12,0.68113093178808,2.35991605429812e-28,1.18184905994158e-07,NA,NA,NA,NA,NA
"Dm_00006179-RA",3.05315444046421e-18,0.72293372740191,0.000294010314944003,1.96417944602971e-05,0.000227740869240023,NA,NA,0.000708159408105436,0.000770688206185752
"Dm_00005580-RA",3.81355428090048e-08,0.669208741912875,7.71005695266467e-18,NA,0.000114537134076755,0.000127680254808052,0.000135437568576538,0.000139414303133489,0.000141520611199617
"Dm_00005708-RA",5.57062280470808e-10,0.651679593503937,5.58432655537557e-18,0.000835683282723557,0.00503549288079392,NA,0.00960742147274024,0.0106420633894943,NA
"Dm_00006224-RA",4.74926034337969e-07,0.664617121255517,4.82843321157116e-20,0.0109989585730441,0.0173738378828624,0.0212618481618934,0.0232785062692363,0.0243305078203805,0.0249117132717266
"Dm_00006219-RA",4.05092377390071e-08,0.712905275601275,1.32401471965075e-17,0.000492467196622978,0.000967181261034,0.00136342398155625,0.00162238848838132,0.00177723536268516,0.00187044230730258
"Dm_00006393-RA",2.09320702444591e-11,0.741966180492571,8.46157108818815e-20,0.00453621562949175,0.00299783346830266,0.00191023518258859,0.00150510421910474,0.00131910962329539,NA
"Dm_00006175-RA",6.47608118299732e-08,0.674431956450364,3.89745900599864e-23,3.17223133194645e-05,0.000222216830869,0.000396789603495297,0.000498242288157334,0.000553127831451739,0.000583975772206933
"Dm_00006177-RA",8.96726622856996e-09,0.670623388151928,3.08389291021785e-24,NA,0.0201254107395041,0.0115048273983783,0.00873608021433543,0.00767864127852674,NA
"Dm_00006404-RA",5.61209692202966e-16,0.767565004002906,1.36478880173454e-12,NA,9.21767512735561e-07,1.85386184105623e-06,2.58394077691463e-06,3.06108643535442e-06,3.36302280148194e-06
"Dm_00005782-RA",5.18145421722829e-11,0.749876703173431,7.65355539518151e-13,0.0309790030305689,0.00546766604817337,0.00240376717707357,0.00158779150324594,0.0012738456463563,NA
"Dm_00006917-RA",2.0789569997952e-07,0.626624260824586,4.51860226231582e-27,0.00398908366676284,0.0163521388720801,0.0252561547519951,0.0315692339863289,NA,NA
"Dm_00006914-RA",1.34960536316871e-15,0.722455014660712,2.03364066963969e-37,4.02640174438756e-08,NA,NA,NA,NA,NA
"Dm_00006372-RA",8.65806723469709e-21,0.826196462845031,1.11038124621476e-25,0.0178943850092995,0.017801820526159,0.0205245957886613,0.0221940380318488,0.0233241933986403,NA
"Dm_00005281-RA",7.70320667737053e-08,0.688203553344459,6.171354052612e-18,0.0140500438787065,0.0194172575903246,0.0245513203794984,0.0277458691499236,0.0296057136344908,0.0307134532317631
"Dm_00005549-RA",7.99682364983882e-11,0.636521979109343,3.67097652470455e-25,NA,NA,0.0107833504076814,0.0399094922036067,NA,NA
"Dm_00006579-RA",1.0358165379554e-09,0.615365171240459,4.91904530076017e-33,NA,2.94280549303735e-06,NA,NA,NA,NA
"Dm_00006102-RA",3.57788479860155e-06,0.637057360121038,2.20273199198628e-24,0.0011258884200013,0.00071682739650642,0.000773198300084688,0.000825586873854884,0.000858289055754433,0.000878164241576369
"Dm_00004895-RA",2.87503841614719e-09,0.66442475492804,8.23760552948915e-10,NA,9.29599710694296e-05,0.000199605454709838,0.000288449012027515,0.000353576901696512,NA
"Dm_00005804-RA",1.09757389989809e-09,0.728437773909884,3.01212575002408e-16,0.000527668260342046,0.000215208148652103,0.000183117863473484,0.000173568921779475,0.00016979089833713,0.000168008889494511
"Dm_00017797-RA",9.85611596239987e-12,0.684381462419578,9.22495407578409e-19,0.00595693075111843,0.0248560694316739,0.0336500267703549,0.0383015347875759,NA,NA
"Dm_00021072-RA",2.95689206648153e-08,0.665853482292788,NA,0.000477194142333954,0.00263709926578711,0.00470015406400231,0.00621577034772178,NA,NA
"Dm_00011712-RA",2.18130703384430e-10,0.659455250823008,9.83174539192336e-25,0.000493911580196988,0.00151758290099101,0.00207549759555604,0.00249941233290002,NA,NA
"Dm_00009066-RA",3.15527172663953e-08,0.699939875747974,1.31395417675512e-20,2.08462414863091e-05,4.39963788330261e-05,6.61817405113349e-05,8.11733104933073e-05,9.02533552560472e-05,9.57584845051112e-05
"Dm_00011332-RA",4.13441229454748e-10,0.657728957382763,1.68928722587671e-25,NA,0.00156146791180505,0.00286219201033309,0.00364712721080475,0.00412661789440926,NA
"Dm_00011333-RA",2.72216124737697e-14,0.732180822555325,4.14046532681381e-21,NA,0.000139910409125206,0.000323198813406525,0.00047066606650735,0.000578385427283021,NA
"Dm_00011381-RA",5.7768499816658e-24,0.797408142176672,4.44877446109408e-13,NA,0.00116248348963511,0.00386354080516134,0.00618316985668593,0.00779172159180363,NA
"Dm_00011201-RA",1.84818186410546e-05,0.609398619765647,2.20865178198506e-11,0.0171141654310159,0.0235738312395381,0.0280884568575918,0.0305380006122355,0.0318508214599555,0.0325911512101215
"Dm_00010505-RA",5.62290702638619e-22,0.843185943111516,1.86817731310181e-15,7.96536651371127e-07,4.36475208328945e-07,4.02201144782979e-07,3.977700414882e-07,3.9974375368534e-07,NA
"Dm_00011452-RA",5.25234679480395e-08,0.636960162629969,1.0789282017517e-15,NA,0.00166198088062184,0.0025052804764326,0.00298102505065673,0.0033021541475729,NA
"Dm_00011900-RA",4.78826405786969e-12,0.631522429335294,1.08345155860362e-18,5.67172558053519e-07,NA,NA,NA,NA,NA
"Dm_00011901-RA",6.69610851285554e-15,0.768510968168758,4.84875152120763e-11,NA,0.00162833195234945,0.00187703861963783,0.0019853230572272,0.00204202119438259,0.00207448528295506
"Dm_00012445-RA",1.44917647449441e-06,0.609788679103842,3.02228832791531e-23,NA,0.0351904916931777,0.0272448950916435,0.0242862804882925,0.0229267245191677,0.0222108135230315
"Dm_00012014-RA",2.60672765418617e-16,0.812380579713252,3.91609448557654e-17,6.15941073813702e-07,2.37963316925147e-06,3.98326664383045e-06,4.98871550954893e-06,5.56580044012629e-06,5.90294791436685e-06
"Dm_00010089-RA",3.50130036123712e-08,0.636737727442096,0.00218055645028615,NA,0.000264253913924304,0.00015039108447074,0.000120446454590162,0.000109013927155118,0.000103585966906083
"Dm_00010864-RA",1.04972138709184e-09,0.701497008143899,2.40248872369406e-24,0.00136149101407198,0.00286876665707385,0.00392646207807151,0.00453120500307454,0.00486610989191432,0.00505867779243634
"Dm_00009547-RA",1.65753269351076e-12,0.644886776634693,NA,0.00140406342520549,0.00393813150833296,0.00652318063082637,0.00859793282628871,0.0101241880183008,NA
"Dm_00011642-RA",3.96452319095734e-23,0.768912591810006,9.78159570509186e-19,1.2707858987382e-05,0.000136442497646239,NA,NA,0.000371826999967488,0.000410428289377496
"Dm_00011643-RA",3.08827254871994e-05,0.607805690864934,1.84930933373416e-18,0.000202953673570251,0.000668317021408426,0.000984487198877911,0.00115624165136781,0.00124806166924274,0.00129985487342228
"Dm_00010091-RA",1.00855265050502e-10,0.63315420220921,2.36655029452713e-30,NA,NA,1.28266158540563e-06,NA,NA,NA
"Dm_00010090-RA",1.90991132815801e-07,0.683154728455314,2.9556970837786e-14,0.0154505154193218,0.0149148433813703,0.0160516730058819,0.0167480031574044,0.0171234524622724,0.0173340706904861
"Dm_00011580-RA",7.39315494355387e-08,0.607525548084822,2.16639502936792e-29,0.00058972753261122,0.010955629107368,NA,NA,NA,NA
"Dm_00015223-RA",1.76715517354705e-12,0.72935533779189,8.98913515471726e-21,NA,0.00403609682237938,0.00410064845517849,0.00422332516665365,0.00430105522300575,0.00434762525040977
"Dm_00013162-RA",5.25561402406877e-12,0.741116411646968,1.02370719913275e-11,0.0171222150932362,0.0148000511593735,0.0142852921341688,0.0133880945804546,0.0127047121691255,NA
"Dm_00013164-RA",3.50617515620982e-07,0.606555513096232,1.50641022720749e-18,NA,0.00361250351737319,0.00605300216546471,0.00736428945116544,NA,0.00847843243010224
"Dm_00014995-RA",4.10113038342153e-07,0.62269012409802,3.67853782857352e-22,NA,NA,0.0136341252693929,0.0483949070209831,NA,NA
"Dm_00013505-RA",3.41895794471832e-10,0.63936225834227,NA,NA,0.024978766091464,0.0258860065408305,0.0255629391378538,0.0251077907530895,0.0248389715429844
"Dm_00014758-RA",5.3513326985106e-12,0.752342468742564,3.33101089362591e-08,0.00116514673808391,0.00106010766941644,0.00128821913799632,0.00147131262337597,0.00158952825781265,0.00166363218799341
"Dm_00015630-RA",2.98080985165746e-10,0.658683937699836,1.07528632530328e-24,0.00390334644622466,NA,NA,0.0230882894862127,0.0238160419569074,0.0242403510256067
"Dm_00014753-RA",5.82145516726114e-13,0.720380200830263,1.48953588304807e-20,NA,0.00203043245772383,0.00346978664875308,0.00424351779869032,0.00470193976456903,NA
"Dm_00014449-RA",1.85437230594662e-22,0.841433103507459,0.00200774242880005,0.00234300472705101,0.013754625520645,0.0280429151122835,0.0383747057572397,0.044708812280983,0.0485416747080033
"Dm_00012516-RA",4.05756687049084e-22,0.850689189164451,6.32778571449721e-21,2.17321820011574e-06,4.37774073825071e-07,3.64803409201661e-07,3.59904203087184e-07,3.6342145773613e-07,3.67168542791624e-07
"Dm_00015695-RA",1.16528805585174e-06,0.625665512122067,7.20827086340042e-18,0.0221521991481917,0.0341511466502346,0.0415501357606284,0.0466442956084741,0.0497938136725909,NA
"Dm_00014668-RA",4.81841622790261e-11,0.745465543614727,3.73003167256015e-09,0.000229454667702308,0.000160946976489263,0.000185299806715738,0.000204990081524758,0.000217277038767227,0.000224798299930107
"Dm_00014667-RA",8.9335037421777e-06,0.607308682879129,1.8037460208769e-08,0.0115986716104977,0.0118845914398986,0.0137780104699488,0.0150031043383975,0.0157142482941779,0.0161338832451678
"Dm_00015464-RA",3.90002131106061e-15,0.774495076276789,5.92392124542061e-14,0.00166301792731499,0.00356556581824751,0.00568962169687469,0.00723644355719041,0.00821122953193298,0.008815418068431
"Dm_00013427-RA",3.75880675348565e-08,0.70466486977311,1.70199026289645e-18,0.000106455673503198,0.000175447378672625,0.00023228402298341,0.000269246185775436,0.000291584123376295,0.000305230787462373
"Dm_00014692-RA",5.3301727067469e-11,0.660293907674066,6.58349643175056e-18,3.38814866835918e-05,NA,NA,0.000873974978144016,0.00101650246351815,0.00110777415433645
"Dm_00015782-RA",6.09355728094628e-15,0.698158871726316,1.40651025209226e-14,0.000123194899629231,NA,NA,0.00638202415456417,0.00717821404942792,0.0076256317275261
"Dm_00015239-RA",2.33029934564639e-13,0.751596523309017,8.74860287312813e-27,0.0119157814988894,0.0251073284607549,0.0304217192415,0.034033083795711,0.0365979690726015,NA
"Dm_00014621-RA",1.58057910022018e-07,0.671362084818189,1.78188137525974e-16,9.10547159688436e-05,0.000113463667439705,0.00014326157441571,0.000164067395406603,0.000176862583057601,0.000184701842153656
"Dm_00015665-RA",3.35721497369651e-09,0.673722223438425,2.99632083204181e-26,NA,0.0202473949896351,0.0314528868316385,0.0363400605393082,0.0387460519498636,NA
"Dm_00015505-RA",6.85341933165201e-09,0.656161210440225,NA,NA,0.0196292704197552,0.0263673496244275,0.030319371200251,0.032594379716375,0.0339530595632196
"Dm_00005597-RA",8.40101842819312e-34,0.883823372276301,0.0131269778436143,1.71073407931031e-07,4.2443691579656e-07,7.48409865561344e-07,1.00817986186598e-06,1.18151771563528e-06,1.29258629022759e-06
"Dm_00005956-RA",1.41204063077649e-12,0.743821002183361,1.73990140525783e-19,NA,0.0215103279043728,0.0262857510184873,0.0261967280052047,0.0257050079491656,NA
"Dm_00005376-RA",3.4013583783391e-06,0.641676656324109,2.17928919671508e-14,0.00415434420278644,0.0022895268016676,0.00205490893191055,0.00200288133567018,0.00198868366564668,0.00198436989315274
"Dm_00005301-RA",7.80174465534614e-08,0.670894421476814,1.34188295363646e-10,0.000280693794321357,NA,0.00214829950336047,0.00268017426930363,0.00296874052412119,0.00313185686495634
"Dm_00005298-RA",1.57878439509764e-19,0.782885627770712,1.83240496627117e-14,0.00274983964260862,0.0168335489050378,0.0257690930588593,0.0319708205690548,NA,NA
"Dm_00005483-RA",1.1663570087923e-13,0.756153856982044,7.70093582542439e-21,0.00231650132075967,0.00594480115195184,0.00929763256525093,0.0115047947634301,0.0128192453584301,0.0136073986485741
"Dm_00005337-RA",8.14535182684191e-21,0.78229234694633,6.04978686026999e-34,NA,1.15414275635816e-05,0.000236095445056194,NA,NA,NA
"Dm_00005285-RA",6.98137024343733e-12,0.724189110526666,2.00201470521052e-13,NA,0.00050754980252297,0.000898349308723836,0.00111829031901925,0.00124406429350459,NA
"Dm_00005287-RA",3.18519496542091e-09,0.659942066379171,9.14553787693556e-22,NA,0.0254853811296486,0.0354016973267414,0.038553443240769,0.0398575674494526,NA
"Dm_00005286-RA",3.68058422153572e-08,0.658350368346552,3.1325616146628e-09,0.00395371303111598,0.00645841696004096,0.00723115542732619,0.00754121973349701,0.00768356044407692,0.00775749333753008
"Dm_00005289-RA",1.3197876099608e-11,0.620572821950949,9.42828190303876e-22,6.02859041178143e-07,NA,NA,NA,NA,NA
"Dm_00004988-RA",2.39486526585154e-06,0.642017284543409,4.43620343556408e-13,NA,5.33042813302473e-05,6.29881510610379e-05,6.90977619945007e-05,7.26978873177825e-05,7.4874446681819e-05
"Dm_00004620-RA",7.48424087493233e-08,0.669961713158872,2.54360151651735e-20,0.0103985879362269,0.0215222991042387,0.0306265695520288,0.0361581064563342,0.0393087909663321,0.0411519038511473
"Dm_00006045-RA",4.85663661756986e-10,0.677060663292144,1.35590799452252e-28,0.00496342782711471,0.0114114208380714,0.0483512666826646,NA,NA,NA
"Dm_00006038-RA",6.05295199435254e-08,0.610723261455301,6.50152142273002e-22,NA,3.85059647090041e-05,5.43765279008006e-05,6.3715839242631e-05,6.86783423395032e-05,NA
"Dm_00006044-RA",1.21171620560635e-09,0.660841281061415,1.0713744726806e-28,0.0010272982581474,0.00447459780076862,0.00556421291196477,NA,NA,NA
"Dm_00005236-RA",3.90821287436146e-08,0.628438749437944,4.82873665705853e-22,NA,0.0197861476998647,0.0270799451932797,0.0292830544794783,0.0299590871654232,NA
"Dm_00004643-RA",1.01799608839004e-07,0.632621891510848,7.19456054966574e-10,0.00242197700382772,0.00259774397499166,0.00251106900642019,0.00254886508760541,0.00259977460367979,NA
"Dm_00004635-RA",1.02048033116376e-22,0.832083814595644,1.50174290738365e-10,0.00280789226862572,0.00149960369039838,0.00166592140086213,0.00185311901323185,0.00198341993353524,0.00206806287632544
"Dm_00004639-RA",1.00933304427995e-08,0.639072811647647,3.08909778353199e-15,NA,0.0031058840852744,0.00321828897078445,0.00305506934392852,0.00294697577981781,NA
"Dm_00004637-RA",1.25177700166118e-26,0.863711295276292,1.75163755035934e-13,0.000483307756574502,0.00065385929289694,0.000913837875682539,0.00110322932322819,0.00122330796318097,0.00129825447611674
"Dm_00004630-RA",1.37065262534317e-07,0.674572941506138,2.60275528796485e-05,0.00407323755186052,0.0025177350304553,0.00266790747046499,0.00284812012411305,0.0029720916812901,0.00305218934775785
"Dm_00005373-RA",2.42870846438455e-21,0.799377549870604,1.7115049788389e-10,NA,0.00117326335343879,0.00166370741771895,0.00178079503335604,0.00180482136314073,NA
"Dm_00005375-RA",1.60032008169208e-11,0.685097513237724,4.7908821365555e-07,0.00225317191132933,0.017509310831106,0.0338999198838595,0.0472610935788823,NA,NA
"Dm_00005374-RA",3.13660878620694e-21,0.76093437452494,0.00557234375210644,NA,1.50812499995683e-05,2.76831860268759e-05,3.56910323405273e-05,4.06286194778751e-05,NA
"Dm_00004385-RA",5.05171410743003e-07,0.637519246807302,4.24130038239709e-15,0.00127602623065692,NA,NA,0.00101595574680893,0.00104007288336255,0.00107452190800841
"Dm_00005454-RA",3.57204270225441e-08,0.633531871196029,1.269582487578e-27,NA,0.0393726273525796,0.0366887911890304,0.0343011378824222,0.0331230698324273,NA
"Dm_00005444-RA",4.69195945763374e-10,0.701598358034915,1.39410660256078e-23,NA,0.00735887431959914,0.0131090495070898,0.0161202470291051,0.0177920353444897,NA
"Dm_00005452-RA",1.79764464770098e-14,0.718508562919482,2.97974359723874e-31,NA,NA,NA,NA,0.00153952455939726,0.00322037738945164
"Dm_00004839-RA",5.40484144412533e-06,0.629021956619649,1.34520504589913e-10,0.0255043709116507,0.0112679760999716,0.0102176513279611,0.0101193128672863,0.0101550252902226,0.0102009013788319
"Dm_00004836-RA",3.95204283556262e-17,0.818611452950597,6.62986853210954e-23,1.31365192790891e-07,5.93831902739205e-07,1.05378757662403e-06,1.3654993043206e-06,1.55260457599751e-06,1.66484425678674e-06
"Dm_00005681-RA",1.1446025907332e-15,0.79004611687081,6.29668950718938e-21,2.51193567645756e-05,0.000164669911872433,0.000309533164450011,0.000407525930667481,0.000466050191451075,0.000501052567703994
"Dm_00003959-RA",5.28605691356628e-08,0.601244256487882,NA,0.0037772429262349,0.00468543493793337,0.00551904630344664,0.00609584316790336,0.00648446020078435,NA
"Dm_00004943-RA",4.1867760670158e-09,0.690276328981647,5.78880672339687e-08,1.21545682717242e-05,1.72185171248132e-05,2.32469488700797e-05,2.73180952270748e-05,2.97513806544818e-05,3.12071914935241e-05
"Dm_00005767-RA",6.63857148573789e-17,0.812957969143829,4.47286083042436e-18,1.3953845526358e-05,8.80980880180345e-06,1.00438961083404e-05,1.11334534166341e-05,1.18328896307642e-05,1.22670312920524e-05
"Dm_00005765-RA",4.04662971719091e-15,0.741837701639395,3.09952963809905e-33,NA,NA,NA,NA,5.72651479940073e-05,0.000115769067383388
"Dm_00005769-RA",2.5518620701328e-25,0.756261471741193,0.000276277373366976,NA,NA,1.67015624104118e-06,1.88645256893232e-06,1.99182538112873e-06,2.04556170216964e-06
"Dm_00005369-RA",6.39179928379485e-08,0.644452483809358,2.53690879010582e-23,NA,0.00448071362687384,0.00366580628548274,0.00344695518204572,0.00336769911350833,0.00333285889702971
