"","beta0","betaTime","betaTime2","betaTime3","betaTime4","betaTime5","betaTime6"
"Dm_00000856-RA",4.6031917416389,-0.0185323051406385,0.000108227866655358,-2.00578209757549e-07,1.48285393428937e-10,-4.49720628387993e-14,4.65394901561925e-18
"Dm_00000859-RA",4.38922052376074,0,2.52270587989307e-06,-3.31166324217588e-09,1.28149226483573e-12,-1.49938933154515e-16,0
"Dm_00000571-RA",5.25433446760241,0.00953005870522714,-6.71553581881371e-05,1.33746542338265e-07,-1.02299637554374e-10,3.1565215046281e-14,-3.29766597056074e-18
"Dm_00000586-RA",2.87772670790894,-0.0166237697044862,0.000114770174766307,-2.27787546626644e-07,1.73603644255745e-10,-5.34281920064185e-14,5.57224109600878e-18
"Dm_00000587-RA",4.06564612803887,0,1.42597728243255e-06,-1.86170517191051e-09,7.26869310206493e-13,-8.57539461797703e-17,0
"Dm_00000616-RA",3.846763038608,0.00171260878218634,-1.36661658421941e-06,0,2.02412329576364e-13,-3.41708078649454e-17,0
"Dm_00000608-RA",5.12235745649853,0.0284622229690418,-0.000182544071845646,3.49637442264528e-07,-2.62038449495181e-10,7.99748229991561e-14,-8.30329076839121e-18
"Dm_00001138-RA",4.04759009807901,-0.0143808707695258,0.000106384551822856,-2.14003770349862e-07,1.63878702136978e-10,-5.05443904368346e-14,5.27740384587482e-18
"Dm_00001147-RA",2.78049110769095,-0.0527208426046415,0.000363357564400978,-7.22734732110614e-07,5.52372639508163e-10,-1.70355129497346e-13,1.77913953361153e-17
"Dm_00001154-RA",3.5065491618382,0,5.64557179694821e-06,-6.37670394248021e-09,2.32306403510826e-12,-2.65023868838662e-16,0
"Dm_00000745-RA",3.62436828580134,0.0265490570280767,-0.000195656780882709,3.91969665521433e-07,-2.99757987014596e-10,9.24163118886384e-14,-9.64834148503957e-18
"Dm_00000751-RA",3.89616399238293,0,4.13571544514236e-05,-1.09683431563342e-07,9.2716586163207e-11,-2.99073708493073e-14,3.19657264708631e-18
"Dm_00000764-RA",-3.81394757167269,0.129195558001287,-0.000865361384084543,1.69471962593342e-06,-1.285359424547e-09,3.94832935213543e-13,-4.11436958411662e-17
"Dm_00000757-RA",4.75803784169919,-0.0043455483665781,1.18225996055317e-05,-1.03946581644809e-08,3.44280621597953e-12,-3.74119298163633e-16,0
"Dm_00000758-RA",1.61773489931324,0.0342385210459258,-0.00021112583712896,3.99460296345046e-07,-2.98832675614299e-10,9.12387418389555e-14,-9.47882189046917e-18
"Dm_00000761-RA",5.09812726469717,0,-3.87815297908895e-06,4.38703914907619e-09,-1.58813333658908e-12,1.79747981086819e-16,0
"Dm_00000759-RA",3.90226481349514,0.0083117912431833,-7.78534943415303e-05,1.65063498400259e-07,-1.28931515091689e-10,4.01275131303038e-14,-4.20956017137045e-18
"Dm_00000170-RA",3.48240833428344,0,6.32652869462455e-06,-7.49365142922554e-09,2.79365666373439e-12,-3.22555855269192e-16,0
"Dm_00000177-RA",4.32077881461047,0,-2.35705767081878e-05,6.61947409934465e-08,-5.79192770334307e-11,1.90493383059518e-14,-2.05933623895191e-18
"Dm_00000182-RA",0,0.00359027230069645,0,0,-2.53154811890828e-12,1.35155679665954e-15,-1.79187434553268e-19
"Dm_00000192-RA",3.97923504826077,0,7.14891720275259e-06,-8.59062372962898e-09,3.21427692764311e-12,-3.71226095775516e-16,0
"Dm_00000191-RA",4.08395798450398,-0.0378248729268118,0.000264769740955436,-5.25021171574302e-07,3.99817413199799e-10,-1.23001410615641e-13,1.28259352012694e-17
"Dm_00000204-RA",4.38079644974202,0,-4.28738710862782e-07,2.53085780450412e-10,-3.86422734461056e-14,0,0
"Dm_00000218-RA",1.01424992703723,0,1.1294948033909e-05,-1.37014255499136e-08,5.16077095160955e-12,-5.98625050901505e-16,0
