target_id	length	eff_length	est_counts	tpm
Dm_00011200-RA	603	404.816	88	67.2921
Dm_00011194-RA	834	635.622	213	103.734
Dm_00011196-RA	2163	1964.62	2	0.31513
Dm_00011199-RA	1188	989.622	292	91.3382
Dm_00011195-RA	414	217.678	1	1.42208
Dm_00011197-RA	1131	932.622	9.547	3.16884
Dm_00011198-RA	1170	971.622	426.453	135.867
Dm_00009322-RA	408	211.85	2	2.92241
Dm_00009173-RA	930	731.622	152	64.3126
Dm_00010234-RA	318	127.279	0	0
Dm_00008901-RA	750	551.622	6	3.36704
Dm_00008900-RA	894	695.622	13	5.78508
Dm_00010652-RA	777	578.622	74	39.5891
Dm_00010647-RA	1941	1742.62	5	0.88819
Dm_00010650-RA	657	458.726	176	118.768
Dm_00010649-RA	1995	1796.62	98	16.8853
Dm_00010651-RA	1341	1142.62	69	18.6933
Dm_00010648-RA	723	524.676	10	5.89995
Dm_00010646-RA	528	330.009	1	0.938022
Dm_00010164-RA	408	211.85	45	65.7541
Dm_00010421-RA	828	629.622	35	17.2079
Dm_00010420-RA	1392	1193.62	65	16.8572
Dm_00009801-RA	1734	1535.62	0	0
Dm_00009800-RA	1716	1517.62	8	1.63179
Dm_00009798-RA	1611	1412.62	59	12.929
Dm_00009799-RA	1467	1268.62	19	4.63618
Dm_00009312-RA	519	321.009	0	0
Dm_00007301-RA	1323	1124.62	45	12.3864
Dm_00007300-RA	966	767.622	0	0
Dm_00007299-RA	822	623.622	25	12.4096
Dm_00009192-RA	321	129.985	293	697.77
Dm_00009194-RA	267	83.8149	15	55.3999
Dm_00009195-RA	1416	1217.62	88	22.3722
Dm_00009193-RA	1752	1553.62	271	53.9962
Dm_00010289-RA	672	473.726	0	0
Dm_00008947-RA	786	587.622	15	7.90191
Dm_00008948-RA	1254	1055.62	11	3.2257
Dm_00009414-RA	570	371.974	93	77.3944
Dm_00014138-RA	990	791.622	76	29.719
Dm_00014137-RA	843	644.622	46	22.0898
Dm_00015402-RA	885	686.622	0	0
Dm_00016788-RA	492	294.312	0	0
Dm_00016474-RA	294	106.187	0	0
Dm_00016149-RA	858	659.622	1	0.469293
Dm_00014645-RA	1107	908.622	24	8.17649
Dm_00014644-RA	407	210.85	0	0
Dm_00016366-RA	666	467.726	27	17.8695
Dm_00016532-RA	933	734.622	0	0
Dm_00015810-RA	1704	1505.62	34	6.9904
Dm_00015512-RA	567	368.974	70	58.7275
Dm_00016139-RA	741	542.622	10	5.70482
Dm_00016783-RA	624	425.816	0	0
Dm_00015341-RA	264	81.3241	356	1355.1
Dm_00016642-RA	858	659.622	30	14.0788
Dm_00016029-RA	1644	1445.62	21.358	4.57346
Dm_00016643-RA	588	389.936	0	0
Dm_00016275-RA	1719	1520.62	149	30.3322
Dm_00016772-RA	975	776.622	0	0
Dm_00016771-RA	2292	2093.62	50	7.39283
Dm_00013961-RA	444	247.038	3	3.75921
Dm_00016305-RA	1212	1013.62	260	79.4029
Dm_00016708-RA	3150	2951.62	34	3.5658
Dm_00013640-RA	597	398.897	0	0
Dm_00016809-RA	1104	905.622	160	54.6905
Dm_00015837-RA	1077	878.622	29	10.2173
Dm_00015838-RA	408	211.85	12	17.5344
Dm_00015839-RA	522	324.009	2	1.91078
Dm_00015990-RA	1080	881.622	0	0
Dm_00016743-RA	1443	1244.62	343.63	85.4659
Dm_00016742-RA	321	129.985	42.3697	100.902
Dm_00016468-RA	5718	5519.62	79	4.43054
Dm_00014482-RA	321	129.985	0	0
Dm_00014481-RA	1055	856.622	0	0
Dm_00016789-RA	948	749.622	22	9.08489
Dm_00015909-RA	405	208.977	0	0
Dm_00015496-RA	369	174.571	0	0
Dm_00016839-RA	660	461.726	0	0
Dm_00016689-RA	1410	1211.62	0	0
Dm_00015373-RA	462	264.73	0	0
Dm_00015374-RA	1053	854.622	2	0.724428
Dm_00015650-RA	399	203.143	0	0
Dm_00015652-RA	435	238.087	0	0
Dm_00015651-RA	282	95.8817	0	0
Dm_00015672-RA	669	470.726	0	0
Dm_00015674-RA	783	584.622	124	65.6577
Dm_00015673-RA	606	407.816	82	62.2427
Dm_00015675-RA	231	55.7398	0	0
Dm_00015023-RA	1506	1307.62	269	63.6809
Dm_00015688-RA	231	55.7398	0	0
Dm_00016330-RA	282	95.8817	0	0
Dm_00016331-RA	876	677.622	1	0.456827
Dm_00016528-RA	645	446.816	0	0
Dm_00014412-RA	1089	890.622	2	0.695145
Dm_00016782-RA	477	279.483	0	0
Dm_00015656-RA	561	362.974	0	0
Dm_00015655-RA	216	44.9356	0	0
Dm_00015654-RA	336	143.798	0	0
Dm_00015657-RA	1185	986.622	0	0
Dm_00015653-RA	507	309.103	0	0
Dm_00016706-RA	1569	1370.62	12	2.71021
Dm_00016604-RA	1665	1466.62	45	9.49803
Dm_00016107-RA	963	764.622	76	30.7685
Dm_00015070-RA	2595	2396.62	0	0
Dm_00015068-RA	1323	1124.62	1	0.275253
Dm_00015069-RA	1272	1073.62	337	97.1667
Dm_00016551-RA	2223	2024.62	82	12.5374
Dm_00016552-RA	999	800.622	0	0
Dm_00016162-RA	618	419.816	0	0
Dm_00016358-RA	345	152.087	12	24.4247
Dm_00016797-RA	1875	1676.62	49	9.0469
Dm_00015710-RA	360	165.969	15	27.9772
Dm_00014888-RA	1707	1508.62	1	0.205191
Dm_00016690-RA	846	647.622	0	0
Dm_00016692-RA	249	69.3589	0	0
Dm_00016691-RA	315	124.686	0	0
Dm_00016754-RA	918	719.622	0	0
Dm_00016755-RA	588	389.936	0	0
Dm_00016756-RA	2772	2573.62	0	0
Dm_00015954-RA	315	124.686	0	0
Dm_00016775-RA	1131	932.622	1	0.33192
Dm_00016774-RA	510	312.103	3	2.97551
Dm_00015349-RA	963	764.622	0	0
Dm_00016028-RA	1137	938.622	0	0
Dm_00015219-RA	336	143.798	0	0
Dm_00014111-RA	1275	1076.62	29	8.33823
Dm_00015965-RA	660	461.726	0	0
Dm_00015753-RA	528	330.009	48	45.0251
Dm_00015754-RA	576	377.936	0	0
Dm_00016597-RA	1098	899.622	19	6.53781
Dm_00017508-RA	444	247.038	27.7436	34.7646
Dm_00017509-RA	261	78.9022	11	43.1561
Dm_00017510-RA	1083	884.622	23	8.04839
Dm_00013987-RA	1200	1001.62	0	0
Dm_00015912-RA	270	86.1896	0	0
Dm_00012189-RA	729	530.676	30	17.4997
Dm_00012190-RA	837	638.622	132	63.9837
Dm_00016277-RA	2199	2000.62	0	0
Dm_00016766-RA	2370	2171.62	16	2.28074
Dm_00016764-RA	972	773.622	13	5.2018
Dm_00016765-RA	354	160.434	0	0
Dm_00016517-RA	879	680.622	0	0
Dm_00016622-RA	432	235.182	0	0
Dm_00016621-RA	294	106.187	0	0
Dm_00015884-RA	192	28.7129	0	0
Dm_00015816-RA	717	518.676	0	0
Dm_00015679-RA	330	138.351	0	0
Dm_00016651-RA	495	297.224	633	659.264
Dm_00016758-RA	2079	1880.62	0	0
Dm_00016757-RA	1455	1256.62	162	39.907
Dm_00016759-RA	1248	1049.62	22	6.48827
Dm_00016806-RA	618	419.816	0	0
Dm_00015051-RA	210	40.7051	0	0
Dm_00015460-RA	528	330.009	0	0
Dm_00016625-RA	1470	1271.62	44	10.7111
Dm_00016626-RA	357	163.219	0	0
Dm_00016627-RA	1992	1793.62	97	16.7409
Dm_00015844-RA	1548	1349.62	266	61.0111
Dm_00015162-RA	795	596.622	66	34.2439
Dm_00015350-RA	759	560.622	57	31.4734
Dm_00015351-RA	1050	851.622	19	6.90631
Dm_00017189-RA	642	443.816	568	396.173
Dm_00017191-RA	1647	1448.62	167	35.6862
Dm_00017190-RA	1410	1211.62	6	1.53293
Dm_00017356-RA	2025	1826.62	16	2.7115
Dm_00016695-RA	666	467.726	1	0.661832
Dm_00014066-RA	447	250.013	1.5	1.85724
Dm_00014065-RA	453	255.912	0.5	0.60481
Dm_00016700-RA	1575	1376.62	180.335	40.5512
Dm_00017039-RA	1254	1055.62	226	66.2734
Dm_00016730-RA	615	416.816	5	3.71334
Dm_00016858-RA	1314	1115.62	31	8.60169
Dm_00016859-RA	2130	1931.62	282	45.1925
Dm_00014510-RA	435	238.087	0	0
Dm_00016078-RA	390	194.622	0	0
Dm_00016079-RA	444	247.038	0	0
Dm_00016080-RA	360	165.969	0	0
Dm_00016081-RA	288	101.127	0	0
Dm_00016671-RA	1653	1454.62	114	24.2602
Dm_00016612-RA	477	279.483	1432.48	1586.61
Dm_00015594-RA	3249	3050.62	0	0
Dm_00012958-RA	690	491.726	126	79.3207
Dm_00016067-RA	336	143.798	346	744.839
Dm_00015956-RA	972	773.622	981	392.536
Dm_00017020-RA	1336	1137.62	15	4.08162
Dm_00017021-RA	972	773.622	21	8.40291
Dm_00015134-RA	1455	1256.62	70	17.2438
Dm_00016456-RA	705	506.676	688	420.337
Dm_00016457-RA	1026	827.622	6	2.24418
Dm_00016191-RA	552	353.974	7	6.12161
Dm_00016781-RA	771	572.622	0	0
Dm_00016359-RA	645	446.816	0	0
