"","x"
"414","Dm_00011118-RA"
"415","Dm_00011963-RA"
"416","Dm_00011800-RA"
"417","Dm_00011513-RA"
"418","Dm_00012430-RA"
"419","Dm_00003068-RA"
"420","Dm_00003070-RA"
"421","Dm_00003067-RA"
"422","Dm_00003077-RA"
"423","Dm_00003075-RA"
"424","Dm_00003083-RA"
"425","Dm_00002698-RA"
"426","Dm_00002712-RA"
"427","Dm_00002641-RA"
"428","Dm_00002370-RA"
"429","Dm_00002369-RA"
"430","Dm_00002377-RA"
"431","Dm_00002378-RA"
"432","Dm_00002675-RA"
"433","Dm_00002683-RA"
"434","Dm_00003194-RA"
"435","Dm_00002986-RA"
"436","Dm_00002548-RA"
"437","Dm_00002547-RA"
"438","Dm_00002541-RA"
"439","Dm_00002584-RA"
"440","Dm_00002107-RA"
"441","Dm_00002759-RA"
"442","Dm_00002757-RA"
"443","Dm_00002782-RA"
"444","Dm_00002361-RA"
"445","Dm_00002352-RA"
"446","Dm_00002357-RA"
"447","Dm_00002595-RA"
"448","Dm_00002600-RA"
"449","Dm_00002904-RA"
"450","Dm_00017096-RA"
"451","Dm_00020217-RA"
"452","Dm_00017586-RA"
"453","Dm_00020227-RA"
"454","Dm_00006026-RA"
"455","Dm_00004600-RA"
"456","Dm_00005816-RA"
"457","Dm_00005819-RA"
"458","Dm_00005935-RA"
"459","Dm_00006184-RA"
"460","Dm_00005898-RA"
"461","Dm_00010180-RA"
"462","Dm_00011202-RA"
"463","Dm_00011215-RA"
"464","Dm_00009477-RA"
"465","Dm_00011239-RA"
"466","Dm_00009137-RA"
"467","Dm_00016383-RA"
"468","Dm_00016996-RA"
"469","Dm_00016825-RA"
"470","Dm_00015698-RA"
"471","Dm_00016803-RA"
"472","Dm_00006121-RA"
"473","Dm_00008359-RA"
"474","Dm_00008271-RA"
"475","Dm_00009030-RA"
"476","Dm_00009027-RA"
"477","Dm_00009026-RA"
"478","Dm_00010206-RA"
"479","Dm_00021051-RA"
"480","Dm_00006285-RA"
"481","Dm_00005224-RA"
"482","Dm_00005689-RA"
"483","Dm_00006513-RA"
"484","Dm_00006369-RA"
"485","Dm_00005620-RA"
"486","Dm_00017411-RA"
"487","Dm_00019115-RA"
"488","Dm_00019244-RA"
"489","Dm_00019056-RA"
"490","Dm_00019296-RA"
"491","Dm_00006619-RA"
"492","Dm_00006413-RA"
"493","Dm_00007024-RA"
"494","Dm_00006805-RA"
"495","Dm_00007613-RA"
"496","Dm_00006202-RA"
"497","Dm_00006201-RA"
"498","Dm_00007106-RA"
"499","Dm_00006713-RA"
"500","Dm_00007734-RA"
"501","Dm_00018141-RA"
"502","Dm_00018434-RA"
"503","Dm_00018361-RA"
"504","Dm_00020951-RA"
"505","Dm_00017741-RA"
"506","Dm_00017591-RA"
"507","Dm_00019980-RA"
"508","Dm_00019284-RA"
"509","Dm_00019298-RA"
"510","Dm_00019279-RA"
"511","Dm_00018794-RA"
"512","Dm_00019384-RA"
"513","Dm_00019135-RA"
"514","Dm_00016508-RA"
"515","Dm_00016246-RA"
"516","Dm_00016184-RA"
"517","Dm_00016161-RA"
"518","Dm_00016339-RA"
"519","Dm_00008970-RA"
"520","Dm_00008528-RA"
"521","Dm_00010549-RA"
"522","Dm_00010219-RA"
"523","Dm_00010235-RA"
"524","Dm_00010126-RA"
"525","Dm_00009698-RA"
"526","Dm_00004325-RA"
"527","Dm_00004548-RA"
"528","Dm_00004545-RA"
"529","Dm_00005607-RA"
"530","Dm_00005296-RA"
"531","Dm_00004152-RA"
"532","Dm_00004916-RA"
"533","Dm_00004656-RA"
"534","Dm_00005200-RA"
"535","Dm_00019668-RA"
"536","Dm_00018695-RA"
"537","Dm_00019600-RA"
"538","Dm_00015266-RA"
"539","Dm_00012385-RA"
"540","Dm_00015104-RA"
"541","Dm_00012925-RA"
"542","Dm_00012576-RA"
"543","Dm_00014782-RA"
"544","Dm_00014785-RA"
"545","Dm_00014784-RA"
"546","Dm_00014669-RA"
"547","Dm_00013547-RA"
"548","Dm_00013313-RA"
"549","Dm_00013234-RA"
"550","Dm_00011212-RA"
"551","Dm_00011906-RA"
"552","Dm_00011902-RA"
"553","Dm_00012078-RA"
"554","Dm_00013079-RA"
"555","Dm_00012425-RA"
"556","Dm_00012905-RA"
"557","Dm_00011828-RA"
"558","Dm_00011829-RA"
"559","Dm_00013145-RA"
"560","Dm_00009755-RA"
"561","Dm_00012646-RA"
"562","Dm_00014335-RA"
"563","Dm_00012974-RA"
"564","Dm_00012820-RA"
"565","Dm_00013342-RA"
"566","Dm_00015199-RA"
"567","Dm_00013993-RA"
"568","Dm_00020642-RA"
"569","Dm_00018969-RA"
"570","Dm_00020511-RA"
"571","Dm_00020095-RA"
"572","Dm_00009230-RA"
"573","Dm_00009894-RA"
"574","Dm_00009298-RA"
"575","Dm_00008810-RA"
"576","Dm_00017098-RA"
"577","Dm_00016349-RA"
"578","Dm_00020993-RA"
"579","Dm_00018549-RA"
"580","Dm_00007394-RA"
"581","Dm_00007395-RA"
"582","Dm_00007779-RA"
"583","Dm_00005955-RA"
"584","Dm_00007095-RA"
"585","Dm_00007071-RA"
"586","Dm_00006298-RA"
"587","Dm_00006809-RA"
"588","Dm_00008869-RA"
"589","Dm_00009356-RA"
"590","Dm_00007891-RA"
"591","Dm_00020766-RA"
"592","Dm_00020767-RA"
"593","Dm_00020939-RA"
"594","Dm_00019961-RA"
