"","LT_Time5_1","LT_Time5_2","LT_Time5_3","LT_Time5_4","LT_Time60_1","LT_Time60_2","LT_Time60_3","LT_Time60_4","LT_Time180_1","LT_Time180_2","LT_Time180_3","LT_Time180_4","LT_Time720_1","LT_Time720_2","LT_Time720_3","LT_Time720_4","LT_Time1440_1","LT_Time1440_2","LT_Time1440_3","LT_Time2880_1","LT_Time2880_2","LT_Time2880_3","LT_Time2880_4","LT_Time4320_1","LT_Time4320_2","LT_Time4320_3","LT_Time4320_4"
"Dm_00005607-RA",42.210048759344,29.8639253144923,30.7242355333326,32.4008175658973,28.1578269543067,31.6623966079377,50.3878476751214,39.3445856286697,54.5952981330064,29.5898740723355,35.6915105478003,34.4707694186017,22.6289315050069,10.4294121890647,19.9146639691486,18.3277710327043,29.171449778146,15.1667469226807,28.4166179811221,18.4899218369589,19.428844508475,4.22087888247627,11.3053982822443,15.1163781222496,5.09656033573101,16.2635735745621,6.71721124653838
"Dm_00005602-RA",22.3367575531558,24.4927157255548,142.099589341663,23.3153343330026,17.0994803686153,22.6527715568985,40.5260059283087,7.71206163485553,10.0721730071207,33.5490977199239,23.0848760882562,6.85262283622805,12.3751969168006,0,17.5325271307337,12.8043331872318,25.3730839216165,6.92802019924921,16.2380674177841,0.33017717565998,5.70529560963154,2.53252732948576,0.521787613026662,1.38823880714538,0,0.109151500500417,0.47980080332417
"Dm_00005035-RA",111.108592292307,56.5051248756221,60.7707305769594,20.5965850998257,78.1251707859492,51.9984074374261,39.1391844326631,116.59591488629,572.129948540843,196.455774148401,564.024100170515,294.455126720345,156.988212315985,651.838261816546,316.728914035646,356.763871746203,147.832399136125,616.968285311518,369.995964733794,218.907467462567,91.7473212900207,366.794374887188,87.486389784137,59.8485174636006,78.9966852038307,92.9970784263552,91.4020530332543
"Dm_00004345-RA",32.0192146899315,45.7627056977472,49.1361855036753,33.1193088405197,39.0113893439668,53.800332447634,51.774669170767,41.5667050827806,44.8669524862651,46.9902426397653,58.6126641106079,54.4056722149015,69.6546797888493,172.085301119568,44.0218887739075,58.3726954123802,56.671618579419,75.2720032458968,82.93013002654,102.685101630254,46.5675479488845,121.139223927069,108.531823509546,121.085273734347,131.236428645074,105.658652484404,128.586615290877
"Dm_00005296-RA",51.3841289634828,81.4275373682919,46.6511370414205,61.4602099378798,106.999742426366,188.172454637418,198.931838986489,155.679074696829,12.81912928179,61.076562515759,22.7574310373589,52.1214646028255,14.8502363001608,5.21470609453237,21.8203734398805,5.90003588039111,90.8569112881838,25.4651553269701,73.0713033800282,9.24496091847945,43.4836043761107,9.28593354144779,13.7404071430354,32.2379900770426,10.193120671462,18.9923610870725,9.83591646814548
"Dm_00005014-RA",74.3919479023558,56.7199732591796,87.2026096754882,89.9658837160385,43.6190337546715,32.9494859009433,28.1987037447927,31.7632369028795,132.769553275682,66.3454913243367,74.9849166554704,41.9463579672141,48.7936335576711,49.5397078980575,83.4700748180583,89.6303323106224,39.503004907906,67.0332765224653,37.1155826692207,67.686321010296,74.0146457465714,70.7700692628521,48.874106420164,36.5569552548282,24.2086615947223,32.6362986496247,49.4194827423895
"Dm_00004209-RA",21.8574279919293,21.4848383557499,13.8936800389703,15.7357910162668,13.2085806440202,14.4154000816627,12.3273021835159,20.5219267232596,19.5339112865372,16.344432222527,20.3015931556296,17.4430399467623,17.3252756835209,18.2514713308633,19.9146639691486,20.712891920522,13.5221824492447,20.7840605977476,12.178550563338,30.3763001607182,15.8823093997851,33.3449431715625,27.6547434904131,28.0732736556065,29.3052219304533,34.4918741581317,31.6668530193952
"Dm_00004210-RA",128.747920145443,195.082332270209,152.265696687251,113.610763410638,106.282997740256,141.322404372015,113.257088811053,119.733024703859,155.813464246519,302.156937798033,225.773362593654,447.289381491977,344.737628396589,469.323548507913,137.592223786845,1125.02386298011,268.924302642283,367.372314349377,753.330341989339,1074.72670677324,836.057102578979,1374.31816413427,1070.01246511334,971.612916245413,193.669292757778,1108.43348758173,998.465471717597
"Dm_00004587-RA",172.654507953792,310.02621747347,263.302180250729,266.025493149348,217.480816185264,251.754665711895,273.51201719676,273.970336013697,269.964758327221,303.23222939162,416.8375497922,321.450307590334,474.146830440847,873.463270834172,299.291672378449,599.669604268688,274.697818744208,457.249333150448,419.290097966353,627.336633753963,229.137007457094,779.314937667868,604.577914293559,717.41096578146,872.785957493936,731.969962355796,860.522740761898
"Dm_00004152-RA",32.9778738123845,207.328690132986,111.036483563478,104.630652307114,172.837861450435,280.070630158018,291.84887919474,201.820731596897,116.745641673445,285.920034734865,290.771205196759,318.127823790951,88.7478407461989,119.938240174244,153.504897867457,58.6237607689925,180.042541599495,100.924402362036,242.991080287554,24.1029338231786,53.0438294517095,80.1966987670491,34.9597700727864,40.2589254072159,35.6759223501171,34.6010256586322,37.9042634626094
