Orthogroup	A_vesiculosa.proteins	A_hypochondriacus.proteins
OG0000152	Av_00006096-RA, Av_00005508-RA, Av_00013353-RA	AH022506-RA
OG0000153	Av_00013452-RA, Av_00020182-RA, Av_00021340-RA	AH021960-RA
OG0000153	Av_00000144-RA	AH008291-RA
OG0000153	Av_00001271-RA, Av_00015076-RA	AH007368-RA
OG0000154	Av_00006639-RA	AH019982-RA
OG0000154	Av_00006929-RA, Av_00021050-RA	AH017268-RA
OG0000155	Av_00001520-RA, Av_00013491-RA	AH012846-RA, AH012847-RA, AH012848-RA, AH022179-RA
OG0000155	Av_00024885-RA, Av_00001519-RA	AH012859-RA, AH012860-RA, AH012864-RA, AH012865-RA, AH012862-RA, AH010202-RA, AH022174-RA, AH010200-RA, AH012855-RA
OG0000157	Av_00010056-RA, Av_00007953-RA	AH001951-RA
OG0000157	Av_00005838-RA, Av_00007384-RA, Av_00003795-RA, Av_00021642-RA	AH019804-RA
OG0000159	Av_00008586-RA	AH009478-RA, AH009480-RA
OG0000159	Av_00009492-RA	AH011882-RA
OG0000160	Av_00007416-RA	AH016892-RA, AH023753-RA
OG0000160	Av_00022355-RA, Av_00022827-RA	AH005973-RA
OG0000161	Av_00019011-RA, Av_00019010-RA, Av_00019007-RA	AH010020-RA
OG0000162	Av_00004972-RA	AH022861-RA, AH022859-RA
OG0000162	Av_00007787-RA	AH005478-RA, AH004130-RA
OG0000163	Av_00000797-RA, Av_00003444-RA	AH014552-RA
OG0000163	Av_00006762-RA, Av_00008041-RA	AH013346-RA
OG0000163	Av_00004788-RA	AH002639-RA, AH017756-RA
OG0000164	Av_00009562-RA, Av_00022631-RA	AH021228-RA, AH014343-RA
OG0000164	Av_00014947-RA	AH001454-RA, AH000392-RA
OG0000164	Av_00009037-RA, Av_00021627-RA	AH020804-RA, AH014173-RA
OG0000165	Av_00019533-RA	AH001450-RA, AH009997-RA
OG0000168	Av_00001366-RA, Av_00015144-RA, Av_00016734-RA	AH007811-RA
OG0000169	Av_00014436-RA, Av_00014435-RA, Av_00014437-RA, Av_00006958-RA	AH003317-RA
OG0000170	Av_00005721-RA	AH022999-RA, AH016450-RA
OG0000170	Av_00005502-RA, Av_00024526-RA	AH011283-RA
OG0000170	Av_00015134-RA, Av_00006691-RA, Av_00016145-RA	AH007222-RA, AH010754-RA
OG0000171	Av_00010251-RA, Av_00010250-RA, Av_00010069-RA, Av_00004643-RA, Av_00024165-RA, Av_00022584-RA, Av_00004133-RA, Av_00008001-RA, Av_00006803-RA	AH000491-RA, AH002132-RA
OG0000171	Av_00023216-RA, Av_00010986-RA	AH018302-RA, AH009054-RA
OG0000172	Av_00019965-RA	AH019304-RA, AH015622-RA
OG0000179	Av_00013630-RA, Av_00008250-RA, Av_00008208-RA	AH015938-RA
OG0000179	Av_00012567-RA	AH012805-RA
OG0000179	Av_00020630-RA, Av_00014246-RA, Av_00011691-RA	AH004307-RA
OG0000180	Av_00007137-RA, Av_00017139-RA, Av_00021970-RA	AH014306-RA, AH021076-RA
OG0000180	Av_00002186-RA	AH022087-RA
OG0000181	Av_00020506-RA, Av_00008380-RA, Av_00008381-RA	AH008868-RA
OG0000181	Av_00011782-RA	AH010377-RA, AH003266-RA
OG0000182	Av_00013467-RA, Av_00013640-RA, Av_00023400-RA	AH001251-RA, AH000172-RA, AH021993-RA
OG0000182	Av_00004288-RA, Av_00009862-RA, Av_00011072-RA, Av_00018316-RA, Av_00007261-RA	AH012779-RA
OG0000183	Av_00017849-RA, Av_00022898-RA, Av_00019892-RA, Av_00021012-RA, Av_00006175-RA, Av_00008439-RA	AH000308-RA, AH001363-RA
OG0000183	Av_00014103-RA	AH015254-RA
OG0000184	Av_00002027-RA, Av_00017044-RA	AH007212-RA
OG0000184	Av_00012870-RA, Av_00012869-RA, Av_00012866-RA	AH019907-RA, AH007213-RA
OG0000185	Av_00020648-RA, Av_00000618-RA	AH007772-RA
OG0000185	Av_00020843-RA	AH020040-RA
OG0000186	Av_00002766-RA, Av_00005199-RA, Av_00000877-RA, Av_00022484-RA, Av_00000876-RA	AH004613-RA
OG0000187	Av_00004735-RA	AH006242-RA
OG0000187	Av_00020489-RA	AH003378-RA, AH006240-RA
OG0000187	Av_00018686-RA	AH003380-RA
OG0000187	Av_00000886-RA	AH004538-RA, AH005195-RA
OG0000188	Av_00008619-RA, Av_00014654-RA	AH009637-RA
OG0000189	Av_00020740-RA	AH004583-RA
OG0000192	Av_00019192-RA, Av_00011814-RA	AH011160-RA, AH011162-RA, AH011161-RA
OG0000192	Av_00010659-RA	AH007480-RA, AH011104-RA
OG0000192	Av_00014755-RA	AH011736-RA
OG0000193	Av_00015944-RA	AH002455-RA
OG0000198	Av_00013347-RA	AH013656-RA
OG0000199	Av_00003513-RA	AH011848-RA
OG0000199	Av_00004418-RA, Av_00012295-RA, Av_00021266-RA, Av_00001076-RA	AH001884-RA
OG0000199	Av_00009032-RA, Av_00003777-RA, Av_00007403-RA, Av_00019446-RA	AH015573-RA
OG0000200	Av_00001956-RA	AH005778-RA
OG0000201	Av_00002041-RA	AH020018-RA
OG0000206	Av_00014917-RA, Av_00008149-RA	AH010923-RA
OG0000206	Av_00023641-RA	AH022824-RA, AH007651-RA
OG0000207	Av_00001416-RA	AH002648-RA
OG0000207	Av_00012253-RA	AH018948-RA
OG0000207	Av_00010915-RA, Av_00015240-RA	AH009146-RA
OG0000207	Av_00000060-RA	AH009147-RA
OG0000208	Av_00015817-RA	AH013416-RA, AH022322-RA, AH013411-RA
OG0000211	Av_00003836-RA, Av_00005037-RA, Av_00021376-RA	AH015397-RA, AH019277-RA
OG0000211	Av_00006413-RA, Av_00007555-RA, Av_00015516-RA, Av_00016968-RA	AH005036-RA, AH004370-RA
OG0000212	Av_00009181-RA, Av_00022867-RA, Av_00001625-RA, Av_00012930-RA, Av_00009405-RA, Av_00002082-RA	AH019579-RA, AH012403-RA
OG0000213	Av_00007469-RA, Av_00005967-RA	AH021488-RA, AH014963-RA
OG0000213	Av_00017744-RA, Av_00019827-RA	AH011769-RA, AH007383-RA, AH010611-RA, AH000276-RA
OG0000216	Av_00002521-RA, Av_00003068-RA	AH008260-RA
OG0000216	Av_00025005-RA, Av_00001398-RA	AH002574-RA
OG0000216	Av_00011937-RA, Av_00019820-RA	AH000038-RA
