Orthogroup	A_vesiculosa.proteins	A_hypochondriacus.proteins
OG0004729	Av_00012493-RA	AH003693-RA, AH006035-RA
OG0004730	Av_00018143-RA	AH000463-RA, AH002084-RA
OG0004731	Av_00009909-RA, Av_00011111-RA, Av_00011113-RA	AH014215-RA, AH021132-RA
OG0004732	Av_00000191-RA	AH008108-RA
OG0004733	Av_00007506-RA, Av_00003635-RA	AH014815-RA
OG0004734	Av_00003290-RA	AH009425-RA
OG0004735	Av_00012760-RA, Av_00006213-RA	AH022899-RA, AH023352-RA
OG0004736	Av_00000343-RA	AH006272-RA
OG0004739	Av_00016428-RA, Av_00017174-RA	AH008051-RA
OG0004740	Av_00016295-RA	AH008875-RA
OG0004741	Av_00017979-RA	AH023073-RA
OG0004742	Av_00020604-RA, Av_00012942-RA	AH012128-RA, AH019593-RA
OG0004744	Av_00014784-RA	AH012116-RA
OG0004744	Av_00009420-RA	AH012113-RA
OG0004745	Av_00012916-RA, Av_00009384-RA, Av_00001610-RA, Av_00014767-RA, Av_00009166-RA	AH012350-RA
OG0004746	Av_00004660-RA, Av_00018253-RA	AH019250-RA, AH015378-RA
OG0004747	Av_00004314-RA	AH017119-RA
OG0004748	Av_00015239-RA, Av_00010914-RA	AH009145-RA
OG0004749	Av_00019616-RA	AH011425-RA
OG0004750	Av_00010713-RA, Av_00018567-RA	AH018730-RA, AH003135-RA
OG0004751	Av_00018260-RA, Av_00004671-RA	AH016273-RA
OG0004752	Av_00018906-RA, Av_00009522-RA	AH022247-RA
OG0004753	Av_00019785-RA, Av_00020860-RA	AH020638-RA, AH020641-RA, AH020639-RA
OG0004754	Av_00024170-RA	AH016177-RA, AH023354-RA
OG0004755	Av_00004404-RA	AH017056-RA
OG0004756	Av_00016273-RA	AH015479-RA
OG0004757	Av_00013248-RA	AH007351-RA, AH007344-RA
OG0004758	Av_00007952-RA	AH001945-RA
OG0004759	Av_00008639-RA	AH003590-RA
OG0004760	Av_00018197-RA, Av_00009802-RA, Av_00008743-RA	AH021093-RA, AH014322-RA
OG0004761	Av_00016033-RA, Av_00004235-RA	AH020892-RA
OG0004762	Av_00009054-RA, Av_00003798-RA, Av_00007381-RA	AH014002-RA
OG0004763	Av_00018128-RA	AH002137-RA, AH000499-RA
OG0004764	Av_00008047-RA	AH013405-RA, AH017044-RA
OG0004765	Av_00024800-RA, Av_00010395-RA, Av_00014557-RA	AH003144-RA, AH018710-RA
OG0004766	Av_00023420-RA, Av_00009807-RA	AH014279-RA, AH021054-RA
OG0004767	Av_00001086-RA	AH016010-RA
OG0004768	Av_00010271-RA, Av_00017420-RA	AH009609-RA
OG0004769	Av_00024016-RA, Av_00013024-RA	AH019696-RA, AH011952-RA
OG0004770	Av_00006808-RA	AH002086-RA
OG0004771	Av_00012979-RA, Av_00009908-RA	AH021134-RA
OG0004772	Av_00012344-RA, Av_00009792-RA, Av_00008759-RA	AH021101-RA
OG0004772	Av_00023742-RA	AH013385-RA
OG0004774	Av_00016810-RA	AH007375-RA
OG0004776	Av_00020703-RA	AH001330-RA
OG0004777	Av_00004044-RA, Av_00004888-RA, Av_00009036-RA	AH020817-RA, AH014156-RA
OG0004778	Av_00009520-RA, Av_00018905-RA, Av_00017594-RA	AH015963-RA, AH023525-RA
OG0004779	Av_00016697-RA, Av_00020616-RA	AH013046-RA
OG0004780	Av_00003989-RA	AH014129-RA
OG0004781	Av_00007982-RA, Av_00006813-RA	AH002053-RA, AH000534-RA
OG0004782	Av_00012896-RA	AH012285-RA
OG0004782	Av_00006083-RA, Av_00010714-RA	AH018728-RA
OG0004783	Av_00013636-RA, Av_00003544-RA	AH016813-RA
OG0004784	Av_00016059-RA, Av_00020783-RA	AH000473-RA
OG0004786	Av_00007967-RA, Av_00006818-RA	AH002009-RA, AH000991-RA
OG0004787	Av_00021646-RA, Av_00012151-RA, Av_00005834-RA	AH020688-RA, AH005881-RA
OG0004789	Av_00010042-RA	AH002474-RA
OG0004790	Av_00001021-RA, Av_00018213-RA	AH008679-RA, AH020966-RA
OG0004791	Av_00020916-RA	AH014231-RA
OG0004791	Av_00017160-RA, Av_00018114-RA	AH022231-RA
OG0004792	Av_00013012-RA	AH012006-RA
OG0004793	Av_00009034-RA, Av_00004047-RA, Av_00004885-RA	AH020821-RA
OG0004794	Av_00009056-RA, Av_00003801-RA	AH013987-RA, AH013986-RA
OG0004795	Av_00003545-RA	AH015908-RA
OG0004796	Av_00001033-RA, Av_00018225-RA	AH014555-RA
OG0004798	Av_00004923-RA, Av_00003996-RA, Av_00015567-RA	AH020645-RA
OG0004799	Av_00022953-RA, Av_00001470-RA	AH014385-RA, AH020990-RA, AH013060-RA
OG0004800	Av_00003233-RA	AH009660-RA
OG0004801	Av_00004915-RA	AH020680-RA, AH013976-RA, AH013977-RA, AH013978-RA
OG0004802	Av_00004130-RA	AH002165-RA
OG0004803	Av_00018118-RA, Av_00018117-RA	AH000361-RA, AH001515-RA
OG0004804	Av_00016223-RA, Av_00001358-RA	AH010697-RA, AH007841-RA
OG0004805	Av_00023008-RA, Av_00006763-RA, Av_00008039-RA	AH013345-RA
OG0004807	Av_00022109-RA, Av_00024607-RA	AH019218-RA
OG0004808	Av_00006298-RA	AH018318-RA
OG0004809	Av_00011756-RA, Av_00016725-RA, Av_00022666-RA	AH007893-RA, AH010273-RA
OG0004810	Av_00020535-RA	AH013635-RA, AH013633-RA
OG0004812	Av_00003218-RA, Av_00013910-RA	AH009236-RA
OG0004813	Av_00021092-RA	AH022674-RA, AH013779-RA
OG0004814	Av_00014279-RA, Av_00010134-RA	AH000194-RA, AH001237-RA, AH015118-RA
OG0004815	Av_00007882-RA, Av_00000182-RA, Av_00003082-RA, Av_00023459-RA	AH008158-RA
OG0004816	Av_00004898-RA, Av_00005857-RA	AH014822-RA
OG0004817	Av_00015647-RA	AH023157-RA, AH016314-RA
OG0004818	Av_00011904-RA, Av_00007032-RA, Av_00018029-RA, Av_00002932-RA	AH020234-RA
OG0004819	Av_00003634-RA	AH023462-RA, AH014812-RA
OG0004820	Av_00007475-RA, Av_00003689-RA, Av_00022071-RA, Av_00014135-RA, Av_00010588-RA	AH015002-RA
OG0004821	Av_00017278-RA, Av_00005010-RA, Av_00003871-RA	AH023023-RA, AH016406-RA
OG0004822	Av_00003622-RA	AH019451-RA
OG0004823	Av_00009889-RA	AH019431-RA
OG0004824	Av_00004734-RA	AH001255-RA
OG0004825	Av_00007478-RA	AH015021-RA
OG0004826	Av_00007055-RA	AH017085-RA
OG0004827	Av_00013276-RA, Av_00023089-RA	AH022693-RA
OG0004828	Av_00014281-RA	AH008568-RA
OG0004829	Av_00015450-RA, Av_00020076-RA	AH021302-RA
OG0004830	Av_00020467-RA, Av_00019486-RA	AH006799-RA
OG0004831	Av_00006729-RA, Av_00020586-RA	AH006633-RA
OG0004832	Av_00018009-RA, Av_00010298-RA, Av_00005072-RA	AH012528-RA
OG0004833	Av_00008263-RA	AH023461-RA
OG0004833	Av_00013349-RA	AH013649-RA
OG0004834	Av_00020514-RA, Av_00000909-RA	AH015906-RA, AH016992-RA
OG0004836	Av_00006277-RA, Av_00020912-RA	AH005890-RA
OG0004837	Av_00021807-RA	AH015625-RA
OG0004838	Av_00000198-RA	AH010005-RA
OG0004839	Av_00003808-RA, Av_00024903-RA, Av_00022505-RA, Av_00022733-RA, Av_00012595-RA, Av_00002912-RA	AH007730-RA, AH012681-RA
OG0004840	Av_00017149-RA, Av_00014443-RA	AH020311-RA
OG0004841	Av_00008955-RA	AH015030-RA
OG0004842	Av_00002484-RA	AH008187-RA, AH010197-RA, AH010203-RA
OG0004843	Av_00016411-RA, Av_00013443-RA, Av_00002879-RA, Av_00012566-RA	AH012803-RA
OG0004844	Av_00008212-RA, Av_00001134-RA	AH015956-RA, AH023775-RA
OG0004845	Av_00020428-RA	AH013805-RA
OG0004846	Av_00015617-RA	AH022959-RA
OG0004847	Av_00008256-RA, Av_00013621-RA	AH023490-RA
OG0004849	Av_00023532-RA	AH014672-RA, AH023164-RA
OG0004850	Av_00013125-RA	AH001345-RA
OG0004851	Av_00017972-RA	AH005507-RA
OG0004852	Av_00003631-RA	AH021369-RA, AH014786-RA
OG0004853	Av_00013041-RA	AH021049-RA
OG0004854	Av_00023345-RA	AH015688-RA
OG0004856	Av_00011972-RA	AH012515-RA, AH023159-RA
OG0004858	Av_00018803-RA	AH006865-RA
OG0004859	Av_00011308-RA, Av_00013846-RA	AH002527-RA
OG0004860	Av_00000127-RA, Av_00011539-RA	AH016932-RA
OG0004861	Av_00002765-RA, Av_00005200-RA	AH004615-RA
OG0004862	Av_00019458-RA	AH018517-RA
OG0004863	Av_00023727-RA, Av_00000663-RA	AH006925-RA, AH020255-RA
OG0004865	Av_00003086-RA	AH009944-RA
OG0004867	Av_00004853-RA	AH021936-RA
OG0004869	Av_00010589-RA, Av_00010590-RA, Av_00007474-RA, Av_00003690-RA, Av_00008961-RA	AH015001-RA, AH021503-RA
OG0004870	Av_00016154-RA, Av_00016759-RA, Av_00024173-RA, Av_00016244-RA, Av_00001339-RA	AH007733-RA, AH010774-RA
OG0004871	Av_00003377-RA, Av_00010845-RA	AH021257-RA
OG0004872	Av_00005003-RA, Av_00003883-RA, Av_00012010-RA	AH016441-RA
OG0004873	Av_00021996-RA, Av_00002462-RA, Av_00015765-RA	AH009958-RA, AH009959-RA, AH008139-RA
OG0004874	Av_00012025-RA	AH005147-RA
OG0004875	Av_00023784-RA	AH009434-RA
OG0004876	Av_00009417-RA, Av_00009416-RA, Av_00009419-RA, Av_00009415-RA, Av_00014783-RA	AH012130-RA, AH012131-RA, AH012129-RA
OG0004878	Av_00016636-RA	AH010650-RA, AH010654-RA
OG0004879	Av_00017717-RA, Av_00008939-RA, Av_00019265-RA	AH002990-RA
OG0004880	Av_00015241-RA, Av_00003193-RA, Av_00013887-RA, Av_00008648-RA, Av_00000062-RA, Av_00011459-RA	AH009002-RA
OG0004881	Av_00020241-RA	AH004489-RA
OG0004882	Av_00005379-RA	AH005198-RA
OG0004883	Av_00012232-RA, Av_00007743-RA	AH004506-RA
OG0004884	Av_00011185-RA, Av_00013837-RA	AH022365-RA
OG0004885	Av_00018557-RA	AH018804-RA
OG0004887	Av_00009433-RA	AH019642-RA
OG0004888	Av_00016300-RA	AH005950-RA
OG0004889	Av_00018293-RA, Av_00011086-RA, Av_00009877-RA, Av_00011389-RA, Av_00004280-RA	AH000855-RA
OG0004890	Av_00002986-RA, Av_00005423-RA	AH018196-RA
OG0004890	Av_00009219-RA, Av_00009948-RA	AH011900-RA, AH019724-RA
OG0004891	Av_00021747-RA, Av_00000649-RA	AH012511-RA, AH020173-RA
OG0004892	Av_00004399-RA, Av_00023853-RA	AH015991-RA
OG0004893	Av_00019154-RA	AH012879-RA
OG0004894	Av_00003902-RA, Av_00004988-RA, Av_00003903-RA	AH021177-RA, AH014643-RA
OG0004895	Av_00005794-RA, Av_00012188-RA	AH005241-RA, AH004251-RA
OG0004896	Av_00019647-RA	AH011855-RA
OG0004897	Av_00015036-RA	AH017397-RA
OG0004898	Av_00022379-RA	AH011708-RA
OG0004899	Av_00019876-RA	AH013002-RA
OG0004900	Av_00016461-RA, Av_00023630-RA	AH004211-RA
OG0004901	Av_00019768-RA	AH009495-RA
OG0004902	Av_00020830-RA	AH018027-RA
OG0004903	Av_00007709-RA	AH006156-RA
OG0004904	Av_00003470-RA, Av_00004851-RA	AH013000-RA
OG0004905	Av_00010971-RA, Av_00014000-RA, Av_00003152-RA	AH011876-RA
OG0004906	Av_00017205-RA	AH004547-RA, AH005181-RA
OG0004907	Av_00020762-RA	AH006292-RA
OG0004907	Av_00021830-RA	AH004546-RA, AH005183-RA, AH005182-RA
OG0004909	Av_00019765-RA, Av_00021780-RA	AH009504-RA
OG0004911	Av_00020711-RA	AH005273-RA
OG0004912	Av_00017857-RA, Av_00019223-RA, Av_00000598-RA	AH002621-RA
OG0004913	Av_00010027-RA, Av_00007923-RA	AH016697-RA
OG0004914	Av_00001505-RA, Av_00019166-RA	AH022183-RA
OG0004915	Av_00014521-RA, Av_00010345-RA	AH018296-RA
OG0004916	Av_00008678-RA	AH008750-RA
OG0004918	Av_00017662-RA, Av_00008942-RA	AH012901-RA
OG0004919	Av_00019847-RA, Av_00021662-RA	AH018110-RA
OG0004920	Av_00018886-RA, Av_00009499-RA	AH007331-RA
OG0004921	Av_00014038-RA, Av_00002791-RA, Av_00019584-RA	AH003029-RA
OG0004922	Av_00005364-RA, Av_00002634-RA	AH004505-RA
OG0004923	Av_00015201-RA, Av_00017427-RA, Av_00010936-RA	AH008443-RA
OG0004924	Av_00009464-RA, Av_00001671-RA	AH011963-RA
OG0004925	Av_00007629-RA	AH004188-RA
OG0004926	Av_00016900-RA, Av_00004712-RA	AH000032-RA, AH001096-RA
OG0004927	Av_00019065-RA, Av_00020985-RA, Av_00020941-RA	AH018338-RA
OG0004928	Av_00009002-RA, Av_00021951-RA	AH017451-RA, AH003452-RA
OG0004929	Av_00025083-RA	AH011418-RA, AH018257-RA, AH003907-RA
OG0004930	Av_00023312-RA	AH010256-RA, AH002485-RA
OG0004931	Av_00005297-RA, Av_00002686-RA	AH004653-RA, AH004694-RA
OG0004932	Av_00023602-RA	AH005279-RA
OG0004934	Av_00004813-RA	AH002554-RA, AH017870-RA
OG0004936	Av_00005334-RA	AH004435-RA
OG0004936	Av_00002663-RA, Av_00005335-RA	AH009143-RA
OG0004938	Av_00019618-RA	AH011430-RA, AH018250-RA
OG0004940	Av_00013051-RA, Av_00017615-RA	AH011669-RA, AH019798-RA, AH015295-RA, AH023051-RA
OG0004942	Av_00022015-RA, Av_00020487-RA	AH018487-RA, AH011569-RA
OG0004944	Av_00015599-RA	AH022821-RA
OG0004945	Av_00011527-RA, Av_00024986-RA	AH014689-RA
OG0004947	Av_00001354-RA	AH010705-RA
OG0004948	Av_00007601-RA, Av_00002754-RA	AH018922-RA
OG0004949	Av_00017211-RA, Av_00002358-RA	AH008031-RA, AH010106-RA
OG0004951	Av_00001715-RA, Av_00017697-RA	AH017981-RA
OG0004952	Av_00023447-RA	AH018520-RA
OG0004954	Av_00016988-RA, Av_00024228-RA, Av_00006383-RA, Av_00007587-RA	AH005516-RA
OG0004955	Av_00007662-RA	AH005449-RA
OG0004956	Av_00003341-RA, Av_00010812-RA	AH005368-RA, AH004164-RA
OG0004957	Av_00001736-RA, Av_00017683-RA	AH017259-RA
OG0004958	Av_00017604-RA, Av_00013064-RA, Av_00009515-RA, Av_00018901-RA	AH019900-RA
OG0004960	Av_00018359-RA, Av_00005147-RA	AH008247-RA
OG0004961	Av_00001294-RA, Av_00016168-RA, Av_00021227-RA	AH010872-RA, AH007536-RA
OG0004962	Av_00001387-RA, Av_00024479-RA	AH021234-RA
OG0004963	Av_00008204-RA	AH005464-RA
OG0004964	Av_00019619-RA	AH018240-RA
OG0004965	Av_00010538-RA, Av_00009752-RA	AH017260-RA
OG0004966	Av_00006019-RA, Av_00014192-RA	AH005415-RA, AH004068-RA
OG0004967	Av_00013796-RA	AH017619-RA
OG0004968	Av_00013752-RA, Av_00001805-RA	AH002920-RA
OG0004969	Av_00020807-RA	AH018616-RA
OG0004970	Av_00019739-RA, Av_00007371-RA	AH001064-RA
OG0004971	Av_00000814-RA	AH017778-RA
OG0004972	Av_00005332-RA	AH004430-RA, AH004790-RA
OG0004973	Av_00010661-RA	AH019365-RA
OG0004973	Av_00012416-RA	AH017646-RA
OG0004974	Av_00007600-RA, Av_00006370-RA	AH005429-RA
OG0004975	Av_00023067-RA, Av_00017514-RA	AH018327-RA
OG0004976	Av_00011306-RA, Av_00013847-RA	AH002528-RA, AH017946-RA
OG0004977	Av_00010671-RA	AH015818-RA, AH015819-RA
OG0004978	Av_00005518-RA, Av_00006080-RA, Av_00014550-RA, Av_00010387-RA, Av_00003029-RA, Av_00005455-RA	AH018743-RA
OG0004980	Av_00016994-RA, Av_00005221-RA	AH021034-RA
OG0004982	Av_00012439-RA, Av_00009326-RA, Av_00001780-RA	AH002867-RA, AH017541-RA
OG0004983	Av_00016072-RA	AH004220-RA, AH003750-RA, AH005837-RA, AH010726-RA, AH010727-RA
OG0004984	Av_00008587-RA, Av_00003273-RA, Av_00013967-RA, Av_00024413-RA	AH009481-RA
OG0004985	Av_00017621-RA	AH019744-RA, AH011870-RA
OG0004986	Av_00023980-RA	AH020131-RA, AH011822-RA
OG0004987	Av_00006161-RA	AH013760-RA
OG0004989	Av_00000567-RA	AH011684-RA
OG0004991	Av_00019135-RA, Av_00010173-RA, Av_00004755-RA	AH000092-RA
OG0004992	Av_00011720-RA, Av_00019810-RA, Av_00011721-RA	AH001221-RA, AH001220-RA
OG0004993	Av_00011715-RA, Av_00019814-RA, Av_00006209-RA, Av_00012756-RA	AH000132-RA
OG0005014	Av_00015448-RA	AH020979-RA, AH014395-RA
OG0005016	Av_00014739-RA	AH019969-RA
OG0005017	Av_00016169-RA	AH007534-RA
OG0005018	Av_00012608-RA	AH021834-RA, AH012634-RA
OG0005019	Av_00020351-RA, Av_00021222-RA, Av_00016163-RA, Av_00016770-RA	AH007776-RA
OG0005020	Av_00019263-RA	AH016317-RA, AH023154-RA
OG0005023	Av_00015292-RA	AH021964-RA
OG0005024	Av_00012841-RA	AH023119-RA, AH011585-RA
OG0005025	Av_00020858-RA, Av_00001571-RA	AH011729-RA, AH020021-RA
OG0005026	Av_00018641-RA	AH001800-RA
OG0005027	Av_00014329-RA, Av_00001129-RA	AH015946-RA
OG0005030	Av_00016516-RA, Av_00006581-RA	AH007427-RA
OG0005031	Av_00002803-RA	AH019103-RA
OG0005034	Av_00013374-RA	AH013196-RA
OG0005035	Av_00001205-RA	AH010971-RA
OG0005036	Av_00020508-RA, Av_00013151-RA, Av_00020447-RA	AH020466-RA, AH006714-RA
OG0005037	Av_00009092-RA	AH003549-RA, AH008969-RA
OG0005038	Av_00021279-RA	AH013619-RA
OG0005039	Av_00016403-RA, Av_00013428-RA	AH003094-RA
OG0005040	Av_00022037-RA	AH000073-RA
OG0005041	Av_00009618-RA, Av_00002205-RA	AH013549-RA
OG0005042	Av_00008147-RA, Av_00014916-RA	AH007685-RA, AH010924-RA
OG0005043	Av_00012081-RA	AH006926-RA, AH020254-RA
OG0005044	Av_00019225-RA, Av_00000600-RA	AH019809-RA
OG0005045	Av_00020956-RA, Av_00022510-RA, Av_00005056-RA	AH012661-RA, AH021846-RA
OG0005046	Av_00017286-RA, Av_00017285-RA	AH022987-RA, AH016435-RA
OG0005047	Av_00021044-RA	AH007419-RB, AH007419-RA, AH007419-RC, AH011214-RA
OG0005049	Av_00023228-RA, Av_00001432-RA	AH017826-RA
OG0005050	Av_00002153-RA, Av_00009584-RA, Av_00020378-RA	AH011645-RA, AH019953-RA
OG0005051	Av_00022913-RA	AH013166-RA
OG0005053	Av_00013511-RA, Av_00001536-RA	AH007148-RA
OG0005054	Av_00005553-RA	AH006201-RA
OG0005055	Av_00019645-RA	AH020184-RA
OG0005058	Av_00019759-RA, Av_00022111-RA	AH000023-RA, AH001081-RA
OG0005059	Av_00010394-RA, Av_00005460-RA, Av_00024799-RA	AH018711-RA, AH003143-RA
OG0005061	Av_00024548-RA	AH006485-RA
OG0005062	Av_00011730-RA, Av_00021353-RA, Av_00018396-RA	AH012765-RA
OG0005064	Av_00009575-RA, Av_00022637-RA	AH013137-RA
OG0005065	Av_00008385-RA, Av_00011540-RA, Av_00000128-RA	AH019708-RA, AH011934-RA
OG0005067	Av_00000736-RA, Av_00003480-RA, Av_00020304-RA, Av_00022180-RA	AH020593-RA
OG0005068	Av_00006989-RA, Av_00001219-RA, Av_00014898-RA, Av_00008122-RA	AH011050-RA, AH015483-RA
OG0005069	Av_00015991-RA, Av_00004185-RA	AH018448-RA, AH001863-RA
OG0005070	Av_00009356-RA	AH014735-RA
OG0005071	Av_00006975-RA, Av_00011829-RA, Av_00016525-RA, Av_00006567-RA	AH011118-RA
OG0005072	Av_00010283-RA	AH021795-RA
OG0005073	Av_00006132-RA	AH022507-RA
OG0005074	Av_00012881-RA	AH018769-RA
OG0005075	Av_00017293-RA	AH022958-RA
OG0005076	Av_00009086-RA, Av_00015576-RA	AH016658-RA, AH016657-RA
OG0005077	Av_00021202-RA, Av_00024420-RA, Av_00002948-RA	AH012576-RA
OG0005078	Av_00000748-RA	AH012976-RA
OG0005079	Av_00022889-RA, Av_00003216-RA	AH015471-RA
OG0005080	Av_00001501-RA	AH012957-RA
OG0005084	Av_00004395-RA, Av_00008239-RA	AH007237-RA, AH019901-RA
OG0005085	Av_00024381-RA	AH004929-RA
OG0005086	Av_00015308-RA, Av_00000452-RA	AH005716-RA, AH003859-RA
OG0005090	Av_00022155-RA	AH008863-RA
OG0005091	Av_00001901-RA	AH003934-RA, AH005799-RA
OG0005092	Av_00004448-RA, Av_00012264-RA	AH016958-RA
OG0005093	Av_00007722-RA	AH006094-RA
OG0005094	Av_00024001-RA	AH008857-RA
OG0005095	Av_00006187-RA	AH000291-RA
OG0005096	Av_00009765-RA	AH001636-RA
OG0005097	Av_00000431-RA, Av_00015331-RA	AH003932-RA
OG0005098	Av_00001154-RA	AH005929-RA
OG0005099	Av_00014185-RA, Av_00010646-RA, Av_00021934-RA	AH021342-RA, AH014761-RA
OG0005100	Av_00021577-RA	AH005794-RA, AH003777-RA, AH003778-RA
OG0005102	Av_00012114-RA	AH016795-RA
OG0005103	Av_00016137-RA, Av_00016073-RA, Av_00016749-RA	AH010735-RA
OG0005104	Av_00001490-RA	AH003687-RA
OG0005107	Av_00007412-RA	AH023720-RA
OG0005108	Av_00011142-RA, Av_00009927-RA	AH008677-RA
OG0005109	Av_00011841-RA	AH006339-RA
OG0005110	Av_00016457-RA, Av_00007802-RA	AH002451-RA, AH000688-RA
OG0005111	Av_00000463-RA, Av_00021587-RA	AH003831-RA, AH005748-RA
OG0005112	Av_00024136-RA	AH005532-RA
OG0005114	Av_00011081-RA	AH000820-RA
OG0005115	Av_00006354-RA	AH005484-RA
OG0005116	Av_00006279-RA	AH008921-RA
OG0005118	Av_00018307-RA, Av_00015971-RA	AH002262-RA, AH002261-RA
OG0005119	Av_00008568-RA, Av_00014609-RA	AH009367-RA
OG0005120	Av_00002612-RA, Av_00005396-RA	AH014241-RA
OG0005121	Av_00014611-RA, Av_00008573-RA	AH009396-RA
OG0005122	Av_00007834-RA, Av_00000218-RA	AH001994-RA
OG0005123	Av_00000648-RA	AH003494-RA
OG0005125	Av_00005029-RA, Av_00003843-RA	AH012903-RA
OG0005127	Av_00018755-RA	AH000886-RA
OG0005128	Av_00008338-RA, Av_00008243-RA, Av_00017966-RA	AH017089-RA
OG0005129	Av_00020053-RA	AH018802-RA
OG0005130	Av_00015642-RA, Av_00011978-RA	AH016345-RA
OG0005132	Av_00012290-RA	AH000600-RA, AH001865-RA
OG0005133	Av_00013404-RA	AH005627-RA, AH003996-RA
OG0005134	Av_00018749-RA, Av_00008835-RA	AH000725-RA, AH002408-RA
OG0005135	Av_00000381-RA, Av_00015385-RA	AH008822-RA, AH003923-RA
OG0005136	Av_00009569-RA, Av_00009734-RA	AH013604-RA
OG0005138	Av_00007094-RA, Av_00003589-RA	AH008577-RA
OG0005139	Av_00009823-RA	AH020991-RA
OG0005140	Av_00002362-RA, Av_00017214-RA	AH008039-RA
OG0005141	Av_00018627-RA	AH023286-RA
OG0005143	Av_00022183-RA, Av_00000734-RA, Av_00005984-RA	AH020590-RA
OG0005145	Av_00012453-RA	AH010271-RA
OG0005146	Av_00003715-RA, Av_00007455-RA	AH021431-RA
OG0005147	Av_00019726-RA, Av_00003078-RA, Av_00007888-RA, Av_00024637-RA	AH008195-RA
OG0005149	Av_00018280-RA, Av_00004697-RA	AH001019-RA
OG0005152	Av_00009796-RA, Av_00008753-RA	AH014297-RA
OG0005155	Av_00007871-RA	AH008119-RA
OG0005156	Av_00013553-RA	AH011809-RA
OG0005158	Av_00002488-RA, Av_00015744-RA, Av_00018084-RA	AH010178-RA
OG0005159	Av_00002736-RA	AH005528-RA
OG0005160	Av_00021649-RA, Av_00010935-RA	AH008520-RA
OG0005161	Av_00010078-RA, Av_00014319-RA	AH019202-RA
OG0005162	Av_00017851-RA	AH008952-RA
OG0005163	Av_00010906-RA, Av_00014682-RA	AH009196-RA
OG0005164	Av_00022304-RA, Av_00018135-RA	AH002102-RA
OG0005165	Av_00006079-RA	AH018097-RA
OG0005166	Av_00014655-RA, Av_00008620-RA, Av_00011425-RA	AH009642-RA
OG0005169	Av_00018267-RA, Av_00004677-RA	AH008896-RA
OG0005169	Av_00018266-RA, Av_00004676-RA	AH002606-RA
OG0005170	Av_00011448-RA, Av_00000051-RA	AH009227-RA
OG0005171	Av_00009046-RA, Av_00021636-RA, Av_00004899-RA, Av_00012141-RA	AH014087-RA
OG0005172	Av_00014669-RA	AH020467-RA
OG0005173	Av_00008718-RA	AH021642-RA
OG0005175	Av_00004905-RA, Av_00004020-RA	AH014036-RA
OG0005176	Av_00004493-RA, Av_00012319-RA, Av_00001005-RA, Av_00018201-RA	AH021012-RA
OG0005177	Av_00023740-RA	AH016249-RA, AH023261-RA
OG0005178	Av_00010905-RA, Av_00010904-RA, Av_00011451-RA	AH002570-RA
OG0005179	Av_00015260-RA, Av_00010938-RA	AH009569-RA, AH009568-RA, AH009567-RA, AH018088-RA
OG0005180	Av_00000044-RA	AH009695-RA
OG0005182	Av_00003107-RA	AH010004-RA
OG0005183	Av_00023908-RA	AH007155-RA
OG0005184	Av_00014567-RA, Av_00010409-RA	AH018684-RA
OG0005185	Av_00021117-RA	AH016178-RA
OG0005186	Av_00008337-RA, Av_00017964-RA	AH016000-RA
OG0005187	Av_00017614-RA	AH007325-RA
OG0005188	Av_00003786-RA, Av_00007396-RA, Av_00005864-RA	AH014068-RA
OG0005189	Av_00006779-RA	AH023427-RA, AH015987-RA
OG0005190	Av_00011608-RA, Av_00024594-RA	AH003422-RA, AH003427-RA, AH003429-RA, AH006287-RA
OG0005192	Av_00004103-RA, Av_00016814-RA, Av_00022339-RA	AH013352-RA
OG0005193	Av_00018562-RA, Av_00023353-RA, Av_00014558-RA, Av_00010396-RA	AH018702-RA
OG0005194	Av_00021613-RA, Av_00009017-RA	AH007058-RA, AH020125-RA
OG0005195	Av_00022322-RA	AH022255-RA, AH013483-RA
OG0005197	Av_00006648-RA	AH021195-RA
OG0005198	Av_00017608-RA	AH019945-RA
OG0005200	Av_00005835-RA	AH023227-RA, AH023816-RA, AH019454-RA, AH014000-RA
OG0005201	Av_00022072-RA, Av_00014133-RA	AH015004-RA
OG0005202	Av_00019361-RA	AH020326-RA
OG0005203	Av_00001646-RA	AH012045-RA
OG0005204	Av_00010722-RA, Av_00018931-RA, Av_00006826-RA, Av_00007958-RA	AH001956-RA
OG0005205	Av_00015229-RA, Av_00010899-RA, Av_00013900-RA	AH009205-RA
OG0005206	Av_00004156-RA, Av_00015423-RA	AH003009-RA
OG0005207	Av_00014668-RA, Av_00008634-RA	AH009249-RA
OG0005208	Av_00010413-RA	AH019093-RA
OG0005209	Av_00018335-RA, Av_00022676-RA	AH013499-RA
OG0005210	Av_00017122-RA	AH021041-RA, AH014275-RA
OG0005211	Av_00019791-RA, Av_00012164-RA, Av_00005828-RA	AH014131-RA
OG0005212	Av_00012926-RA	AH012379-RA
OG0005213	Av_00020004-RA	AH013300-RA
OG0005214	Av_00018203-RA, Av_00001007-RA	AH014362-RA
OG0005215	Av_00004922-RA	AH013948-RA
OG0005216	Av_00004098-RA, Av_00021919-RA	AH013376-RA
OG0005217	Av_00023359-RA	AH018659-RA
OG0005218	Av_00018965-RA	AH016092-RA, AH017153-RA
OG0005219	Av_00004172-RA, Av_00015405-RA	AH016677-RA
