	A_coerulea.proteins	A_hypochondriacus.proteins	A_thaliana.proteins	A_vesiculosa.proteins	B_vulgaris.proteins	D_muscipula.proteins	D_spatulata.proteins	G_max.proteins	L_sativa.proteins	P_amilis.proteins	S_lycopersicum.proteins	V_vinifera.proteins
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0	0	0	0	0	0	0	0	0
'1	6422	8514	4464	5663	9044	7805	8033	1902	3669	6497	8202	5593
'2	7848	6292	7962	6452	4514	4558	4124	9212	12296	8270	6980	7138
'3	5496	2859	6858	3435	2400	1782	1929	7380	8625	5865	3996	6270
'4	4092	1428	5280	2252	1588	724	960	8416	6480	3964	2564	5844
'5	2660	760	3995	1510	1080	320	480	6420	4500	2505	1560	4400
'6	2208	498	3162	864	906	216	330	5508	3270	1860	1014	4020
'7	1638	336	2569	574	728	203	203	4466	2639	1393	735	3045
'8	1360	168	1856	376	520	128	136	4048	2160	944	576	2112
'9	1026	162	1413	198	441	81	99	3384	1656	810	576	1926
'10	890	140	1170	150	360	20	120	2920	1050	560	300	1550
11-15	2175	377	3214	262	1158	182	353	8770	3780	2102	1530	4366
16-20	1088	191	1162	158	548	198	215	4648	1687	1340	927	1745
21-50	2297	334	1884	378	940	919	371	7379	4196	5860	1246	2081
51-100	472	0	608	138	325	541	181	650	1843	4566	561	158
101-150	0	0	0	126	105	114	0	0	594	1896	125	0
151-200	0	0	0	0	0	536	0	0	0	1034	0	0
201-500	0	0	0	852	0	901	0	0	0	1849	0	0
501-1000	0	0	0	0	0	0	0	0	0	859	0	0
'1001+	0	0	0	0	0	1130	0	0	0	1209	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1	14.7	35.7	9.2	22.5	35.7	36.9	44.4	2.4	5.9	11.1	22.9	10.1
'2	18.0	26.3	16.4	25.7	17.8	21.6	22.8	11.5	19.6	14.1	19.5	12.8
'3	12.6	12.0	14.2	13.7	9.5	8.4	10.7	9.2	13.8	10.0	11.2	11.3
'4	9.4	6.0	10.9	9.0	6.3	3.4	5.3	10.5	10.3	6.7	7.2	10.5
'5	6.1	3.2	8.2	6.0	4.3	1.5	2.7	8.0	7.2	4.3	4.4	7.9
'6	5.1	2.1	6.5	3.4	3.6	1.0	1.8	6.9	5.2	3.2	2.8	7.2
'7	3.8	1.4	5.3	2.3	2.9	1.0	1.1	5.6	4.2	2.4	2.1	5.5
'8	3.1	0.7	3.8	1.5	2.1	0.6	0.8	5.0	3.4	1.6	1.6	3.8
'9	2.4	0.7	2.9	0.8	1.7	0.4	0.5	4.2	2.6	1.4	1.6	3.5
'10	2.0	0.6	2.4	0.6	1.4	0.1	0.7	3.6	1.7	1.0	0.8	2.8
11-15	5.0	1.6	6.6	1.0	4.6	0.9	1.9	10.9	6.0	3.6	4.3	7.9
16-20	2.5	0.8	2.4	0.6	2.2	0.9	1.2	5.8	2.7	2.3	2.6	3.1
21-50	5.3	1.4	3.9	1.5	3.7	4.3	2.0	9.2	6.7	10.0	3.5	3.7
51-100	1.1	0.0	1.3	0.5	1.3	2.6	1.0	0.8	2.9	7.8	1.6	0.3
101-150	0.0	0.0	0.0	0.5	0.4	0.5	0.0	0.0	0.9	3.2	0.3	0.0
151-200	0.0	0.0	0.0	0.0	0.0	2.5	0.0	0.0	0.0	1.8	0.0	0.0
201-500	0.0	0.0	0.0	3.4	0.0	4.3	0.0	0.0	0.0	3.1	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	5.3	0.0	0.0	0.0	2.1	0.0	0.0
