"Dm_00002668-RA",1	"Dm_00002668-RA",4
"Dm_00002687-RA",1	"Dm_00002687-RA",6
"Dm_00002688-RA",1	"Dm_00002688-RA",1
"Dm_00002702-RA",2	"Dm_00002702-RA",2
"Dm_00002703-RA",2	"Dm_00002703-RA",8
"Dm_00002710-RA",2	"Dm_00002710-RA",1
"Dm_00002730-RA",1	"Dm_00002730-RA",6
"Dm_00002759-RA",2	"Dm_00002759-RA",8
"Dm_00002776-RA",2	"Dm_00002776-RA",8
"Dm_00002783-RA",1	"Dm_00002783-RA",6
"Dm_00002787-RA",2	"Dm_00002787-RA",1
"Dm_00002813-RA",1	"Dm_00002813-RA",6
"Dm_00002816-RA",2	"Dm_00002816-RA",7
"Dm_00002827-RA",2	"Dm_00002827-RA",2
"Dm_00002831-RA",1	"Dm_00002831-RA",3
"Dm_00002836-RA",1	"Dm_00002836-RA",4
"Dm_00002852-RA",2	"Dm_00002852-RA",2
"Dm_00002870-RA",1	"Dm_00002870-RA",4
"Dm_00002880-RA",1	"Dm_00002880-RA",6
"Dm_00002903-RA",1	"Dm_00002903-RA",4
"Dm_00002929-RA",2	"Dm_00002929-RA",4
"Dm_00002943-RA",1	"Dm_00002943-RA",4
"Dm_00002945-RA",1	"Dm_00002945-RA",6
"Dm_00002956-RA",1	"Dm_00002956-RA",3
"Dm_00002958-RA",1	"Dm_00002958-RA",4
"Dm_00002963-RA",1	"Dm_00002963-RA",6
"Dm_00002985-RA",1	"Dm_00002985-RA",4
"Dm_00002990-RA",2	"Dm_00002990-RA",1
"Dm_00003018-RA",2	"Dm_00003018-RA",5
"Dm_00003023-RA",2	"Dm_00003023-RA",5
"Dm_00003024-RA",2	"Dm_00003024-RA",1
"Dm_00003030-RA",1	"Dm_00003030-RA",3
"Dm_00003040-RA",1	"Dm_00003040-RA",6
"Dm_00003049-RA",1	"Dm_00003049-RA",6
"Dm_00003067-RA",2	"Dm_00003067-RA",2
"Dm_00003068-RA",2	"Dm_00003068-RA",2
"Dm_00003075-RA",2	"Dm_00003075-RA",2
"Dm_00003077-RA",2	"Dm_00003077-RA",2
"Dm_00003083-RA",2	"Dm_00003083-RA",8
"Dm_00003087-RA",2	"Dm_00003087-RA",2
"Dm_00003129-RA",2	"Dm_00003129-RA",5
"Dm_00003188-RA",1	"Dm_00003188-RA",7
"Dm_00003214-RA",1	"Dm_00003214-RA",6
"Dm_00003242-RA",2	"Dm_00003242-RA",6
"Dm_00003258-RA",1	"Dm_00003258-RA",4
"Dm_00003274-RA",2	"Dm_00003274-RA",5
"Dm_00003277-RA",2	"Dm_00003277-RA",8
"Dm_00003311-RA",2	"Dm_00003311-RA",3
"Dm_00003315-RA",2	"Dm_00003315-RA",7
"Dm_00003324-RA",1	"Dm_00003324-RA",1
"Dm_00003331-RA",1	"Dm_00003331-RA",4
"Dm_00003378-RA",2	"Dm_00003378-RA",5
"Dm_00003395-RA",2	"Dm_00003395-RA",2
"Dm_00003403-RA",2	"Dm_00003403-RA",3
"Dm_00003425-RA",2	"Dm_00003425-RA",5
"Dm_00003432-RA",1	"Dm_00003432-RA",3
"Dm_00003434-RA",2	"Dm_00003434-RA",1
"Dm_00003435-RA",2	"Dm_00003435-RA",3
"Dm_00003442-RA",2	"Dm_00003442-RA",8
"Dm_00003443-RA",2	"Dm_00003443-RA",8
"Dm_00003449-RA",1	"Dm_00003449-RA",1
"Dm_00003450-RA",2	"Dm_00003450-RA",2
"Dm_00003498-RA",1	"Dm_00003498-RA",6
"Dm_00003526-RA",1	"Dm_00003526-RA",2
"Dm_00003556-RA",2	"Dm_00003556-RA",5
"Dm_00003562-RA",2	"Dm_00003562-RA",6
"Dm_00003568-RA",1	"Dm_00003568-RA",6
"Dm_00003570-RA",1	"Dm_00003570-RA",4
"Dm_00003574-RA",1	"Dm_00003574-RA",4
"Dm_00003620-RA",1	"Dm_00003620-RA",3
"Dm_00003624-RA",1	"Dm_00003624-RA",1
"Dm_00003646-RA",1	"Dm_00003646-RA",1
"Dm_00003659-RA",2	"Dm_00003659-RA",5
"Dm_00003671-RA",2	"Dm_00003671-RA",5
"Dm_00003677-RA",2	"Dm_00003677-RA",2
"Dm_00003694-RA",2	"Dm_00003694-RA",8
"Dm_00003725-RA",1	"Dm_00003725-RA",1
"Dm_00003751-RA",1	"Dm_00003751-RA",4
"Dm_00003786-RA",2	"Dm_00003786-RA",2
"Dm_00003797-RA",1	"Dm_00003797-RA",4
"Dm_00003803-RA",1	"Dm_00003803-RA",6
"Dm_00003835-RA",2	"Dm_00003835-RA",2
"Dm_00003845-RA",1	"Dm_00003845-RA",6
"Dm_00003848-RA",1	"Dm_00003848-RA",6
"Dm_00003855-RA",2	"Dm_00003855-RA",2
"Dm_00003858-RA",2	"Dm_00003858-RA",2
"Dm_00003862-RA",2	"Dm_00003862-RA",7
"Dm_00003868-RA",2	"Dm_00003868-RA",5
"Dm_00003870-RA",2	"Dm_00003870-RA",1
"Dm_00003903-RA",2	"Dm_00003903-RA",2
