Orthogroup	A_hypochondriacus.proteins	S_lycopersicum.proteins
OG0003903	AH021988-RA	Solyc04g054680.2.1, Solyc04g054650.2.1, Solyc10g086080.2.1, Solyc09g007680.3.1, Solyc09g007700.3.1, Solyc10g084100.2.1
OG0003904	AH008980-RA	Solyc11g013120.2.1
OG0003905	AH021491-RA	Solyc03g031600.3.1, Solyc02g080820.3.1
OG0003906	AH007922-RA	Solyc11g007670.2.1
OG0003907	AH020920-RA, AH002465-RA, AH000678-RA	Solyc12g005330.2.1, Solyc10g006580.3.1, Solyc07g063910.3.1
OG0003908	AH015258-RA	Solyc10g008980.3.1
OG0003909	AH008306-RA	Solyc01g073660.3.1
OG0003910	AH015227-RA, AH015228-RA	Solyc02g078220.1.1
OG0003911	AH013984-RA, AH020691-RA	Solyc06g082980.3.1
OG0003912	AH006957-RA	Solyc11g006540.2.1, Solyc05g055180.3.1
OG0003914	AH001151-RA	Solyc07g056270.3.1
OG0003915	AH015662-RA	Solyc01g096490.3.1
OG0003916	AH023084-RA	Solyc06g051750.3.1
OG0003917	AH007952-RA	Solyc07g056630.3.1
OG0003918	AH020152-RA	Solyc03g079920.3.1
OG0003919	AH007479-RA, AH011106-RA	Solyc11g008780.2.1
OG0003921	AH002048-RA	Solyc02g070000.3.1, Solyc02g023950.3.1
OG0003922	AH020494-RA	Solyc01g097260.3.1
OG0003923	AH021273-RA	Solyc02g021650.3.1
OG0003924	AH021496-RA	Solyc02g080660.3.1
OG0003925	AH016356-RA	Solyc05g052630.3.1
OG0003926	AH011005-RA	Solyc11g065870.2.1
OG0003927	AH007586-RA, AH017731-RA	Solyc04g008630.3.1
OG0003928	AH023623-RA, AH023541-RA, AH023485-RA, AH023485-RB	Solyc12g006220.2.1, Solyc07g045210.1.1
OG0003929	AH010304-RA, AH007978-RA	Solyc08g015770.3.1
OG0003930	AH008095-RA	Solyc07g063320.3.1, Solyc07g063310.3.1
OG0003931	AH007639-RA	Solyc12g100353.1.1
OG0003932	AH012485-RA	Solyc11g008040.2.1
OG0003933	AH020037-RA	Solyc08g044400.2.1
OG0003934	AH020500-RA, AH006621-RA	Solyc10g081020.2.1
OG0003935	AH013186-RA	Solyc06g082220.3.1
OG0003936	AH015707-RA	Solyc01g068470.3.1, Solyc01g068475.1.1
OG0003937	AH023514-RA	Solyc06g036670.2.1
OG0003937	AH023513-RA	Solyc06g036700.2.1
OG0003938	AH010784-RA, AH007729-RA	Solyc06g072490.3.1, Solyc03g097900.3.1, Solyc09g082520.3.1
OG0003939	AH003081-RA	Solyc04g072140.3.1
OG0003940	AH003942-RA, AH006130-RA	Solyc02g064950.3.1, Solyc02g093140.3.1, Solyc01g107860.3.1
OG0003941	AH016769-RA	Solyc12g089320.2.1
OG0003943	AH022860-RA	Solyc03g119790.3.1
OG0003945	AH004237-RA	Solyc10g044840.2.1
OG0003946	AH005660-RA, AH003650-RA	Solyc10g047540.2.1
OG0003947	AH011905-RA, AH014041-RA, AH013626-RA, AH019723-RA	Solyc03g081330.1.1, Solyc03g082350.2.1, Solyc03g082340.1.1
OG0003948	AH009024-RA	Solyc11g013330.2.1
OG0003949	AH001688-RA, AH000978-RA, AH016886-RA	Solyc04g082570.3.1
OG0003950	AH012387-RA	Solyc03g025820.2.1
OG0003951	AH005151-RA, AH004286-RA	Solyc02g094440.3.1
OG0003952	AH002310-RA	Solyc01g111870.2.1
OG0003953	AH000551-RA	Solyc01g109350.3.1
OG0003954	AH006282-RA	Solyc02g068090.3.1
OG0003955	AH003182-RA, AH017934-RA, AH017931-RA, AH017932-RA	Solyc10g084350.2.1, Solyc10g086010.2.1, Solyc09g007250.3.1
OG0003956	AH007556-RA, AH010455-RA	Solyc01g098920.3.1
OG0003957	AH006976-RA, AH020182-RA	Solyc12g099540.2.1, Solyc01g066820.3.1, Solyc05g054260.3.1
OG0003958	AH021117-RA	Solyc07g041340.2.1, Solyc05g039915.1.1
OG0003959	AH003724-RA	Solyc02g090680.3.1, Solyc01g108610.3.1
OG0003960	AH001799-RA	Solyc11g072390.2.1
OG0003961	AH013098-RA	Solyc09g059630.2.1
OG0003962	AH017414-RA	Solyc06g068690.3.1, Solyc03g118030.3.1
OG0003963	AH000598-RA, AH001882-RA	Solyc01g108920.3.1, Solyc01g109010.3.1
OG0003964	AH008733-RA	Solyc04g074270.3.1
OG0003965	AH020062-RA	Solyc06g073130.3.1, Solyc06g073137.1.1
OG0003966	AH006274-RA	Solyc02g079060.3.1
OG0003967	AH022057-RA	Solyc09g072620.3.1
OG0003968	AH008511-RA	Solyc04g071350.3.1
OG0003969	AH000148-RA	Solyc11g044530.2.1, Solyc01g104320.3.1
OG0003970	AH003415-RA, AH006284-RA	Solyc02g068100.3.1
OG0003970	AH017231-RA	Solyc03g111250.3.1
OG0003971	AH011180-RA	Solyc02g068010.3.1
OG0003971	AH004916-RA, AH011702-RA	Solyc05g014550.1.1
OG0003972	AH017749-RA	Solyc03g118430.3.1
OG0003974	AH011464-RA	Solyc11g005060.2.1
OG0003976	AH019770-RA, AH008304-RA, AH016749-RA	Solyc03g118540.3.1, Solyc06g068930.2.1
OG0003977	AH009291-RA, AH006930-RA	Solyc01g081090.2.1, Solyc01g081110.3.1, Solyc01g081100.2.1
OG0003978	AH019142-RA	Solyc02g094750.1.1, Solyc02g067100.3.1, Solyc02g066980.1.1
OG0003979	AH019383-RA	Solyc02g087740.3.1, Solyc02g067440.3.1
OG0003980	AH017432-RA	Solyc03g119810.1.1, Solyc06g069250.1.1
OG0003981	AH002301-RA, AH004750-RA	Solyc05g005877.1.1
OG0003983	AH015794-RA	Solyc04g005600.2.1, Solyc01g010910.2.1
OG0003984	AH018776-RA	Solyc08g005610.3.1, Solyc08g075320.3.1
OG0003985	AH018311-RA	Solyc08g007295.1.1, Solyc08g007270.3.1, Solyc01g090460.3.1
OG0003986	AH000027-RA, AH001084-RA	Solyc04g008620.3.1
OG0003987	AH017454-RA	Solyc03g114680.3.1
OG0003988	AH004464-RA, AH004866-RA, AH013673-RA	Solyc02g067095.1.1
OG0003989	AH005482-RA, AH004132-RA	Solyc05g008890.3.1
OG0003990	AH004794-RA, AH004434-RA	Solyc05g005210.3.1
OG0003991	AH010649-RA	Solyc03g045083.1.1
OG0003992	AH017913-RA, AH002533-RA	Solyc03g112270.3.1
OG0003993	AH015729-RA	Solyc06g009650.3.1, Solyc01g079500.3.1
OG0003995	AH005042-RA, AH004371-RA, AH015789-RA	Solyc02g067220.3.1, Solyc02g088090.1.1
OG0003996	AH017067-RA	Solyc12g038390.1.1, Solyc06g069310.3.1, Solyc03g114400.3.1
OG0003997	AH020658-RA	Solyc01g005060.3.1
OG0003998	AH021999-RA	Solyc09g008040.3.1
OG0003999	AH021236-RA	Solyc03g118620.3.1
OG0004000	AH017601-RA	Solyc06g069890.3.1, Solyc03g116170.3.1
OG0004001	AH005471-RA, AH004128-RA	Solyc05g009150.3.1
OG0004002	AH004045-RA, AH005554-RA	Solyc04g005430.3.1, Solyc01g010370.3.1, Solyc05g012450.3.1
OG0004003	AH004635-RA, AH004715-RA	Solyc05g006240.3.1
OG0004004	AH001104-RA	Solyc04g008665.1.1
OG0004005	AH006696-RA	Solyc06g069140.2.1, Solyc08g067750.1.1, Solyc12g017675.1.1, Solyc12g017630.2.1
OG0004006	AH002927-RA	Solyc03g119870.3.1
OG0004007	AH012771-RA, AH022001-RA	Solyc09g007990.3.1
OG0004008	AH000022-RA, AH009144-RA	Solyc04g025650.3.1
OG0004009	AH004312-RA, AH004977-RA	Solyc02g063380.1.1
OG0004010	AH003105-RA	Solyc02g091770.2.1
OG0004026	AH022493-RA, AH013149-RA	Solyc11g072880.2.1
OG0004027	AH020459-RA	Solyc01g098320.3.1, Solyc04g040170.3.1
OG0004028	AH000798-RA	Solyc08g062780.2.1
OG0004029	AH019280-RA	Solyc04g049240.1.1
OG0004030	AH009112-RA	Solyc03g078290.3.1, Solyc11g005680.2.1
OG0004031	AH022549-RA, AH013698-RA	Solyc10g084800.2.1
OG0004032	AH021603-RA, AH015114-RA	Solyc02g078960.3.1
OG0004033	AH007282-RA, AH022714-RA	Solyc11g072710.2.1
OG0004034	AH006506-RA	Solyc09g092450.3.1
OG0004035	AH013763-RA	Solyc07g053060.3.1
OG0004036	AH005989-RA, AH005991-RA	Solyc04g054990.3.1, Solyc04g054980.3.1, Solyc03g096540.3.1, Solyc03g096550.3.1, Solyc03g096460.3.1
OG0004037	AH004311-RA	Solyc11g008650.1.1
OG0004037	AH011117-RA, AH007472-RA, AH007473-RA	Solyc03g063100.2.1
OG0004038	AH010164-RA	Solyc10g005600.3.1
OG0004039	AH017274-RA	Solyc01g079130.2.1
OG0004039	AH010462-RA, AH004075-RA, AH003567-RA, AH011247-RA	Solyc02g032090.1.1, Solyc01g100980.3.1, Solyc00g007570.2.1
OG0004040	AH014769-RA, AH007775-RA	Solyc01g096760.3.1
OG0004043	AH000383-RA, AH001502-RA	Solyc11g066860.2.1, Solyc01g009430.3.1, Solyc06g074620.3.1
OG0004044	AH002104-RA, AH000474-RA	Solyc10g044830.1.1, Solyc01g103868.1.1, Solyc01g103862.1.1, Solyc00g106650.2.1
OG0004045	AH023132-RA, AH016339-RA	Solyc05g052490.3.1
OG0004046	AH022206-RA	Solyc09g056340.3.1
OG0004046	AH020552-RA	Solyc09g098170.3.1, Solyc09g097900.3.1
OG0004047	AH009631-RA	Solyc01g095140.3.1, Solyc10g011900.3.1, Solyc01g095150.3.1
OG0004048	AH011012-RA	Solyc11g065160.2.1
OG0004049	AH003748-RA	Solyc04g054180.3.1
OG0004051	AH012802-RA	Solyc10g085980.2.1
OG0004052	AH012962-RA	Solyc09g075140.3.1
OG0004054	AH007674-RA	Solyc01g006450.3.1
OG0004055	AH015666-RA, AH015667-RA	Solyc01g096420.3.1, Solyc01g096435.1.1
OG0004056	AH002661-RA	Solyc09g066500.3.1
OG0004058	AH002604-RA, AH017783-RA	Solyc06g084080.3.1, Solyc09g065810.3.1
OG0004059	AH008069-RA, AH010039-RA, AH010036-RA	Solyc12g099560.2.1, Solyc05g054240.3.1
OG0004060	AH021308-RA	Solyc08g077310.3.1
OG0004061	AH017496-RA, AH002890-RA, AH002889-RA, AH011727-RA, AH020025-RA	Solyc10g080400.2.1
OG0004062	AH015527-RA	Solyc00g013130.3.1, Solyc03g063500.1.1, Solyc03g063495.1.1, Solyc11g030790.2.1, Solyc00g125990.2.1, Solyc00g126000.1.1, Solyc10g062040.2.1, Solyc07g041630.1.1, Solyc10g062035.1.1
OG0004063	AH006860-RA	Solyc03g062790.3.1, Solyc10g080490.2.1
OG0004064	AH013108-RA	Solyc06g007870.3.1, Solyc09g059450.3.1
OG0004065	AH012626-RA, AH013267-RA	Solyc10g083400.1.1
OG0004066	AH012650-RA	Solyc10g083510.2.1, Solyc09g009200.2.1
OG0004067	AH021336-RA	Solyc01g110820.3.1
OG0004068	AH012676-RA	Solyc09g008850.3.1
OG0004070	AH022619-RA	Solyc09g074320.3.1
OG0004071	AH010456-RA	Solyc01g098930.3.1
OG0004072	AH018953-RA	Solyc09g010880.3.1
OG0004073	AH010952-RA	Solyc02g086250.3.1
OG0004074	AH013675-RA	Solyc09g010700.3.1, Solyc11g066010.2.1
OG0004075	AH005139-RA, AH004262-RA	Solyc01g008080.3.1
OG0004076	AH013159-RA	Solyc11g072950.2.1
OG0004077	AH019845-RA	Solyc01g059880.3.1, Solyc12g099260.2.1
OG0004078	AH020083-RA, AH011135-RA	Solyc04g048900.3.1, Solyc05g056230.3.1
OG0004079	AH019834-RA	Solyc09g082650.3.1
OG0004080	AH001930-RA, AH013250-RA	Solyc04g009710.2.1, Solyc11g006910.2.1, Solyc05g055280.2.1, Solyc11g068430.2.1
OG0004082	AH009468-RA	Solyc11g066280.2.1
OG0004083	AH006002-RA	Solyc05g051580.3.1
OG0004084	AH011710-RA	Solyc08g014350.1.1
OG0004086	AH005281-RA	Solyc11g039650.2.1, Solyc01g103130.2.1
OG0004087	AH003294-RA	Solyc04g007270.3.1
OG0004088	AH008807-RA	Solyc02g063075.1.1, Solyc04g074940.3.1
OG0004089	AH018132-RA, AH011338-RA	Solyc08g082750.3.1, Solyc08g008410.3.1
OG0004090	AH006135-RA	Solyc02g093100.3.1
OG0004090	AH016665-RA	Solyc04g078590.3.1
OG0004091	AH008808-RA	Solyc04g074950.3.1, Solyc04g074960.3.1
OG0004093	AH000985-RA, AH001684-RA, AH001685-RA	Solyc01g107520.3.1
OG0004094	AH005865-RA	Solyc02g091733.1.1, Solyc03g043760.3.1, Solyc02g091730.2.1
OG0004095	AH003886-RA	Solyc02g092590.3.1
OG0004096	AH022832-RA	Solyc04g049770.3.1
OG0004097	AH008866-RA	Solyc06g060310.3.1, Solyc11g012850.2.1, Solyc09g056270.2.1, Solyc04g024920.1.1
OG0004098	AH003679-RA	Solyc04g051400.2.1, Solyc04g051410.3.1
OG0004099	AH001898-RA	Solyc01g108360.3.1, Solyc01g108350.3.1, Solyc10g050730.2.1, Solyc10g050690.2.1
OG0004100	AH007267-RA	Solyc12g077590.2.1
OG0004101	AH003279-RA, AH010366-RA	Solyc01g103185.1.1, Solyc01g103200.3.1
OG0004102	AH002308-RA	Solyc01g108070.3.1
OG0004103	AH008964-RA	Solyc04g080940.3.1
OG0004104	AH004205-RA, AH005291-RA	Solyc01g103540.3.1
OG0004105	AH000639-RA	Solyc10g047000.2.1
OG0004106	AH003839-RA	Solyc02g085220.3.1, Solyc07g056660.3.1
OG0004107	AH003589-RA	Solyc03g032090.1.1, Solyc02g082510.1.1, Solyc02g082520.2.1, Solyc00g007130.3.1, Solyc10g048180.1.1
OG0004108	AH002337-RA	Solyc01g111990.3.1
OG0004109	AH005613-RA	Solyc02g091930.3.1, Solyc02g063520.3.1
OG0004110	AH001409-RA	Solyc07g055040.1.1
OG0004111	AH005695-RA, AH003878-RA	Solyc02g064690.3.1, Solyc02g092490.3.1, Solyc11g064835.1.1
OG0004112	AH001585-RA, AH000920-RA	Solyc01g105540.3.1
OG0004113	AH005078-RA	Solyc02g082690.3.1
OG0004114	AH014737-RA, AH021320-RA	Solyc02g070910.3.1, Solyc02g070890.3.1
OG0004115	AH011594-RA	Solyc05g053410.3.1, Solyc01g059870.4.1
OG0004116	AH005902-RA	Solyc02g089990.1.1, Solyc03g044860.1.1, Solyc02g065430.1.1
OG0004117	AH002348-RA, AH000744-RA	Solyc10g074470.2.1, Solyc01g112050.3.1
OG0004118	AH001878-RA	Solyc10g050450.2.1
OG0004118	AH018875-RA	Solyc10g081820.2.1
OG0004119	AH021446-RA, AH014900-RA	Solyc04g014810.3.1, Solyc11g012440.1.1
OG0004120	AH007110-RA, AH007111-RA, AH007114-RA	Solyc05g053440.3.1
OG0004121	AH015268-RA	Solyc02g077560.3.1
OG0004122	AH009786-RA	Solyc10g005860.3.1
OG0004123	AH015067-RA, AH015064-RA, AH015065-RA, AH015069-RA, AH015070-RA, AH015066-RA, AH006845-RA, AH006846-RA, AH006844-RA, AH021553-RA	Solyc02g080060.1.1, Solyc02g080050.1.1
OG0004124	AH002272-RA, AH023231-RA	Solyc08g005990.3.1
OG0004125	AH014384-RA	Solyc07g006780.3.1
OG0004126	AH000305-RA, AH001380-RA	Solyc07g053630.3.1, Solyc10g008160.3.1
OG0004127	AH014746-RA	Solyc02g005510.3.1
OG0004128	AH021193-RA	Solyc02g080940.3.1
OG0004128	AH008223-RA	Solyc10g006240.3.1
OG0004130	AH017408-RA	Solyc03g118110.3.1
OG0004131	AH012629-RA	Solyc11g073200.2.1, Solyc11g073210.2.1
OG0004132	AH003329-RA, AH018087-RA	Solyc08g008320.3.1, Solyc08g082290.3.1
OG0004133	AH012287-RA	Solyc03g007100.3.1
OG0004134	AH012084-RA	Solyc03g007670.3.1, Solyc06g036420.2.1
OG0004135	AH013307-RA, AH013306-RA	Solyc06g062600.3.1, Solyc03g121600.3.1
OG0004136	AH002098-RA, AH000470-RA	Solyc12g044260.2.1, Solyc03g120670.3.1
OG0004136	AH002097-RA	Solyc12g044250.2.1
OG0004137	AH002293-RA	Solyc01g111765.1.1
OG0004138	AH023237-RA	Solyc12g009790.2.1, Solyc07g007680.3.1
OG0004139	AH002899-RA, AH002734-RA	Solyc06g064890.3.1
OG0004140	AH023584-RA	Solyc01g091250.3.1
OG0004141	AH014229-RA	Solyc05g032650.2.1, Solyc12g008890.2.1
OG0004142	AH000356-RA	Solyc01g068210.3.1
OG0004143	AH002051-RA	Solyc03g120310.3.1
OG0004144	AH012991-RA, AH022031-RA	Solyc02g067560.1.1, Solyc02g087460.1.1
OG0004144	AH012990-RA	Solyc05g006570.1.1
OG0004145	AH018715-RA	Solyc08g080050.3.1
OG0004146	AH009056-RA	Solyc11g013370.2.1
OG0004147	AH013972-RA	Solyc07g007620.3.1, Solyc12g009820.2.1
OG0004148	AH011803-RA	Solyc06g082290.3.1
OG0004149	AH014642-RA	Solyc07g008760.3.1
OG0004150	AH017107-RA	Solyc08g062670.3.1
OG0004153	AH001997-RA	Solyc03g116470.2.1
OG0004153	AH019252-RA	Solyc06g036540.1.1
OG0004154	AH023242-RA, AH016263-RA	Solyc08g021960.3.1
OG0004155	AH020696-RA	Solyc07g007810.3.1
OG0004156	AH009512-RA, AH009514-RA	Solyc01g096280.2.1, Solyc10g009310.3.1, Solyc05g047680.3.1
OG0004157	AH018294-RA	Solyc08g078520.3.1
OG0004158	AH012104-RA	Solyc03g007960.3.1, Solyc06g036260.3.1
OG0004159	AH012698-RA	Solyc04g082790.3.1, Solyc10g085790.2.1
OG0004160	AH013435-RA, AH022309-RA, AH022308-RA	Solyc03g123600.3.1, Solyc03g123610.3.1, Solyc06g063090.3.1
OG0004161	AH011365-RA, AH018181-RA	Solyc08g008610.3.1, Solyc08g083190.3.1
OG0004162	AH001530-RA	Solyc03g121270.3.1
OG0004163	AH019679-RA, AH011989-RA	Solyc03g083360.3.1, Solyc06g051960.3.1
OG0004164	AH014001-RA	Solyc12g096470.2.1
OG0004165	AH015314-RA	Solyc08g068960.3.1
OG0004166	AH004246-RA	Solyc01g102530.3.1
OG0004167	AH001217-RA	Solyc08g078590.1.1, Solyc06g060740.2.1
OG0004168	AH011918-RA	Solyc03g082490.3.1
OG0004169	AH019487-RA	Solyc03g007110.3.1
OG0004169	AH003120-RA, AH018737-RA	Solyc08g079660.3.1
OG0004170	AH012443-RA, AH021707-RA	Solyc09g015650.3.1
OG0004171	AH015951-RA, AH015950-RA, AH023493-RA	Solyc05g054740.3.1
OG0004172	AH007918-RA	Solyc11g007960.2.1
OG0004173	AH000259-RA	Solyc12g044670.1.1, Solyc03g121220.2.1
OG0004174	AH001322-RA, AH006505-RA	Solyc02g079415.1.1
OG0004175	AH014732-RA, AH021315-RA	Solyc02g070790.3.1, Solyc08g016170.3.1
OG0004176	AH020792-RA	Solyc03g062930.2.1, Solyc03g062915.1.1
OG0004178	AH007047-RA	Solyc03g096370.3.1
OG0004179	AH015393-RA	Solyc06g048620.3.1, Solyc06g048950.3.1
OG0004179	AH021708-RA	Solyc09g015520.3.1
OG0004180	AH015386-RA	Solyc07g006240.3.1
OG0004181	AH016005-RA	Solyc07g066620.3.1
OG0004182	AH008217-RA	Solyc10g018530.2.1
OG0004183	AH016171-RA, AH006119-RA	Solyc01g107270.3.1, Solyc02g076720.3.1, Solyc01g107277.1.1
OG0004184	AH005286-RA	Solyc11g069830.2.1, Solyc04g025160.3.1
OG0004185	AH005676-RA	Solyc04g051490.3.1
OG0004186	AH008140-RA	Solyc07g063950.3.1
OG0004187	AH022725-RA, AH023792-RA, AH016646-RA	Solyc01g087300.3.1, Solyc01g087290.3.1, Solyc01g087336.1.1, Solyc01g087350.3.1
OG0004188	AH015638-RA	Solyc03g097270.3.1
OG0004189	AH000431-RA, AH001269-RA	Solyc07g052940.3.1
OG0004190	AH012792-RA	Solyc09g007330.3.1
OG0004191	AH009356-RA	Solyc07g014700.3.1, Solyc05g046330.3.1
OG0004192	AH020852-RA, AH020158-RA, AH011842-RA	Solyc12g097070.2.1
OG0004193	AH022592-RA	Solyc04g057960.3.1
OG0004194	AH020816-RA	Solyc09g014510.3.1
OG0004195	AH015270-RA	Solyc10g008880.3.1, Solyc02g077450.3.1
OG0004196	AH015037-RA	Solyc03g031820.3.1
OG0004197	AH010009-RA, AH008092-RA	Solyc07g063410.3.1, Solyc12g013620.2.1
OG0004198	AH014974-RA, AH021494-RA	Solyc02g080810.3.1
OG0004199	AH022243-RA	Solyc01g096950.3.1
OG0004200	AH023399-RA	Solyc04g049380.3.1, Solyc04g049390.3.1
OG0004201	AH022010-RA	Solyc09g008130.3.1
OG0004202	AH000169-RA	Solyc11g069400.2.1
OG0004203	AH014770-RA, AH021350-RA	Solyc02g094570.3.1
OG0004204	AH011695-RA	Solyc07g006820.3.1
OG0004205	AH010152-RA	Solyc07g062300.3.1
OG0004206	AH006761-RA	Solyc04g015950.2.1
OG0004208	AH000086-RA, AH000087-RA	Solyc05g013030.1.1
OG0004209	AH000179-RA	Solyc11g069520.2.1
OG0004210	AH020402-RA	Solyc10g080010.2.1, Solyc04g016180.3.1
OG0004211	AH014637-RA	Solyc00g017220.2.1
OG0004212	AH012894-RA	Solyc09g074210.3.1
OG0004213	AH018622-RA	Solyc08g081000.3.1
OG0004214	AH005202-RA, AH004531-RA	Solyc05g015880.3.1
OG0004215	AH013614-RA	Solyc06g083190.3.1, Solyc09g057660.3.1
OG0004216	AH016970-RA, AH008609-RA	Solyc07g024020.2.1, Solyc04g079120.3.1
OG0004217	AH008429-RA	Solyc04g080430.3.1
OG0004218	AH012184-RA	Solyc05g051680.3.1
OG0004219	AH009470-RA	Solyc10g005130.3.1
OG0004220	AH012197-RA	Solyc03g093200.3.1, Solyc05g051690.3.1
OG0004222	AH015997-RA	Solyc01g099530.3.1
OG0004223	AH018194-RA, AH011906-RA	Solyc08g083320.3.1
OG0004224	AH000585-RA	Solyc10g054090.2.1
OG0004224	AH008447-RA	Solyc04g064760.3.1
OG0004225	AH011709-RA	Solyc03g031690.3.1
OG0004226	AH020107-RA, AH007076-RA	Solyc01g079750.3.1
OG0004228	AH010904-RA	Solyc01g073950.3.1, Solyc01g006470.1.1
OG0004229	AH012280-RA, AH019477-RA, AH012281-RA, AH019478-RA	Solyc03g007120.3.1
OG0004230	AH011439-RA	Solyc01g090590.3.1
OG0004231	AH017077-RA	Solyc12g096280.2.1
OG0004232	AH013569-RA, AH016715-RA, AH022379-RA	Solyc03g111840.3.1
OG0004233	AH002558-RA	Solyc06g082930.3.1, Solyc06g007640.3.1
OG0004234	AH010818-RA, AH007759-RA, AH007758-RA	Solyc01g097240.3.1
OG0004235	AH004899-RA	Solyc05g014200.3.1
OG0004236	AH007883-RA, AH010753-RA	Solyc04g009910.3.1, Solyc04g009900.3.1, Solyc05g055050.2.1
OG0004237	AH005839-RA	Solyc02g084000.3.1
OG0004238	AH008656-RA	Solyc04g063280.3.1
OG0004239	AH003221-RA	Solyc01g108160.3.1
OG0004240	AH004542-RA	Solyc05g015520.3.1
OG0004241	AH019426-RA	Solyc05g056055.1.1
OG0004242	AH003288-RA, AH010358-RA	Solyc04g024500.3.1
OG0004243	AH001760-RA	Solyc11g042940.2.1
OG0004244	AH001505-RA	Solyc08g078240.3.1
OG0004245	AH007362-RA	Solyc04g076520.2.1
OG0004246	AH012927-RA	Solyc09g075040.3.1
OG0004247	AH018106-RA, AH011329-RA	Solyc12g055910.2.1
OG0004248	AH020248-RA, AH006935-RA	Solyc03g114370.3.1
OG0004249	AH011778-RA	Solyc12g098910.2.1, Solyc05g053210.3.1
OG0004250	AH005242-RA, AH004252-RA	Solyc07g017860.3.1, Solyc02g094640.3.1
OG0004251	AH009363-RA	Solyc01g103660.3.1, Solyc01g103650.3.1, Solyc01g103670.3.1
OG0004252	AH003501-RA, AH008445-RA	Solyc07g045590.1.1, Solyc03g033280.1.1, Solyc03g033250.1.1, Solyc03g033290.1.1, Solyc06g054660.1.1
OG0004253	AH009715-RA	Solyc04g080540.2.1
OG0004254	AH003976-RA	Solyc02g065420.3.1, Solyc02g090000.3.1
OG0004255	AH018492-RA, AH011573-RA	Solyc12g096050.2.1, Solyc08g005410.3.1
OG0004256	AH021036-RA, AH014268-RA, AH021037-RA	Solyc01g005410.3.1, Solyc04g005720.3.1, Solyc01g005400.3.1
OG0004257	AH002508-RA, AH017953-RA	Solyc03g112640.3.1
OG0004258	AH003388-RA	Solyc04g008560.3.1
OG0004259	AH016536-RA, AH005392-RA	Solyc05g009320.3.1, Solyc03g119530.3.1
OG0004260	AH005391-RA	Solyc05g009310.3.1, Solyc04g007210.3.1
OG0004260	AH014367-RA, AH020998-RA	Solyc03g119540.3.1
OG0004261	AH005823-RA	Solyc02g062350.3.1
OG0004262	AH002500-RA	Solyc03g112830.3.1
OG0004263	AH015821-RA, AH019139-RA	Solyc03g013630.3.1, Solyc02g067060.3.1, Solyc02g088630.3.1
OG0004264	AH018323-RA, AH001103-RA	Solyc03g118950.2.1, Solyc03g118943.1.1
OG0004265	AH023138-RA, AH021550-RA, AH015057-RA	Solyc02g081910.2.1
OG0004266	AH023433-RA	Solyc05g005650.2.1
OG0004267	AH004409-RA, AH004760-RA	Solyc05g005710.3.1, Solyc04g026030.3.1
OG0004268	AH018415-RA	Solyc08g005130.1.1
OG0004269	AH017528-RA	Solyc03g115370.3.1, Solyc12g039180.2.1
OG0004270	AH017326-RA	Solyc03g113790.3.1
OG0004271	AH018524-RA, AH003243-RA	Solyc08g074960.3.1
OG0004272	AH004800-RA	Solyc04g039730.3.1, Solyc05g005140.3.1
OG0004273	AH017944-RA	Solyc03g112520.3.1
OG0004274	AH007242-RA	Solyc03g097140.3.1
OG0004275	AH004553-RA, AH005174-RA	Solyc05g015320.3.1
OG0004276	AH002513-RA	Solyc06g071725.1.1, Solyc06g071730.3.1, Solyc03g112330.3.1
OG0004278	AH014781-RA, AH021358-RA	Solyc02g071880.3.1, Solyc02g071870.3.1
OG0004279	AH013095-RA	Solyc05g053700.2.1
OG0004280	AH013256-RA	Solyc01g009480.3.1, Solyc01g009500.3.1, Solyc06g074330.3.1
OG0004281	AH001947-RA	Solyc03g117510.3.1
OG0004294	AH002177-RA	Solyc05g051790.3.1, Solyc03g025570.2.1
OG0004296	AH012873-RA	Solyc09g074510.3.1
OG0004297	AH020099-RA	Solyc09g075800.3.1
OG0004298	AH009059-RA	Solyc03g007680.3.1
OG0004299	AH016053-RA	Solyc08g062440.2.1, Solyc08g062560.3.1
OG0004300	AH020389-RA, AH006770-RA	Solyc04g015540.1.1
OG0004301	AH003335-RA, AH020244-RA, AH006947-RA	Solyc09g091260.3.1, Solyc12g098100.2.1
OG0004302	AH010783-RA	Solyc01g080340.3.1, Solyc09g074060.3.1
OG0004303	AH001990-RA, AH015398-RA	Solyc08g080920.3.1, Solyc12g056270.2.1
OG0004304	AH019777-RA	Solyc07g041325.1.1, Solyc07g041330.2.1, Solyc02g022870.3.1
OG0004305	AH010518-RA	Solyc01g099745.1.1
OG0004306	AH011105-RA, AH017876-RA	Solyc06g082920.3.1, Solyc07g006480.3.1
OG0004307	AH007000-RA, AH020193-RA	Solyc09g090940.3.1
OG0004308	AH007025-RA	Solyc01g067380.3.1, Solyc06g054550.3.1
OG0004309	AH019879-RA, AH007153-RA	Solyc01g065560.3.1
OG0004310	AH021839-RA	Solyc10g085600.2.1
OG0004311	AH007745-RA	Solyc11g007010.2.1
OG0004312	AH013855-RA	Solyc10g079830.2.1
OG0004313	AH018775-RA	Solyc08g075260.1.1, Solyc08g075250.1.1, Solyc08g075240.3.1, Solyc08g075270.1.1, Solyc08g005630.3.1
OG0004314	AH000880-RA	Solyc01g111060.3.1
OG0004316	AH004611-RA, AH006734-RA	Solyc04g016490.3.1
