Orthogroup	A_hypochondriacus.proteins	S_lycopersicum.proteins
OG0000063	AH023173-RA, AH001423-RA, AH000423-RA, AH016304-RA, AH022434-RA	Solyc06g050440.3.1, Solyc05g052280.3.1
OG0000065	AH020188-RA	Solyc09g011590.3.1, Solyc09g011570.3.1, Solyc09g011610.3.1, Solyc12g036560.1.1, Solyc09g011600.3.1, Solyc09g011580.2.1, Solyc09g011550.2.1, Solyc09g011560.2.1, Solyc09g011620.1.1, Solyc09g011520.3.1, Solyc09g011510.2.1, Solyc09g011530.2.1, Solyc09g011500.3.1, Solyc09g011490.3.1, Solyc09g011630.3.1, Solyc09g011640.4.1, Solyc10g084960.2.1, Solyc09g011540.2.1, Solyc01g086680.3.1, Solyc09g011650.3.1
OG0000065	AH020229-RA	Solyc12g097080.2.1, Solyc09g091140.3.1, Solyc09g091130.3.1
OG0000065	AH020228-RA	Solyc09g011535.1.1
OG0000065	AH013022-RA	Solyc09g063150.3.1
OG0000067	AH001311-RA	Solyc11g072490.2.1
OG0000067	AH020386-RA	Solyc10g019030.1.1
OG0000068	AH011897-RA, AH021520-RA, AH021522-RA, AH015036-RA, AH015035-RA, AH020117-RA	Solyc02g068670.2.1, Solyc02g068600.3.1
OG0000070	AH008914-RA, AH023567-RA	Solyc04g071260.3.1
OG0000070	AH004919-RA, AH004504-RA, AH022950-RA	Solyc11g065990.2.1, Solyc05g054480.3.1, Solyc10g080500.2.1
OG0000070	AH013681-RA	Solyc10g086460.2.1
OG0000070	AH016471-RA	Solyc04g045285.1.1, Solyc05g024490.3.1, Solyc11g005330.2.1
OG0000071	AH022369-RA, AH013559-RA	Solyc03g111690.3.1
OG0000071	AH012735-RA	Solyc09g008380.3.1
OG0000071	AH020129-RA	Solyc11g008140.2.1, Solyc03g071570.3.1, Solyc05g055510.3.1
OG0000071	AH006941-RA, AH004025-RA, AH005525-RA	Solyc09g091430.3.1
OG0000071	AH013047-RA	Solyc09g061890.3.1
OG0000071	AH004886-RA	Solyc05g014000.3.1
OG0000072	AH003759-RA, AH005866-RA	Solyc04g081150.3.1
OG0000072	AH008035-RA	Solyc01g073970.3.1, Solyc02g077480.1.1
OG0000072	AH011844-RA	Solyc01g086820.3.1
OG0000077	AH000842-RA	Solyc10g055200.1.1, Solyc01g111235.1.1, Solyc02g032040.1.1, Solyc02g032050.1.1, Solyc02g032030.1.1, Solyc10g008900.3.1, Solyc10g055230.1.1, Solyc10g055190.1.1, Solyc10g055210.2.1, Solyc10g055065.1.1, Solyc10g054975.1.1, Solyc10g055085.1.1, Solyc10g055000.2.1, Solyc10g055090.1.1, Solyc01g111230.3.1
OG0000077	AH019349-RA	Solyc06g054320.1.1
OG0000077	AH007662-RA, AH007663-RA	Solyc01g017563.1.1, Solyc01g021620.2.1, Solyc01g021600.3.1, Solyc01g017540.1.1, Solyc00g131610.2.1, Solyc01g006060.3.1
OG0000077	AH006889-RA	Solyc07g042300.1.1
OG0000079	AH015194-RA	Solyc02g079890.2.1, Solyc03g007730.1.1, Solyc02g079895.1.1, Solyc00g154480.2.1
OG0000079	AH008309-RA	Solyc01g105860.3.1, Solyc01g105950.3.1, Solyc02g079910.2.1
OG0000085	AH014594-RA, AH021106-RA	Solyc07g041940.3.1
OG0000085	AH013377-RA, AH013378-RA	Solyc12g049360.2.1, Solyc06g062920.3.1
OG0000085	AH021680-RA	Solyc10g074710.2.1
OG0000085	AH015892-RA, AH017005-RA	Solyc12g009310.2.1, Solyc07g042590.3.1
OG0000085	AH018522-RA	Solyc08g074980.3.1
OG0000087	AH006703-RA, AH020455-RA	Solyc10g079600.2.1, Solyc10g079595.1.1, Solyc10g079700.2.1
OG0000087	AH019163-RA, AH015676-RA, AH019164-RA, AH015677-RA	Solyc02g071220.3.1
OG0000087	AH004659-RA	Solyc05g006420.3.1
OG0000087	AH017338-RA	Solyc03g113720.3.1
OG0000088	AH007982-RA	Solyc12g014350.2.1
OG0000088	AH002003-RA, AH000992-RA, AH014780-RA	Solyc02g071860.3.1, Solyc02g071820.3.1, Solyc02g071810.3.1
OG0000089	AH002040-RA	Solyc05g053570.3.1, Solyc05g053590.3.1, Solyc05g053600.3.1, Solyc05g053610.2.1, Solyc09g091660.3.1, Solyc09g091670.3.1, Solyc12g100180.2.1, Solyc12g100190.2.1, Solyc12g098210.2.1
OG0000089	AH019224-RA, AH019223-RA, AH014168-RA	Solyc08g067610.3.1, Solyc08g067620.2.1
OG0000090	AH003790-RA, AH010641-RA	Solyc09g065870.3.1
OG0000090	AH005307-RA	Solyc02g093520.3.1
OG0000091	AH020558-RA, AH020560-RA	Solyc12g098610.2.1, Solyc09g092520.3.1
OG0000091	AH016466-RA	Solyc07g006860.3.1
OG0000091	AH021178-RA, AH000644-RA, AH008758-RA, AH008757-RA, AH019221-RA, AH019219-RA, AH001608-RA, AH008756-RA, AH008759-RA, AH019220-RA	Solyc03g093130.3.1, Solyc03g093120.4.1, Solyc03g093110.3.1, Solyc03g093080.3.1
OG0000092	AH006375-RA	Solyc10g085780.1.1
OG0000092	AH010573-RA, AH012303-RA, AH016633-RA, AH021997-RA, AH012260-RA	Solyc04g039980.3.1, Solyc04g039990.3.1
OG0000095	AH013260-RA	Solyc03g121630.3.1
OG0000095	AH006304-RA	Solyc07g043270.3.1
OG0000095	AH010162-RA	Solyc08g060840.1.1
OG0000096	AH005894-RA	Solyc07g043120.1.1, Solyc07g043150.1.1, Solyc09g098080.3.1, Solyc07g043160.1.1, Solyc07g043100.1.1, Solyc07g043110.1.1, Solyc07g043170.3.1, Solyc12g014010.2.1
OG0000096	AH001835-RA	Solyc07g043030.2.1, Solyc07g043040.1.1, Solyc07g043060.1.1, Solyc07g043050.1.1, Solyc07g043020.1.1, Solyc07g043190.2.1
OG0000097	AH017957-RA	Solyc03g112680.2.1
OG0000097	AH006658-RA	Solyc07g015990.1.1, Solyc06g006053.1.1
OG0000097	AH021560-RA, AH010510-RA, AH010508-RA, AH010504-RA, AH009815-RA, AH023774-RA, AH014933-RA, AH010507-RA, AH010512-RA, AH010506-RA, AH010515-RA, AH010503-RA, AH010513-RA, AH004608-RA, AH009799-RA, AH009807-RA, AH009818-RA, AH009801-RA, AH009814-RA, AH015317-RA, AH009812-RA, AH009813-RA, AH009819-RA, AH009811-RA	Solyc08g044336.1.1
OG0000098	AH016758-RA	Solyc04g081490.3.1, Solyc12g089310.2.1
OG0000098	AH003177-RA	Solyc03g118760.3.1
OG0000099	AH005801-RA	Solyc04g011925.1.1, Solyc04g011920.2.1, Solyc04g051768.1.1, Solyc04g011940.2.1, Solyc04g051730.1.1
OG0000101	AH019269-RA	Solyc05g025640.1.1
OG0000102	AH010958-RA, AH012445-RA	Solyc02g077050.3.1
OG0000102	AH021394-RA	Solyc02g076910.3.1
OG0000103	AH021989-RA	Solyc10g084110.2.1, Solyc09g007730.3.1
OG0000103	AH010272-RA, AH008021-RA, AH015077-RA	Solyc02g078530.3.1, Solyc03g006500.3.1, Solyc09g014470.2.1, Solyc10g076760.2.1
OG0000104	AH021778-RA, AH012562-RA	Solyc10g083170.2.1
OG0000104	AH001537-RA, AH001536-RA, AH001538-RA, AH012416-RA	Solyc08g028690.3.1, Solyc10g083180.2.1
OG0000105	AH005316-RA	Solyc02g067830.3.1, Solyc02g093360.3.1
OG0000105	AH021428-RA, AH014857-RA	Solyc04g015130.3.1, Solyc07g065710.3.1, Solyc10g005770.3.1
OG0000105	AH012640-RA, AH021838-RA	Solyc10g083500.2.1, Solyc09g009380.3.1
OG0000105	AH013279-RA	Solyc06g074480.3.1, Solyc11g067070.1.1
OG0000106	AH023641-RA, AH000766-RA, AH007103-RA, AH002332-RA, AH007102-RA, AH002238-RA, AH002331-RA, AH002336-RA, AH002237-RA, AH000765-RA, AH000768-RA	Solyc10g052560.1.1, Solyc10g052590.1.1, Solyc10g052530.1.1, Solyc10g052550.1.1, Solyc11g011605.1.1, Solyc04g052910.2.1, Solyc04g052890.2.1, Solyc10g052570.1.1, Solyc04g052980.1.1, Solyc04g052990.1.1, Solyc11g011670.1.1, Solyc11g011710.1.1, Solyc11g011640.1.1, Solyc04g052960.1.1, Solyc11g011690.1.1, Solyc11g011730.1.1, Solyc11g011630.2.1, Solyc11g011660.1.1, Solyc04g053030.1.1, Solyc04g053010.1.1, Solyc11g011615.1.1, Solyc04g053020.2.1
OG0000107	AH004190-RA, AH005485-RA	Solyc05g008805.1.1
OG0000107	AH001713-RA	Solyc02g086370.3.1, Solyc05g008820.3.1, Solyc05g008815.1.1
OG0000108	AH010687-RA, AH001829-RA	Solyc06g009280.1.1, Solyc06g009290.3.1
OG0000108	AH012760-RA, AH014759-RA	Solyc02g071350.3.1, Solyc02g071340.2.1
OG0000109	AH001741-RA	Solyc01g110380.3.1
OG0000109	AH003764-RA	Solyc02g084390.3.1, Solyc02g062330.2.1
OG0000109	AH008949-RA	Solyc04g081060.3.1
OG0000110	AH019974-RA, AH007045-RA	Solyc12g056820.2.1
OG0000112	AH015488-RA	Solyc08g048230.1.1, Solyc04g018190.1.1, Solyc04g039770.2.1, Solyc08g029400.2.1, Solyc02g011920.1.1
OG0000112	AH015562-RA	Solyc09g031830.1.1, Solyc06g074590.2.1
OG0000113	AH016269-RA, AH023225-RA	Solyc06g065970.1.1
OG0000113	AH023633-RA	Solyc01g090970.3.1
OG0000113	AH018586-RA	Solyc08g078920.2.1, Solyc08g079230.1.1, Solyc08g079190.1.1, Solyc08g079200.1.1, Solyc08g078870.2.1, Solyc06g060640.1.1, Solyc08g005960.2.1, Solyc08g074480.1.1
OG0000113	AH018579-RA	Solyc08g078940.1.1, Solyc08g078890.2.1
