Orthogroup	A_vesiculosa.proteins	P_amilis.proteins
OG0003632	Av_00015435-RA, Av_00018155-RA	FUN_006219-T1, FUN_016069-T1, FUN_016069-T2
OG0003633	Av_00015057-RA, Av_00009211-RA	FUN_008798-T1, FUN_051361-T3, FUN_051361-T2, FUN_051361-T1
OG0003634	Av_00021256-RA	FUN_006061-T1, FUN_031705-T1
OG0003635	Av_00019787-RA	FUN_001732-T1
OG0003636	Av_00004233-RA, Av_00008887-RA, Av_00019540-RA	FUN_015509-T1, FUN_015509-T2, FUN_026676-T1, FUN_026676-T2
OG0003637	Av_00015414-RA	FUN_005757-T1
OG0003637	Av_00004921-RA, Av_00015564-RA	FUN_047118-T1, FUN_047117-T1
OG0003639	Av_00008866-RA, Av_00019304-RA	FUN_026405-T2, FUN_026405-T1
OG0003639	Av_00024074-RA, Av_00004141-RA	FUN_003142-T1
OG0003640	Av_00011749-RA	FUN_020406-T1, FUN_007541-T1
OG0003640	Av_00024523-RA	FUN_041043-T1
OG0003641	Av_00019720-RA	FUN_030730-T1, FUN_030730-T2, FUN_037711-T2, FUN_037711-T1
OG0003642	Av_00018568-RA, Av_00010712-RA, Av_00006082-RA	FUN_018633-T1, FUN_040637-T1
OG0003643	Av_00001662-RA, Av_00009457-RA	FUN_013659-T1, FUN_013659-T2
OG0003644	Av_00020994-RA	FUN_009338-T1, FUN_009338-T2
OG0003645	Av_00003240-RA, Av_00013935-RA, Av_00017413-RA, Av_00008618-RA, Av_00000032-RA	FUN_048077-T1, FUN_037308-T1
OG0003646	Av_00004012-RA, Av_00004911-RA	FUN_026099-T1, FUN_026101-T1, FUN_013159-T2, FUN_013159-T1
OG0003647	Av_00023587-RA, Av_00009829-RA, Av_00011028-RA	FUN_026811-T1, FUN_026811-T2, FUN_013065-T1
OG0003650	Av_00007107-RA, Av_00003601-RA	FUN_008274-T1
OG0003651	Av_00017429-RA, Av_00010278-RA	FUN_048124-T1, FUN_037362-T2, FUN_037362-T1
OG0003652	Av_00007450-RA, Av_00003720-RA, Av_00010635-RA, Av_00014171-RA	FUN_042242-T1, FUN_042242-T2
OG0003654	Av_00011171-RA, Av_00024168-RA	FUN_017296-T1
OG0003655	Av_00005890-RA	FUN_043396-T1, FUN_036757-T1
OG0003656	Av_00012700-RA, Av_00018521-RA	FUN_000972-T1, FUN_000972-T2, FUN_027434-T1
OG0003657	Av_00023765-RA, Av_00019888-RA	FUN_012623-T1, FUN_012614-T1
OG0003658	Av_00011942-RA	FUN_002913-T1, FUN_002913-T2
OG0003659	Av_00020592-RA, Av_00006726-RA	FUN_033961-T1
OG0003660	Av_00023756-RA	FUN_042721-T1
OG0003662	Av_00000009-RA	FUN_023359-T2, FUN_023359-T3, FUN_023359-T1
OG0003664	Av_00003648-RA, Av_00023118-RA	FUN_036720-T1
OG0003665	Av_00019815-RA	FUN_021266-T6, FUN_021266-T5, FUN_021266-T2, FUN_021266-T3, FUN_021266-T1, FUN_021266-T4
OG0003667	Av_00013493-RA	FUN_041923-T1, FUN_041923-T2
OG0003668	Av_00009818-RA	FUN_026874-T1, FUN_026874-T2, FUN_013052-T1, FUN_013052-T2, FUN_013051-T1, FUN_026876-T1
OG0003669	Av_00019709-RA	FUN_042717-T1, FUN_042717-T2
OG0003670	Av_00018943-RA, Av_00013465-RA	FUN_018794-T1
OG0003671	Av_00023793-RA, Av_00000855-RA, Av_00003388-RA, Av_00023965-RA	FUN_033049-T1
OG0003672	Av_00004723-RA, Av_00016914-RA, Av_00010135-RA	FUN_007920-T1
OG0003673	Av_00010610-RA, Av_00014152-RA	FUN_035029-T1
OG0003674	Av_00020708-RA, Av_00012849-RA	FUN_002821-T1
OG0003675	Av_00020542-RA	FUN_013093-T1, FUN_049310-T1
OG0003676	Av_00008970-RA, Av_00022061-RA, Av_00003703-RA	FUN_012235-T1, FUN_035772-T1
OG0003677	Av_00013264-RA	FUN_048794-T1
OG0003678	Av_00018415-RA, Av_00018416-RA	FUN_045812-T2, FUN_045812-T3
OG0003679	Av_00004752-RA, Av_00016948-RA	FUN_038137-T3, FUN_038137-T2, FUN_038137-T1
OG0003680	Av_00018665-RA, Av_00000185-RA, Av_00023208-RA, Av_00007878-RA	FUN_012079-T1, FUN_045900-T1
OG0003681	Av_00003540-RA, Av_00007066-RA, Av_00023406-RA, Av_00008195-RA, Av_00004362-RA	FUN_014671-T1
OG0003682	Av_00002085-RA, Av_00012933-RA	FUN_022825-T1, FUN_013909-T3, FUN_013909-T2, FUN_013909-T4, FUN_013909-T1, FUN_013909-T6, FUN_013909-T5
OG0003683	Av_00006210-RA	FUN_026538-T1
OG0003683	Av_00005588-RA	FUN_034583-T1
OG0003684	Av_00014975-RA	FUN_015637-T2, FUN_015637-T1
OG0003685	Av_00005905-RA, Av_00008711-RA, Av_00023122-RA	FUN_043289-T1
OG0003686	Av_00010126-RA, Av_00009327-RA	FUN_027606-T1
OG0003687	Av_00001850-RA	FUN_025469-T2, FUN_025469-T1
OG0003688	Av_00022359-RA	FUN_004176-T1
OG0003689	Av_00025039-RA, Av_00021116-RA, Av_00020431-RA	FUN_039995-T1, FUN_039993-T2, FUN_039993-T1, FUN_039998-T1
OG0003691	Av_00024497-RA, Av_00005465-RA	FUN_040750-T2, FUN_040750-T1
OG0003692	Av_00007177-RA, Av_00017763-RA, Av_00008800-RA	FUN_047241-T1, FUN_051717-T1
OG0003693	Av_00012279-RA, Av_00004430-RA, Av_00021540-RA	FUN_007520-T1, FUN_002271-T1, FUN_002271-T2
OG0003694	Av_00011217-RA, Av_00013825-RA, Av_00009251-RA	FUN_046944-T1
OG0003695	Av_00024407-RA, Av_00011214-RA	FUN_011367-T1
OG0003696	Av_00020719-RA	FUN_013006-T2, FUN_013006-T1
OG0003697	Av_00012821-RA, Av_00019508-RA, Av_00010104-RA, Av_00014303-RA	FUN_041753-T1, FUN_004843-T1
OG0003698	Av_00008051-RA	FUN_000760-T2, FUN_000760-T1
OG0003699	Av_00019435-RA	FUN_025661-T1, FUN_025661-T2, FUN_025661-T3
OG0003700	Av_00019538-RA, Av_00022416-RA	FUN_015508-T1
OG0003701	Av_00007472-RA	FUN_043989-T1, FUN_043686-T1
OG0003702	Av_00007795-RA, Av_00000239-RA, Av_00007796-RA, Av_00000238-RA	FUN_016407-T2, FUN_016407-T1
OG0003703	Av_00000776-RA	FUN_027116-T1, FUN_027116-T2
OG0003705	Av_00022826-RA	FUN_002696-T1
OG0003706	Av_00020829-RA	FUN_053005-T3, FUN_053005-T1, FUN_053005-T2
OG0003707	Av_00001871-RA	FUN_053126-T1, FUN_053126-T2
OG0003708	Av_00004947-RA, Av_00003963-RA	FUN_050249-T1
OG0003709	Av_00020610-RA, Av_00022904-RA	FUN_009026-T1
OG0003710	Av_00018885-RA, Av_00009498-RA	FUN_045154-T1, FUN_045153-T1, FUN_043961-T1
OG0003711	Av_00021457-RA, Av_00000863-RA	FUN_048996-T3, FUN_048996-T1, FUN_048996-T2
OG0003712	Av_00010675-RA, Av_00018599-RA	FUN_003076-T1
OG0003713	Av_00016786-RA	FUN_051417-T1
OG0003714	Av_00000891-RA, Av_00005277-RA	FUN_023225-T1
OG0003715	Av_00013612-RA, Av_00008266-RA	FUN_010898-T3, FUN_010898-T2, FUN_010898-T1
OG0003716	Av_00024056-RA, Av_00019417-RA	FUN_045444-T1, FUN_023863-T1
OG0003717	Av_00013608-RA	FUN_047090-T1
OG0003718	Av_00005772-RA, Av_00014800-RA, Av_00014801-RA	FUN_016694-T1, FUN_029807-T1, FUN_016691-T1
OG0003719	Av_00020707-RA, Av_00014291-RA	FUN_027490-T1
OG0003720	Av_00002745-RA, Av_00016717-RA, Av_00024201-RA, Av_00015537-RA, Av_00016991-RA	FUN_023656-T1, FUN_023656-T2, FUN_033740-T1
OG0003721	Av_00003953-RA, Av_00018615-RA, Av_00021869-RA	FUN_033339-T1, FUN_027558-T1
OG0003722	Av_00012483-RA	FUN_020733-T2, FUN_020733-T1, FUN_012595-T1
OG0003724	Av_00020905-RA	FUN_046855-T1
OG0003725	Av_00007523-RA	FUN_023309-T1
OG0003726	Av_00016572-RA, Av_00024830-RA	FUN_047844-T1, FUN_038238-T1, FUN_038238-T2, FUN_038238-T3
OG0003727	Av_00002680-RA, Av_00005315-RA, Av_00015483-RA, Av_00023095-RA, Av_00015484-RA	FUN_032285-T1
OG0003728	Av_00006398-RA	FUN_033890-T1
OG0003728	Av_00010674-RA, Av_00018601-RA, Av_00021947-RA, Av_00008998-RA	FUN_014661-T1
OG0003729	Av_00006447-RA, Av_00005305-RA, Av_00007514-RA	FUN_032362-T1
OG0003730	Av_00016962-RA, Av_00015512-RA	FUN_023367-T1, FUN_032574-T1, FUN_032574-T2
OG0003731	Av_00000531-RA	FUN_011150-T2, FUN_011150-T1, FUN_011150-T3
OG0003732	Av_00010248-RA, Av_00012839-RA, Av_00010117-RA, Av_00014296-RA	FUN_034147-T1
OG0003733	Av_00010506-RA	FUN_045431-T2, FUN_045431-T3, FUN_045431-T1
OG0003734	Av_00011585-RA	FUN_020381-T1
OG0003735	Av_00003908-RA	FUN_016534-T1
OG0003736	Av_00007574-RA	FUN_032680-T1, FUN_023471-T1
OG0003737	Av_00022385-RA	FUN_020735-T1
OG0003738	Av_00012404-RA, Av_00009288-RA, Av_00011290-RA, Av_00013854-RA	FUN_047429-T1
OG0003739	Av_00021159-RA, Av_00011609-RA, Av_00024133-RA	FUN_020723-T1, FUN_020722-T1
OG0003740	Av_00003413-RA	FUN_047284-T1
OG0003741	Av_00024196-RA	FUN_023477-T1, FUN_023477-T4, FUN_023477-T3, FUN_023477-T2
OG0003742	Av_00008690-RA, Av_00014711-RA	FUN_039626-T1, FUN_049524-T1, FUN_049524-T3, FUN_049524-T2
OG0003744	Av_00024204-RA, Av_00020881-RA, Av_00003301-RA, Av_00007599-RA, Av_00005216-RA, Av_00002752-RA	FUN_023820-T1, FUN_033684-T1
OG0003745	Av_00012467-RA, Av_00012466-RA, Av_00009359-RA	FUN_038800-T1
OG0003746	Av_00014511-RA	FUN_000536-T1
OG0003746	Av_00008591-RA, Av_00014632-RA	FUN_048273-T1, FUN_037573-T1
OG0003747	Av_00009619-RA, Av_00002206-RA, Av_00001483-RA	FUN_024856-T3, FUN_024856-T2, FUN_024856-T1
OG0003750	Av_00023417-RA, Av_00002523-RA	FUN_051567-T1
OG0003769	Av_00024436-RA	FUN_025221-T1
OG0003770	Av_00020308-RA	FUN_023575-T1, FUN_023575-T2
OG0003771	Av_00016532-RA, Av_00006557-RA, Av_00011840-RA	FUN_036290-T1, FUN_052611-T2, FUN_052611-T1
OG0003772	Av_00004794-RA	FUN_010318-T1
OG0003775	Av_00014702-RA, Av_00008682-RA	FUN_038192-T1, FUN_038192-T2
OG0003776	Av_00005112-RA, Av_00013257-RA	FUN_028681-T1
OG0003777	Av_00000805-RA	FUN_010324-T1
OG0003777	Av_00009604-RA	FUN_040496-T1
OG0003778	Av_00015101-RA	FUN_002434-T3, FUN_002434-T1, FUN_002434-T2
OG0003781	Av_00021120-RA	FUN_021208-T1
OG0003782	Av_00018008-RA, Av_00010299-RA, Av_00002957-RA, Av_00012631-RA	FUN_020292-T1
OG0003783	Av_00015559-RA, Av_00004008-RA, Av_00004912-RA	FUN_026078-T1, FUN_013144-T2, FUN_013144-T1
OG0003784	Av_00008130-RA, Av_00001204-RA	FUN_036409-T1, FUN_038448-T1
OG0003785	Av_00020226-RA, Av_00020227-RA	FUN_018914-T3, FUN_018914-T4, FUN_018914-T1, FUN_018914-T2
OG0003786	Av_00016615-RA, Av_00014839-RA, Av_00015123-RA, Av_00001329-RA, Av_00022995-RA	FUN_036816-T1, FUN_051574-T1
OG0003787	Av_00005193-RA, Av_00023704-RA	FUN_020288-T1
OG0003789	Av_00006465-RA	FUN_033212-T1
OG0003790	Av_00018997-RA	FUN_001062-T2, FUN_001062-T1
OG0003791	Av_00018779-RA	FUN_005319-T1, FUN_014452-T1
OG0003792	Av_00004715-RA, Av_00016904-RA, Av_00010125-RA	FUN_027605-T1
OG0003793	Av_00017030-RA	FUN_014402-T1
OG0003793	Av_00016274-RA	FUN_051407-T1
OG0003794	Av_00011664-RA	FUN_017165-T1
OG0003795	Av_00002178-RA	FUN_008050-T1, FUN_041989-T1
OG0003796	Av_00009153-RA	FUN_048633-T1
OG0003797	Av_00021221-RA, Av_00016161-RA, Av_00020350-RA, Av_00016769-RA	FUN_002531-T1, FUN_017669-T1, FUN_035654-T1
OG0003798	Av_00009640-RA, Av_00002227-RA, Av_00024036-RA	FUN_024944-T1, FUN_043558-T1
OG0003799	Av_00004050-RA, Av_00019451-RA	FUN_026364-T1, FUN_026363-T3, FUN_026363-T1, FUN_026363-T2
OG0003801	Av_00021450-RA	FUN_038560-T1
OG0003802	Av_00022250-RA	FUN_008967-T1
OG0003803	Av_00009548-RA, Av_00018923-RA	FUN_040413-T1
OG0003804	Av_00012724-RA, Av_00022872-RA	FUN_027469-T1
OG0003805	Av_00016285-RA, Av_00006923-RA	FUN_034455-T2, FUN_034455-T5, FUN_034455-T4, FUN_034455-T1, FUN_034455-T3, FUN_051561-T1
OG0003806	Av_00001270-RA	FUN_052300-T2, FUN_052300-T1, FUN_052300-T4, FUN_052300-T3
OG0003807	Av_00002194-RA, Av_00009614-RA	FUN_043086-T1
OG0003808	Av_00023422-RA	FUN_042947-T2, FUN_042947-T1
OG0003809	Av_00013540-RA, Av_00001561-RA	FUN_014240-T3, FUN_014240-T2, FUN_014240-T4, FUN_014240-T5, FUN_014240-T1
OG0003810	Av_00017065-RA, Av_00022825-RA	FUN_014953-T1
OG0003811	Av_00012298-RA, Av_00004415-RA, Av_00012297-RA, Av_00004416-RA	FUN_046013-T1, FUN_002361-T1
OG0003812	Av_00015360-RA, Av_00000405-RA, Av_00024398-RA, Av_00001882-RA	FUN_004204-T1, FUN_007791-T1
OG0003814	Av_00012200-RA, Av_00003925-RA, Av_00004968-RA	FUN_031824-T1
OG0003815	Av_00000441-RA	FUN_001773-T1
OG0003816	Av_00001815-RA	FUN_010229-T1
OG0003817	Av_00013999-RA, Av_00011493-RA	FUN_038196-T2, FUN_038196-T1, FUN_038196-T3
OG0003818	Av_00020773-RA, Av_00007167-RA, Av_00012363-RA	FUN_014426-T1
OG0003819	Av_00002681-RA	FUN_009196-T1
OG0003821	Av_00023290-RA, Av_00020156-RA	FUN_046588-T1
OG0003822	Av_00009985-RA, Av_00006878-RA, Av_00024791-RA, Av_00016000-RA, Av_00004195-RA, Av_00019101-RA, Av_00010213-RA	FUN_024519-T1
OG0003823	Av_00007721-RA	FUN_003858-T1
OG0003824	Av_00014222-RA, Av_00011663-RA	FUN_025509-T2, FUN_025509-T1
OG0003825	Av_00007655-RA	FUN_018801-T1
OG0003826	Av_00016327-RA	FUN_030706-T1
OG0003826	Av_00004554-RA, Av_00004332-RA	FUN_030705-T1, FUN_009448-T1
OG0003827	Av_00013715-RA	FUN_025440-T1, FUN_031227-T2, FUN_031227-T3, FUN_031227-T1
OG0003828	Av_00012153-RA	FUN_026071-T2, FUN_026071-T1, FUN_026071-T3
OG0003830	Av_00024891-RA	FUN_023441-T1, FUN_023444-T1
OG0003831	Av_00011367-RA, Av_00004575-RA, Av_00011130-RA	FUN_020203-T1
OG0003832	Av_00004286-RA, Av_00004590-RA, Av_00015974-RA, Av_00009868-RA, Av_00011077-RA	FUN_051978-T1, FUN_045732-T1
OG0003833	Av_00007720-RA, Av_00000299-RA, Av_00022035-RA, Av_00012495-RA	FUN_029441-T1
OG0003835	Av_00012496-RA	FUN_029429-T3, FUN_029429-T1, FUN_029429-T2
OG0003836	Av_00014142-RA, Av_00010600-RA	FUN_012341-T1, FUN_035171-T1
OG0003837	Av_00002934-RA	FUN_026877-T1, FUN_033428-T1
OG0003838	Av_00012026-RA, Av_00022837-RA	FUN_044255-T2, FUN_044255-T1, FUN_038677-T1, FUN_038677-T2
OG0003839	Av_00001972-RA	FUN_009616-T1, FUN_030577-T1, FUN_030577-T3, FUN_030577-T2
OG0003840	Av_00007914-RA, Av_00010015-RA, Av_00006865-RA	FUN_024403-T1
OG0003840	Av_00016343-RA	FUN_009562-T1, FUN_030609-T1
OG0003841	Av_00013020-RA, Av_00024022-RA, Av_00001667-RA, Av_00021963-RA	FUN_008837-T1, FUN_013646-T2, FUN_013646-T1
OG0003842	Av_00004391-RA	FUN_047498-T1
OG0003844	Av_00003114-RA, Av_00007859-RA	FUN_046560-T3, FUN_046560-T2, FUN_046560-T1
OG0003848	Av_00020664-RA, Av_00014097-RA	FUN_036744-T1, FUN_043341-T1
OG0003848	Av_00003645-RA	FUN_043340-T1
OG0003849	Av_00018488-RA, Av_00018060-RA, Av_00007682-RA	FUN_034700-T1, FUN_034702-T1
OG0003850	Av_00007484-RA	FUN_035548-T1, FUN_008612-T1
OG0003851	Av_00017108-RA	FUN_026835-T1, FUN_034048-T1
OG0003853	Av_00024267-RA	FUN_046278-T1, FUN_053274-T1
OG0003854	Av_00007680-RA	FUN_044357-T1, FUN_044360-T2, FUN_044360-T1, FUN_034724-T2, FUN_034724-T5, FUN_034724-T3, FUN_034724-T4, FUN_034724-T1
OG0003855	Av_00016237-RA	FUN_029868-T1, FUN_029868-T2, FUN_026985-T1
OG0003856	Av_00015781-RA, Av_00002395-RA	FUN_011968-T1
OG0003857	Av_00023766-RA	FUN_032189-T1
OG0003858	Av_00003639-RA	FUN_036790-T5, FUN_036790-T4, FUN_036790-T2, FUN_036790-T3, FUN_036790-T1
OG0003859	Av_00015121-RA, Av_00001326-RA	FUN_037783-T1
OG0003860	Av_00014109-RA, Av_00005912-RA, Av_00021395-RA	FUN_043173-T1, FUN_036657-T1, FUN_036657-T2
OG0003861	Av_00004028-RA	FUN_007883-T1, FUN_007885-T1, FUN_026197-T1
OG0003862	Av_00009148-RA, Av_00014760-RA	FUN_015315-T1
OG0003863	Av_00014112-RA, Av_00008720-RA, Av_00020682-RA	FUN_008757-T1, FUN_008757-T3, FUN_008757-T2
OG0003864	Av_00018212-RA, Av_00001020-RA, Av_00009830-RA, Av_00011029-RA	FUN_026814-T2, FUN_026814-T1, FUN_013063-T1
OG0003865	Av_00004106-RA, Av_00017157-RA	FUN_011855-T4, FUN_011855-T3, FUN_011855-T2, FUN_011855-T1
OG0003866	Av_00023354-RA, Av_00018561-RA	FUN_040702-T1
OG0003867	Av_00003226-RA	FUN_037220-T1
OG0003867	Av_00001628-RA, Av_00009409-RA	FUN_022840-T1
OG0003868	Av_00013833-RA	FUN_011497-T3, FUN_011497-T1, FUN_011497-T2
OG0003869	Av_00010064-RA	FUN_016249-T1, FUN_016249-T3, FUN_016249-T4, FUN_016249-T2
OG0003870	Av_00014705-RA, Av_00008685-RA	FUN_049595-T2, FUN_049595-T1
OG0003871	Av_00004164-RA	FUN_005458-T1
OG0003872	Av_00004245-RA	FUN_015524-T1, FUN_015524-T2
OG0003874	Av_00006165-RA	FUN_049079-T1
OG0003875	Av_00004145-RA, Av_00015441-RA	FUN_003126-T1, FUN_006286-T1
OG0003876	Av_00014646-RA, Av_00008609-RA, Av_00017426-RA	FUN_037358-T1
OG0003877	Av_00018550-RA, Av_00010459-RA	FUN_040868-T2, FUN_040868-T1, FUN_007949-T1, FUN_007949-T2
OG0003878	Av_00023358-RA	FUN_021142-T4, FUN_021142-T5, FUN_021142-T6, FUN_021142-T2, FUN_021142-T3, FUN_021142-T1
OG0003880	Av_00022670-RA	FUN_008368-T1
OG0003880	Av_00005871-RA, Av_00012127-RA	FUN_026314-T3, FUN_026314-T1, FUN_026314-T2
OG0003881	Av_00006292-RA, Av_00008895-RA, Av_00016026-RA, Av_00004227-RA	FUN_035978-T1, FUN_052319-T1
OG0003882	Av_00014280-RA	FUN_027361-T1, FUN_027361-T2
OG0003883	Av_00009151-RA, Av_00014762-RA	FUN_037532-T1
OG0003884	Av_00023430-RA, Av_00009812-RA	FUN_052893-T1, FUN_013019-T1, FUN_011270-T1
OG0003885	Av_00009482-RA, Av_00013037-RA, Av_00017630-RA, Av_00009943-RA	FUN_045014-T1, FUN_043096-T1
OG0003886	Av_00003021-RA	FUN_018450-T1, FUN_018450-T2, FUN_040208-T1, FUN_040227-T1, FUN_040225-T1
OG0003887	Av_00004042-RA, Av_00012130-RA, Av_00004893-RA	FUN_026294-T1
OG0003890	Av_00010438-RA	FUN_018135-T1
OG0003891	Av_00010091-RA	FUN_026867-T1
OG0003892	Av_00005892-RA	FUN_036749-T1
OG0003892	Av_00021402-RA	FUN_043358-T2, FUN_043358-T1
OG0003893	Av_00018382-RA, Av_00005168-RA, Av_00020055-RA	FUN_034712-T1
OG0003895	Av_00008524-RA, Av_00021080-RA	FUN_048994-T1, FUN_048994-T2
OG0003896	Av_00008119-RA, Av_00014897-RA, Av_00001220-RA	FUN_052630-T1, FUN_036298-T1
OG0003897	Av_00023253-RA	FUN_002834-T1, FUN_002834-T2
OG0003898	Av_00014194-RA	FUN_009997-T3, FUN_009997-T2, FUN_009997-T1
OG0003900	Av_00008542-RA, Av_00013115-RA	FUN_018090-T1
OG0003901	Av_00013290-RA	FUN_048963-T1
OG0003902	Av_00011731-RA, Av_00024777-RA	FUN_014564-T1
OG0003903	Av_00012553-RA, Av_00002867-RA	FUN_039397-T1
OG0003904	Av_00003188-RA	FUN_037933-T1, FUN_037934-T1, FUN_048492-T1
OG0003905	Av_00005605-RA	FUN_012330-T1
OG0003906	Av_00006483-RA	FUN_040428-T3, FUN_040428-T1
OG0003907	Av_00007309-RA, Av_00019038-RA, Av_00018737-RA	FUN_052129-T1, FUN_005584-T1
OG0003908	Av_00024909-RA	FUN_043261-T2, FUN_043261-T1
OG0003909	Av_00021359-RA	FUN_036880-T1
OG0003910	Av_00020677-RA	FUN_043187-T1
OG0003911	Av_00012473-RA, Av_00015903-RA, Av_00012472-RA	FUN_043705-T1
OG0003914	Av_00016889-RA, Av_00012717-RA, Av_00024692-RA	FUN_027566-T1
OG0003915	Av_00010677-RA, Av_00018596-RA	FUN_030752-T1
OG0003916	Av_00005703-RA, Av_00017266-RA	FUN_019134-T1, FUN_030314-T1
OG0003917	Av_00011764-RA, Av_00019976-RA	FUN_047589-T1, FUN_011683-T2, FUN_011683-T1
OG0003918	Av_00008175-RA, Av_00004353-RA	FUN_014290-T1
OG0003919	Av_00020857-RA	FUN_000769-T1
OG0003921	Av_00002784-RA, Av_00005178-RA	FUN_013773-T1, FUN_013775-T1
OG0003922	Av_00020587-RA	FUN_009416-T2, FUN_009416-T3, FUN_009416-T1, FUN_039700-T1
OG0003923	Av_00005190-RA	FUN_001680-T3, FUN_001680-T2, FUN_001680-T1
OG0003924	Av_00005609-RA, Av_00005963-RA	FUN_012340-T2, FUN_012340-T1, FUN_035168-T1
OG0003925	Av_00003866-RA, Av_00005015-RA	FUN_030277-T1, FUN_030277-T2, FUN_019157-T1
OG0003926	Av_00014398-RA	FUN_052753-T4, FUN_052753-T2, FUN_052753-T1, FUN_052753-T3
OG0003927	Av_00003441-RA, Av_00000799-RA	FUN_010432-T3, FUN_010432-T1, FUN_010432-T2, FUN_010432-T4, FUN_051195-T1
OG0003928	Av_00006214-RA, Av_00019807-RA	FUN_045905-T1
OG0003929	Av_00019181-RA	FUN_019105-T1
OG0003930	Av_00000202-RA	FUN_046548-T1, FUN_011942-T1
OG0003931	Av_00004342-RA, Av_00008163-RA	FUN_034663-T1
OG0003932	Av_00007051-RA	FUN_003999-T1
OG0003933	Av_00006242-RA	FUN_000802-T2, FUN_000802-T1, FUN_000802-T3
OG0003934	Av_00000702-RA, Av_00014727-RA	FUN_004384-T4, FUN_004384-T1, FUN_004384-T2, FUN_004384-T3
OG0003935	Av_00023603-RA, Av_00022319-RA	FUN_049351-T2, FUN_049351-T1
OG0003937	Av_00001139-RA	FUN_009406-T1
OG0003938	Av_00021215-RA, Av_00016764-RA, Av_00020347-RA, Av_00020346-RA	FUN_018911-T1, FUN_042858-T1, FUN_001580-T1
OG0003939	Av_00023535-RA	FUN_001383-T2, FUN_001383-T3, FUN_001383-T1
OG0003940	Av_00002003-RA, Av_00017942-RA	FUN_052822-T1, FUN_029379-T2, FUN_029379-T1
OG0003941	Av_00016013-RA	FUN_024110-T1
OG0003942	Av_00009244-RA, Av_00024405-RA, Av_00011216-RA, Av_00010996-RA, Av_00017723-RA	FUN_046996-T1, FUN_020572-T1, FUN_020574-T1
OG0003943	Av_00017343-RA, Av_00008498-RA	FUN_002468-T1, FUN_002468-T2
OG0003944	Av_00014628-RA, Av_00008589-RA	FUN_037579-T4, FUN_037579-T6, FUN_037579-T3, FUN_037579-T8, FUN_037579-T2, FUN_037579-T9, FUN_037579-T5, FUN_037579-T1, FUN_037579-T7
OG0003945	Av_00020139-RA	FUN_008175-T1
OG0003946	Av_00018746-RA	FUN_052026-T1
OG0003946	Av_00003552-RA	FUN_031175-T1
OG0003948	Av_00008566-RA, Av_00017797-RA, Av_00021147-RA	FUN_037871-T1, FUN_048452-T1
OG0003949	Av_00019426-RA, Av_00012104-RA	FUN_004604-T1, FUN_004604-T2
OG0003951	Av_00011592-RA, Av_00020413-RA	FUN_020570-T1
OG0003952	Av_00004583-RA	FUN_045778-T1
OG0003953	Av_00012284-RA	FUN_002291-T3, FUN_002291-T1, FUN_002291-T2
OG0003954	Av_00022552-RA	FUN_020704-T2, FUN_020704-T1, FUN_020703-T1, FUN_012577-T1
OG0003955	Av_00012562-RA, Av_00002876-RA, Av_00013448-RA	FUN_020706-T2, FUN_020706-T1, FUN_003505-T1
OG0003956	Av_00001305-RA, Av_00015104-RA, Av_00022857-RA	FUN_051423-T1, FUN_000489-T2, FUN_000489-T1
OG0003957	Av_00024352-RA, Av_00006719-RA	FUN_033192-T1
OG0003958	Av_00000939-RA, Av_00007243-RA, Av_00011126-RA	FUN_027846-T1
OG0003960	Av_00019146-RA	FUN_002233-T1, FUN_002233-T2, FUN_053194-T1, FUN_014945-T1, FUN_002233-T3, FUN_032038-T1, FUN_032038-T2
OG0003961	Av_00006749-RA	FUN_050480-T1, FUN_050480-T3, FUN_050480-T2, FUN_034107-T1
OG0003962	Av_00017730-RA	FUN_011312-T2, FUN_011312-T1, FUN_011313-T1, FUN_011313-T2, FUN_011314-T1
OG0003963	Av_00021545-RA	FUN_002352-T1, FUN_009912-T1
OG0003964	Av_00010955-RA	FUN_046600-T1
OG0003964	Av_00015275-RA	FUN_048630-T1, FUN_048630-T2, FUN_048630-T3, FUN_038394-T1
OG0003965	Av_00015789-RA	FUN_014097-T1, FUN_014091-T1
OG0003966	Av_00010742-RA, Av_00017336-RA, Av_00013083-RA, Av_00017578-RA	FUN_020699-T1, FUN_012637-T1
OG0003968	Av_00019408-RA, Av_00024426-RA	FUN_001254-T5, FUN_001254-T2, FUN_001254-T1, FUN_001254-T4, FUN_001254-T3
OG0003969	Av_00019138-RA	FUN_021267-T2, FUN_021267-T1
OG0003970	Av_00024545-RA	FUN_020708-T1
OG0003970	Av_00011200-RA	FUN_046904-T1, FUN_034112-T1
OG0003972	Av_00002295-RA	FUN_010310-T3, FUN_010310-T2, FUN_010310-T1
OG0003973	Av_00009368-RA	FUN_015446-T1
OG0003973	Av_00024648-RA, Av_00021717-RA	FUN_038200-T2, FUN_038200-T1
OG0003974	Av_00017517-RA	FUN_017353-T1
OG0003975	Av_00001770-RA, Av_00013778-RA	FUN_011131-T1, FUN_045320-T4, FUN_045320-T1, FUN_045320-T2, FUN_045320-T3
OG0003977	Av_00023993-RA, Av_00016578-RA	FUN_047820-T1, FUN_038299-T1
OG0003978	Av_00010673-RA, Av_00018602-RA	FUN_029104-T2, FUN_029104-T1, FUN_029109-T1, FUN_029109-T2
OG0003979	Av_00010664-RA, Av_00005550-RA, Av_00006034-RA	FUN_030917-T1
