Orthogroup	A_vesiculosa.proteins	P_amilis.proteins
OG0000028	Av_00011314-RA	FUN_050955-T1, FUN_011516-T1
OG0000029	Av_00007061-RA	FUN_036143-T1, FUN_036144-T1, FUN_001608-T1
OG0000029	Av_00023395-RA	FUN_001610-T1, FUN_001607-T1, FUN_012089-T1, FUN_005174-T1, FUN_005159-T1, FUN_005162-T1, FUN_005161-T1, FUN_005297-T1, FUN_005301-T1, FUN_005295-T1, FUN_005299-T1, FUN_005302-T1, FUN_005294-T1
OG0000031	Av_00023882-RA	FUN_047053-T1
OG0000031	Av_00023881-RA, Av_00019981-RA	FUN_009433-T1
OG0000031	Av_00023880-RA	FUN_009434-T1
OG0000032	Av_00017613-RA	FUN_031303-T1
OG0000032	Av_00005837-RA	FUN_012015-T1, FUN_018438-T1, FUN_018443-T1, FUN_018442-T1, FUN_018440-T1, FUN_037257-T1, FUN_043669-T1, FUN_024434-T1
OG0000034	Av_00010139-RA	FUN_012533-T1, FUN_018515-T1, FUN_040533-T1, FUN_018489-T1, FUN_018484-T1, FUN_018493-T1, FUN_018504-T1, FUN_018511-T1, FUN_018514-T1, FUN_018512-T1, FUN_018503-T1
OG0000034	Av_00014124-RA, Av_00014125-RA	FUN_035361-T1, FUN_035361-T2, FUN_035361-T3, FUN_035360-T2, FUN_035360-T3, FUN_035360-T1, FUN_035359-T1, FUN_035359-T2, FUN_012498-T2, FUN_012498-T1
OG0000034	Av_00003681-RA, Av_00003677-RA, Av_00003679-RA	FUN_035333-T2, FUN_035333-T1, FUN_035332-T1
OG0000037	Av_00004452-RA, Av_00001047-RA	FUN_001433-T1, FUN_001434-T1, FUN_001428-T1, FUN_001429-T1, FUN_001432-T1, FUN_001431-T1, FUN_001424-T1, FUN_001423-T1
OG0000037	Av_00005925-RA	FUN_000651-T1
OG0000038	Av_00017653-RA	FUN_030253-T1, FUN_004360-T1, FUN_050362-T1
OG0000038	Av_00000257-RA	FUN_037585-T1, FUN_025377-T1
OG0000038	Av_00001694-RA	FUN_050347-T1
OG0000040	Av_00004970-RA	FUN_029829-T1, FUN_029830-T1, FUN_029826-T1, FUN_029824-T1, FUN_035490-T1, FUN_012622-T1, FUN_035489-T1, FUN_016608-T1, FUN_016618-T1, FUN_017800-T1, FUN_017799-T1
OG0000041	Av_00009871-RA, Av_00011079-RA, Av_00018306-RA, Av_00007268-RA, Av_00004285-RA, Av_00015969-RA, Av_00011385-RA	FUN_051962-T1, FUN_045720-T1
OG0000041	Av_00012197-RA, Av_00005774-RA	FUN_016739-T1
OG0000041	Av_00023746-RA, Av_00022768-RA	FUN_010340-T1
OG0000041	Av_00009917-RA, Av_00011128-RA, Av_00013005-RA	FUN_027799-T1
OG0000041	Av_00004338-RA, Av_00008161-RA, Av_00012068-RA	FUN_003721-T1
OG0000041	Av_00003291-RA	FUN_037732-T1, FUN_048382-T1
OG0000042	Av_00019089-RA	FUN_000692-T1, FUN_000692-T2, FUN_010057-T1
OG0000042	Av_00009478-RA, Av_00008427-RA	FUN_049930-T1, FUN_049929-T1, FUN_049928-T1, FUN_049931-T2, FUN_049931-T1
OG0000043	Av_00014180-RA	FUN_030472-T1
OG0000044	Av_00015365-RA, Av_00000401-RA, Av_00024396-RA, Av_00001881-RA	FUN_001129-T1
