Orthogroup	A_hypochondriacus.proteins	D_spatulata.proteins
OG0000124	AH019891-RA, AH004745-RA, AH000628-RA	Ds_00015312-RA
OG0000125	AH012890-RA	Ds_00004719-RA
OG0000125	AH010561-RA	Ds_00006202-RA
OG0000125	AH010563-RA	Ds_00006911-RA
OG0000127	AH022171-RA, AH012869-RA	Ds_00000390-RA, Ds_00012730-RA
OG0000127	AH002969-RA, AH017357-RA	Ds_00017651-RA
OG0000129	AH019248-RA	Ds_00008115-RA
OG0000129	AH019249-RA	Ds_00014831-RA, Ds_00009085-RA
OG0000131	AH016864-RA, AH016862-RA, AH003876-RA, AH018991-RA, AH013318-RA, AH003875-RA, AH016865-RA, AH013320-RA, AH016866-RA, AH016863-RA, AH014527-RA, AH003877-RA, AH016833-RA, AH016845-RA, AH016868-RA, AH014582-RA, AH014583-RA, AH014581-RA, AH014580-RA, AH014579-RA, AH009123-RA, AH009120-RA, AH014365-RA, AH014364-RA, AH020779-RA, AH020778-RA, AH014066-RA, AH020774-RA	Ds_00008212-RA, Ds_00013324-RA
OG0000134	AH001790-RA, AH001791-RA	Ds_00015753-RA, Ds_00003473-RA, Ds_00007908-RA
OG0000135	AH016059-RA	Ds_00011844-RA
OG0000135	AH013502-RA	Ds_00000458-RA, Ds_00012779-RA
OG0000135	AH015896-RA	Ds_00003378-RA, Ds_00002564-RA
OG0000136	AH017306-RA	Ds_00012310-RA
OG0000137	AH014193-RA, AH012283-RA, AH019476-RA, AH019481-RA, AH014194-RA, AH019421-RA, AH011697-RA, AH012282-RA	Ds_00001512-RA, Ds_00014384-RA, Ds_00014967-RA, Ds_00014968-RA
OG0000138	AH016422-RA, AH016421-RA	Ds_00008401-RA
OG0000138	AH013724-RA, AH022574-RA	Ds_00015496-RA
OG0000139	AH023020-RA	Ds_00013858-RA, Ds_00013856-RA
OG0000140	AH001067-RA, AH001066-RA, AH001068-RA, AH001070-RA, AH003302-RA, AH014008-RA	Ds_00002651-RA
OG0000142	AH003498-RA, AH003496-RA, AH003495-RA, AH003497-RA	Ds_00016529-RA, Ds_00015657-RA, Ds_00017015-RA
OG0000143	AH002172-RA	Ds_00007320-RA
OG0000143	AH016191-RA, AH008728-RA	Ds_00017988-RA
OG0000143	AH008727-RA	Ds_00009459-RA, Ds_00005378-RA, Ds_00009460-RA
OG0000144	AH010736-RA	Ds_00006975-RA
OG0000144	AH005332-RA	Ds_00008018-RA
OG0000145	AH009242-RA	Ds_00004600-RA
OG0000146	AH013670-RA, AH013668-RA	Ds_00014708-RA, Ds_00014704-RA, Ds_00014622-RA
OG0000146	AH023024-RA	Ds_00006085-RA
OG0000147	AH000183-RA	Ds_00005844-RA
OG0000148	AH022552-RA	Ds_00010086-RA
OG0000148	AH022967-RA	Ds_00017699-RA
OG0000149	AH016220-RA	Ds_00012034-RA
OG0000149	AH022324-RA	Ds_00009210-RA
OG0000149	AH018906-RA	Ds_00003858-RA
OG0000152	AH000407-RA	Ds_00013693-RA
OG0000152	AH022508-RA, AH013637-RA, AH016497-RA, AH022506-RA	Ds_00007505-RA
OG0000153	AH021960-RA	Ds_00010298-RA
OG0000153	AH008291-RA	Ds_00005175-RA
OG0000153	AH007368-RA	Ds_00014432-RA
OG0000155	AH012846-RA, AH012847-RA, AH012848-RA, AH022179-RA	Ds_00014910-RA
OG0000155	AH012859-RA, AH012860-RA, AH012864-RA, AH012865-RA, AH012862-RA, AH010202-RA, AH022174-RA, AH010200-RA, AH012855-RA	Ds_00004721-RA
OG0000157	AH001951-RA	Ds_00000657-RA
OG0000157	AH019804-RA	Ds_00015738-RA, Ds_00009636-RA
OG0000159	AH009478-RA, AH009480-RA	Ds_00013623-RA, Ds_00013624-RA, Ds_00007406-RA, Ds_00013622-RA, Ds_00012539-RA
OG0000159	AH020974-RA	Ds_00007405-RA
OG0000159	AH011882-RA	Ds_00004538-RA
OG0000160	AH016892-RA, AH023753-RA	Ds_00007481-RA
OG0000160	AH005973-RA	Ds_00013430-RA
OG0000161	AH010020-RA	Ds_00008227-RA, Ds_00008230-RA, Ds_00004514-RA, Ds_00013396-RA
OG0000162	AH022861-RA, AH022859-RA	Ds_00008464-RA
OG0000162	AH005478-RA, AH004130-RA	Ds_00006516-RA
OG0000162	AH000903-RA	Ds_00005880-RA
OG0000163	AH014552-RA	Ds_00011543-RA
OG0000163	AH002639-RA, AH017756-RA	Ds_00001076-RA, Ds_00007815-RA
OG0000164	AH021228-RA, AH014343-RA	Ds_00016899-RA, Ds_00000385-RA
OG0000164	AH001454-RA, AH000392-RA	Ds_00001238-RA
OG0000164	AH020804-RA, AH014173-RA	Ds_00007283-RA
OG0000165	AH001450-RA, AH009997-RA, AH010091-RA	Ds_00001766-RA
OG0000168	AH007811-RA	Ds_00006112-RA
OG0000169	AH003317-RA	Ds_00004019-RA
OG0000169	AH010535-RA	Ds_00003898-RA
OG0000170	AH011283-RA	Ds_00016912-RA
OG0000170	AH007222-RA, AH010754-RA	Ds_00006258-RA, Ds_00006960-RA
OG0000171	AH000491-RA, AH002132-RA	Ds_00014598-RA, Ds_00002404-RA, Ds_00000753-RA
OG0000179	AH015938-RA	Ds_00005952-RA
OG0000179	AH012805-RA	Ds_00010315-RA
OG0000179	AH004307-RA	Ds_00001438-RA, Ds_00013435-RA
OG0000180	AH013715-RA	Ds_00016983-RA
OG0000180	AH022087-RA	Ds_00017730-RA
OG0000181	AH008868-RA	Ds_00017542-RA
OG0000181	AH010377-RA, AH003266-RA	Ds_00014418-RA
OG0000182	AH001251-RA, AH000172-RA, AH021993-RA	Ds_00010282-RA, Ds_00005977-RA
OG0000182	AH012779-RA	Ds_00008849-RA, Ds_00013004-RA
OG0000183	AH000308-RA, AH001363-RA	Ds_00012303-RA, Ds_00001174-RA
OG0000183	AH015254-RA	Ds_00011530-RA
OG0000184	AH007212-RA	Ds_00003186-RA, Ds_00006449-RA
OG0000184	AH019907-RA, AH007213-RA	Ds_00006448-RA
OG0000184	AH017737-RA	Ds_00014554-RA
OG0000185	AH007772-RA	Ds_00003146-RA
OG0000185	AH020040-RA	Ds_00003193-RA
OG0000186	AH004613-RA	Ds_00004773-RA
OG0000187	AH006242-RA	Ds_00008058-RA
OG0000187	AH003380-RA	Ds_00008057-RA
OG0000187	AH004538-RA, AH005195-RA	Ds_00006661-RA
OG0000188	AH009637-RA	Ds_00015932-RA, Ds_00008381-RA
OG0000191	AH006833-RA	Ds_00009563-RA, Ds_00000808-RA, Ds_00011024-RA
OG0000192	AH011160-RA, AH011162-RA, AH011161-RA	Ds_00004053-RA
OG0000192	AH011736-RA	Ds_00004978-RA, Ds_00009310-RA, Ds_00015642-RA
OG0000193	AH002455-RA	Ds_00013537-RA, Ds_00014382-RA
OG0000198	AH013656-RA	Ds_00010071-RA
OG0000198	AH009407-RA	Ds_00009858-RA
OG0000198	AH006665-RA, AH004318-RA	Ds_00001079-RA
OG0000198	AH015977-RA	Ds_00003282-RA
OG0000199	AH011848-RA	Ds_00014671-RA
OG0000199	AH001884-RA	Ds_00004356-RA
OG0000199	AH015573-RA	Ds_00012859-RA, Ds_00014801-RA
OG0000200	AH005777-RA	Ds_00016619-RA
OG0000200	AH014501-RA	Ds_00006108-RA, Ds_00006110-RA
OG0000201	AH020018-RA	Ds_00015640-RA
OG0000206	AH022824-RA, AH007651-RA	Ds_00007448-RA
OG0000207	AH002648-RA	Ds_00007817-RA, Ds_00001074-RA
OG0000207	AH022984-RA	Ds_00009946-RA
OG0000207	AH018948-RA	Ds_00000933-RA
OG0000207	AH009146-RA	Ds_00001632-RA, Ds_00008813-RA
OG0000207	AH009147-RA	Ds_00008814-RA
OG0000208	AH013416-RA, AH022322-RA, AH013411-RA	Ds_00002327-RA
OG0000211	AH015397-RA, AH019277-RA	Ds_00012122-RA, Ds_00012463-RA, Ds_00012462-RA, Ds_00007175-RA, Ds_00000439-RA, Ds_00012459-RA
OG0000211	AH017571-RA	Ds_00005345-RA
OG0000211	AH005036-RA, AH004370-RA	Ds_00010559-RA
OG0000212	AH019579-RA, AH012403-RA	Ds_00012990-RA
OG0000212	AH013636-RA	Ds_00007503-RA, Ds_00010063-RA
OG0000213	AH021488-RA, AH014963-RA	Ds_00004488-RA
OG0000213	AH011769-RA, AH007383-RA, AH010611-RA, AH000276-RA	Ds_00009515-RA
OG0000216	AH008260-RA	Ds_00014036-RA
OG0000216	AH002574-RA	Ds_00006476-RA
OG0000216	AH000038-RA	Ds_00005269-RA
OG0000217	AH006817-RA, AH006820-RA	Ds_00007309-RA, Ds_00007311-RA
OG0000218	AH021003-RA	Ds_00009872-RA
OG0000218	AH018419-RA	Ds_00005113-RA
OG0000219	AH012080-RA	Ds_00003099-RA, Ds_00007306-RA, Ds_00009965-RA, Ds_00007304-RA, Ds_00009970-RA
OG0000219	AH011868-RA, AH011866-RA, AH011867-RA	Ds_00007308-RA, Ds_00003100-RA, Ds_00009967-RA, Ds_00009968-RA, Ds_00009180-RA, Ds_00007307-RA, Ds_00007305-RA, Ds_00009969-RA, Ds_00009950-RA, Ds_00010404-RA, Ds_00003104-RA, Ds_00009949-RA, Ds_00009181-RA
