Orthogroup	A_hypochondriacus.proteins	D_spatulata.proteins
OG0004593	AH004537-RA, AH005196-RA	Ds_00010771-RA
OG0004593	AH006379-RA	Ds_00004788-RA
OG0004594	AH018317-RA	Ds_00017303-RA
OG0004595	AH018440-RA, AH011543-RA	Ds_00013508-RA
OG0004596	AH017172-RA	Ds_00000156-RA
OG0004598	AH010201-RA, AH020845-RA, AH015364-RA	Ds_00012669-RA, Ds_00015133-RA
OG0004599	AH020482-RA, AH006650-RA	Ds_00012660-RA
OG0004600	AH012554-RA	Ds_00015961-RA, Ds_00015569-RA
OG0004601	AH006867-RA	Ds_00002683-RA, Ds_00007614-RA
OG0004621	AH000437-RA	Ds_00012281-RA
OG0004622	AH006847-RA, AH020340-RA	Ds_00009561-RA
OG0004623	AH008401-RA	Ds_00014425-RA, Ds_00015146-RA
OG0004624	AH005800-RA	Ds_00016204-RA
OG0004626	AH011197-RA	Ds_00004011-RA
OG0004628	AH018459-RA	Ds_00011134-RA
OG0004629	AH015654-RA	Ds_00017683-RA
OG0004630	AH000071-RA	Ds_00008705-RA
OG0004633	AH001371-RA	Ds_00012703-RA
OG0004634	AH015937-RA	Ds_00009782-RA
OG0004635	AH010806-RA	Ds_00006956-RA
OG0004636	AH012430-RA	Ds_00007879-RA
OG0004637	AH010722-RA	Ds_00006131-RA, Ds_00006983-RA
OG0004638	AH017691-RA, AH019484-RA	Ds_00002642-RA, Ds_00002641-RA, Ds_00002639-RA, Ds_00012081-RA
OG0004639	AH021125-RA, AH014560-RA	Ds_00008864-RA, Ds_00016019-RA
OG0004640	AH009893-RA	Ds_00012873-RA, Ds_00012874-RA, Ds_00001604-RA
OG0004641	AH004885-RA	Ds_00017768-RA
OG0004644	AH014009-RA	Ds_00015354-RA
OG0004644	AH017885-RA, AH002563-RA	Ds_00007776-RA
OG0004645	AH011774-RA	Ds_00013586-RA
OG0004646	AH007614-RA	Ds_00003905-RA
OG0004649	AH022458-RA	Ds_00017678-RA, Ds_00011462-RA
OG0004650	AH011137-RA	Ds_00006685-RA
OG0004652	AH020573-RA, AH006496-RA	Ds_00017717-RA
OG0004653	AH011033-RA	Ds_00013933-RA
OG0004654	AH007453-RA, AH011145-RA	Ds_00016815-RA, Ds_00013747-RA
OG0004655	AH017883-RA, AH005844-RA, AH002561-RA	Ds_00001504-RA, Ds_00005452-RA
OG0004656	AH010625-RA	Ds_00017672-RA
OG0004658	AH015554-RA	Ds_00012734-RA
OG0004660	AH011015-RA	Ds_00013936-RA
OG0004661	AH002666-RA	Ds_00007827-RA
OG0004663	AH012573-RA	Ds_00015795-RA
OG0004664	AH001115-RA	Ds_00014116-RA
OG0004665	AH006838-RA, AH020338-RA	Ds_00007624-RA
OG0004666	AH017087-RA	Ds_00014588-RA
OG0004667	AH013065-RA	Ds_00006564-RA, Ds_00001017-RA
OG0004668	AH016634-RA	Ds_00001037-RA, Ds_00006700-RA
OG0004669	AH006715-RA	Ds_00010977-RA
OG0004670	AH020597-RA	Ds_00005703-RA
OG0004671	AH011799-RA	Ds_00000388-RA, Ds_00002305-RA
OG0004672	AH001434-RA	Ds_00001220-RA
OG0004673	AH000653-RA	Ds_00002467-RA, Ds_00000640-RA
OG0004675	AH020582-RA	Ds_00009334-RA
OG0004676	AH012874-RA	Ds_00002565-RA, Ds_00016364-RA
OG0004677	AH010739-RA	Ds_00006972-RA
OG0004678	AH021207-RA, AH003461-RA, AH020703-RA, AH021238-RA, AH021237-RA	Ds_00012947-RA
OG0004679	AH007577-RA, AH007578-RA, AH007579-RA, AH010486-RA	Ds_00003883-RA
OG0004680	AH010482-RA	Ds_00003882-RA
OG0004681	AH002251-RA	Ds_00000042-RA
OG0004682	AH017263-RA, AH002712-RA	Ds_00001163-RA
OG0004683	AH002264-RA	Ds_00013582-RA
OG0004684	AH015255-RA	Ds_00003720-RA, Ds_00017215-RA, Ds_00004002-RA
OG0004685	AH000564-RA, AH001822-RA	Ds_00016516-RA
OG0004686	AH001899-RA	Ds_00014879-RA
OG0004687	AH003180-RA	Ds_00000129-RA
OG0004688	AH021171-RA	Ds_00007914-RA
OG0004689	AH014353-RA, AH021044-RA	Ds_00014950-RA
OG0004690	AH008810-RA	Ds_00008186-RA
OG0004691	AH001831-RA	Ds_00016512-RA
OG0004692	AH004962-RA	Ds_00006810-RA, Ds_00007686-RA
OG0004693	AH002422-RA	Ds_00010020-RA
OG0004694	AH003686-RA	Ds_00012842-RA
OG0004696	AH019513-RA	Ds_00012029-RA
OG0004697	AH011285-RA	Ds_00002267-RA
OG0004698	AH005711-RA	Ds_00009397-RA
OG0004699	AH001679-RA	Ds_00000301-RA
OG0004700	AH013126-RA	Ds_00001034-RA
OG0004702	AH001599-RA	Ds_00013350-RA
OG0004703	AH002425-RA, AH000698-RA	Ds_00013544-RA
OG0004704	AH006429-RA	Ds_00014470-RA
OG0004705	AH005998-RA, AH003548-RA	Ds_00001925-RA
OG0004707	AH008703-RA	Ds_00008170-RA
OG0004708	AH005538-RA	Ds_00004240-RA, Ds_00005811-RA, Ds_00004239-RA
OG0004710	AH016485-RA, AH022929-RA	Ds_00008500-RA
OG0004710	AH000671-RA	Ds_00014372-RA
OG0004711	AH003769-RA, AH005825-RA	Ds_00014489-RA
OG0004712	AH000405-RA	Ds_00012192-RA
OG0004713	AH000821-RA, AH002252-RA	Ds_00000043-RA, Ds_00013578-RA
OG0004714	AH012380-RA	Ds_00016320-RA
OG0004715	AH019720-RA	Ds_00003506-RA
OG0004716	AH005691-RA	Ds_00009408-RA
OG0004717	AH005699-RA	Ds_00009402-RA
OG0004718	AH020039-RA, AH011706-RA	Ds_00003645-RA
OG0004719	AH010237-RA, AH010236-RA, AH013679-RA, AH013677-RA	Ds_00017587-RA
OG0004722	AH009896-RA	Ds_00001722-RA
OG0004724	AH017143-RA	Ds_00011311-RA
OG0004725	AH010281-RA	Ds_00017502-RA
OG0004726	AH022304-RA	Ds_00007555-RA
OG0004727	AH001158-RA, AH000039-RA	Ds_00017202-RA, Ds_00005267-RA
OG0004728	AH000559-RA, AH001827-RA	Ds_00015151-RA
OG0004729	AH003693-RA, AH006035-RA	Ds_00006788-RA
OG0004730	AH000463-RA, AH002084-RA	Ds_00010401-RA
OG0004731	AH014215-RA, AH021132-RA	Ds_00000115-RA
OG0004732	AH008108-RA	Ds_00001754-RA
OG0004733	AH014815-RA	Ds_00011493-RA
OG0004734	AH009425-RA	Ds_00005468-RA, Ds_00002901-RA
OG0004735	AH022899-RA, AH023352-RA	Ds_00006217-RA
OG0004736	AH006272-RA	Ds_00008036-RA
OG0004738	AH015022-RA	Ds_00010223-RA
OG0004739	AH008051-RA	Ds_00013461-RA
OG0004740	AH008875-RA	Ds_00008017-RA
OG0004741	AH023073-RA	Ds_00005812-RA
OG0004742	AH012128-RA, AH019593-RA	Ds_00016395-RA
OG0004744	AH012116-RA	Ds_00012072-RA
OG0004744	AH012113-RA	Ds_00016389-RA
OG0004745	AH012350-RA	Ds_00012970-RA, Ds_00009971-RA
OG0004746	AH019250-RA, AH015378-RA	Ds_00002584-RA, Ds_00017706-RA
OG0004747	AH017119-RA	Ds_00008868-RA
OG0004748	AH009145-RA	Ds_00001634-RA
OG0004749	AH011425-RA	Ds_00013277-RA
OG0004750	AH018730-RA, AH003135-RA	Ds_00001339-RA
OG0004751	AH016273-RA	Ds_00016095-RA
OG0004752	AH022247-RA	Ds_00000451-RA
OG0004753	AH020638-RA, AH020641-RA, AH020639-RA	Ds_00009663-RA
OG0004754	AH016177-RA, AH023354-RA	Ds_00007529-RA, Ds_00007531-RA
OG0004755	AH017056-RA	Ds_00003414-RA
OG0004756	AH015479-RA	Ds_00006311-RA
OG0004757	AH007351-RA, AH007344-RA	Ds_00007106-RA
OG0004758	AH001945-RA	Ds_00002451-RA
OG0004759	AH003590-RA	Ds_00016485-RA, Ds_00004607-RA
OG0004760	AH021093-RA, AH014322-RA	Ds_00009876-RA
OG0004761	AH020892-RA	Ds_00000241-RA
OG0004762	AH014002-RA	Ds_00007237-RA
OG0004763	AH002137-RA, AH000499-RA	Ds_00000759-RA
OG0004764	AH013405-RA, AH017044-RA	Ds_00002333-RA
OG0004765	AH003144-RA, AH018710-RA	Ds_00001330-RA, Ds_00015229-RA
OG0004766	AH014279-RA, AH021054-RA	Ds_00016458-RA
OG0004767	AH016010-RA	Ds_00013629-RA
OG0004768	AH009609-RA	Ds_00002813-RA
OG0004769	AH019696-RA, AH011952-RA	Ds_00005629-RA
OG0004770	AH002086-RA	Ds_00000725-RA
OG0004771	AH021134-RA	Ds_00000117-RA
OG0004772	AH021101-RA	Ds_00013312-RA
OG0004772	AH013385-RA	Ds_00002344-RA
OG0004773	AH019655-RA, AH012018-RA	Ds_00011662-RA, Ds_00011666-RA, Ds_00012582-RA, Ds_00005656-RA
OG0004774	AH007375-RA	Ds_00017014-RA
OG0004775	AH014293-RA	Ds_00009856-RA
OG0004776	AH001330-RA	Ds_00005834-RA
OG0004777	AH020817-RA, AH014156-RA	Ds_00015064-RA, Ds_00014795-RA, Ds_00012868-RA
OG0004778	AH015963-RA, AH023525-RA	Ds_00000446-RA
OG0004779	AH013046-RA	Ds_00009957-RA
OG0004780	AH014129-RA	Ds_00011456-RA, Ds_00011459-RA
OG0004781	AH002053-RA, AH000534-RA	Ds_00000706-RA, Ds_00000707-RA
OG0004782	AH012285-RA	Ds_00012001-RA
OG0004782	AH018728-RA	Ds_00001338-RA
OG0004783	AH016813-RA	Ds_00005968-RA
OG0004784	AH000473-RA	Ds_00002412-RA
OG0004786	AH002009-RA, AH000991-RA	Ds_00002441-RA, Ds_00000685-RA
OG0004787	AH020688-RA, AH005881-RA	Ds_00010379-RA, Ds_00017106-RA, Ds_00009644-RA, Ds_00015371-RA
OG0004789	AH002474-RA	Ds_00000635-RA
OG0004790	AH008679-RA, AH020966-RA	Ds_00016868-RA, Ds_00009834-RA
OG0004791	AH014231-RA	Ds_00000186-RA
OG0004791	AH022231-RA	Ds_00000804-RA
OG0004792	AH012006-RA	Ds_00005654-RA
OG0004793	AH020821-RA	Ds_00012863-RA
OG0004794	AH013987-RA, AH013986-RA	Ds_00007231-RA, Ds_00009638-RA
OG0004795	AH015908-RA	Ds_00012234-RA
OG0004796	AH014555-RA	Ds_00007935-RA
OG0004797	AH014204-RA, AH021129-RA	Ds_00008875-RA
OG0004798	AH020645-RA	Ds_00007200-RA, Ds_00011466-RA
OG0004799	AH014385-RA, AH020990-RA	Ds_00001013-RA, Ds_00000917-RA
OG0004800	AH009660-RA	Ds_00015693-RA, Ds_00012479-RA
OG0004801	AH020680-RA, AH013976-RA, AH013977-RA, AH013978-RA	Ds_00007224-RA
OG0004802	AH002165-RA	Ds_00002397-RA
OG0004804	AH010697-RA, AH007841-RA	Ds_00006997-RA, Ds_00006239-RA
OG0004805	AH013345-RA	Ds_00008787-RA
OG0004807	AH019218-RA	Ds_00009912-RA
OG0004808	AH018318-RA	Ds_00000217-RA
OG0004809	AH007893-RA, AH010273-RA	Ds_00014176-RA
OG0004810	AH013635-RA, AH013633-RA	Ds_00014714-RA
OG0004812	AH009236-RA	Ds_00016486-RA, Ds_00004604-RA
OG0004813	AH022674-RA, AH013779-RA	Ds_00011599-RA
OG0004814	AH000194-RA, AH001237-RA, AH015118-RA	Ds_00005163-RA, Ds_00004134-RA
OG0004815	AH008158-RA	Ds_00001741-RA
OG0004816	AH014822-RA	Ds_00015723-RA
OG0004817	AH023157-RA, AH016314-RA	Ds_00008630-RA
OG0004818	AH020234-RA	Ds_00006053-RA, Ds_00017765-RA
OG0004819	AH023462-RA, AH014812-RA	Ds_00011491-RA, Ds_00011492-RA
OG0004820	AH015002-RA	Ds_00004503-RA
OG0004821	AH023023-RA, AH016406-RA	Ds_00015179-RA
OG0004822	AH017024-RA, AH019451-RA	Ds_00017724-RA
OG0004823	AH019431-RA	Ds_00000341-RA
OG0004824	AH001255-RA	Ds_00005835-RA
OG0004825	AH015021-RA	Ds_00004518-RA
OG0004826	AH017085-RA	Ds_00013187-RA
OG0004827	AH022693-RA	Ds_00010142-RA
OG0004828	AH008568-RA	Ds_00005154-RA
OG0004829	AH021302-RA	Ds_00012758-RA
OG0004830	AH006799-RA	Ds_00009575-RA
OG0004831	AH006633-RA	Ds_00005749-RA
OG0004832	AH012528-RA	Ds_00015968-RA
OG0004833	AH023461-RA	Ds_00011848-RA
OG0004833	AH013649-RA	Ds_00010068-RA
OG0004834	AH015906-RA, AH016992-RA	Ds_00009029-RA
OG0004835	AH007963-RA	Ds_00001837-RA
OG0004836	AH005890-RA	Ds_00000178-RA
OG0004837	AH015625-RA	Ds_00017091-RA
OG0004838	AH010005-RA	Ds_00018057-RA
OG0004839	AH007730-RA, AH012681-RA	Ds_00017150-RA, Ds_00002043-RA, Ds_00008738-RA
OG0004840	AH020311-RA	Ds_00007612-RA
OG0004841	AH015030-RA	Ds_00010218-RA, Ds_00017829-RA
OG0004841	AH010234-RA	Ds_00001135-RA
OG0004842	AH008187-RA, AH010197-RA, AH010203-RA	Ds_00011747-RA
OG0004843	AH012803-RA	Ds_00001657-RA
OG0004844	AH015956-RA, AH023775-RA	Ds_00013182-RA
OG0004845	AH013805-RA	Ds_00010115-RA
OG0004846	AH022959-RA	Ds_00013175-RA
OG0004847	AH023490-RA	Ds_00003269-RA
OG0004848	AH014805-RA	Ds_00011489-RA
OG0004849	AH014672-RA, AH023164-RA	Ds_00000479-RA
OG0004850	AH001345-RA	Ds_00001151-RA
OG0004851	AH005507-RA	Ds_00014180-RA
OG0004852	AH021369-RA, AH014786-RA	Ds_00011484-RA
OG0004853	AH021049-RA	Ds_00015407-RA
OG0004854	AH015688-RA	Ds_00005825-RA
OG0004855	AH013215-RA	Ds_00010027-RA
OG0004856	AH012515-RA, AH023159-RA	Ds_00010437-RA
OG0004858	AH006865-RA	Ds_00016355-RA
OG0004859	AH002527-RA	Ds_00013794-RA
OG0004860	AH016932-RA	Ds_00004919-RA
OG0004861	AH004615-RA	Ds_00009168-RA
OG0004862	AH018517-RA	Ds_00007396-RA
OG0004863	AH006925-RA, AH020255-RA	Ds_00002729-RA, Ds_00013247-RA
OG0004865	AH009944-RA	Ds_00010679-RA
OG0004866	AH002921-RA, AH017444-RA	Ds_00004131-RA
OG0004867	AH021936-RA	Ds_00004727-RA
OG0004869	AH015001-RA, AH021503-RA	Ds_00004502-RA, Ds_00015100-RA
OG0004870	AH007733-RA, AH010774-RA	Ds_00006265-RA, Ds_00006156-RA
OG0004871	AH021257-RA	Ds_00004258-RA
OG0004871	AH014677-RA	Ds_00004259-RA
OG0004872	AH016441-RA	Ds_00016465-RA
OG0004873	AH009958-RA, AH009959-RA, AH008139-RA	Ds_00010671-RA
OG0004875	AH009434-RA	Ds_00002896-RA
OG0004876	AH012130-RA, AH012131-RA, AH012129-RA	Ds_00016394-RA, Ds_00007290-RA
OG0004878	AH010650-RA, AH010654-RA	Ds_00014427-RA
OG0004879	AH002990-RA	Ds_00003857-RA
OG0004880	AH009002-RA	Ds_00014192-RA, Ds_00001630-RA
OG0004881	AH004489-RA	Ds_00010731-RA
OG0004882	AH005198-RA	Ds_00017598-RA
OG0004883	AH004506-RA	Ds_00009189-RA
OG0004884	AH022365-RA	Ds_00009701-RA
OG0004885	AH018804-RA	Ds_00003722-RA
OG0004887	AH019642-RA	Ds_00005673-RA
OG0004888	AH005950-RA	Ds_00012826-RA
OG0004889	AH000855-RA	Ds_00000027-RA, Ds_00013573-RA
OG0004890	AH018196-RA	Ds_00001388-RA
OG0004890	AH011900-RA, AH019724-RA	Ds_00005602-RA
OG0004891	AH012511-RA, AH020173-RA	Ds_00002771-RA
OG0004892	AH015991-RA	Ds_00003393-RA, Ds_00003394-RA
OG0004894	AH021177-RA, AH014643-RA	Ds_00008491-RA
OG0004895	AH005241-RA, AH004251-RA	Ds_00015237-RA
OG0004896	AH011855-RA	Ds_00006375-RA
OG0004897	AH017397-RA	Ds_00009754-RA
OG0004898	AH011708-RA	Ds_00002293-RA
OG0004899	AH013002-RA	Ds_00004685-RA
OG0004900	AH004211-RA	Ds_00001870-RA
OG0004901	AH009495-RA	Ds_00012531-RA
OG0004902	AH018027-RA	Ds_00001275-RA
OG0004903	AH006155-RA, AH006140-RA	Ds_00009444-RA
OG0004904	AH013000-RA	Ds_00000995-RA
OG0004905	AH011876-RA	Ds_00008823-RA
OG0004906	AH004547-RA, AH005181-RA	Ds_00010766-RA
OG0004909	AH009504-RA	Ds_00012526-RA
OG0004911	AH005273-RA	Ds_00007163-RA, Ds_00016347-RA
OG0004912	AH002621-RA	Ds_00004620-RA
OG0004913	AH016697-RA	Ds_00000586-RA
OG0004914	AH022183-RA	Ds_00000892-RA
OG0004915	AH018296-RA	Ds_00001368-RA
OG0004916	AH008750-RA	Ds_00008833-RA, Ds_00003501-RA
OG0004917	AH005191-RA	Ds_00009169-RA, Ds_00004791-RA
OG0004918	AH012901-RA	Ds_00003848-RA
OG0004919	AH018110-RA	Ds_00016382-RA
OG0004920	AH007331-RA	Ds_00007674-RA, Ds_00005579-RA
OG0004921	AH003029-RA	Ds_00007339-RA
OG0004922	AH004505-RA	Ds_00010752-RA
OG0004923	AH008443-RA	Ds_00005362-RA
OG0004924	AH011963-RA	Ds_00005633-RA
OG0004925	AH004188-RA	Ds_00005883-RA
OG0004926	AH000032-RA, AH001096-RA	Ds_00016113-RA
OG0004927	AH018338-RA	Ds_00013095-RA
OG0004928	AH017451-RA, AH003452-RA	Ds_00009685-RA
OG0004929	AH011418-RA, AH018257-RA, AH003907-RA	Ds_00005127-RA
OG0004930	AH010256-RA, AH002485-RA	Ds_00011403-RA
OG0004931	AH004653-RA, AH004694-RA	Ds_00008981-RA
OG0004932	AH005279-RA	Ds_00008968-RA
OG0004934	AH002554-RA, AH017870-RA	Ds_00007784-RA
OG0004936	AH004435-RA, AH009143-RA	Ds_00009053-RA
OG0004938	AH011430-RA, AH018250-RA	Ds_00013272-RA
OG0004939	AH000060-RA	Ds_00011031-RA
OG0004940	AH011669-RA, AH019798-RA, AH015295-RA, AH023051-RA	Ds_00017232-RA, Ds_00005575-RA
OG0004942	AH018487-RA, AH011569-RA	Ds_00011150-RA
OG0004944	AH022821-RA	Ds_00013485-RA
OG0004945	AH014689-RA	Ds_00011949-RA
OG0004947	AH010705-RA	Ds_00006989-RA
OG0004948	AH018922-RA	Ds_00008603-RA
OG0004949	AH008031-RA, AH010106-RA	Ds_00001798-RA, Ds_00013448-RA, Ds_00008120-RA
OG0004950	AH017964-RA	Ds_00011393-RA
OG0004951	AH017981-RA	Ds_00003772-RA, Ds_00011397-RA
OG0004952	AH018520-RA	Ds_00013105-RA
OG0004954	AH005516-RA	Ds_00006580-RA
OG0004955	AH005449-RA	Ds_00016549-RA
OG0004956	AH005368-RA, AH004164-RA	Ds_00012551-RA
OG0004957	AH017259-RA	Ds_00016255-RA
OG0004960	AH008247-RA	Ds_00012390-RA
OG0004961	AH010872-RA, AH007536-RA	Ds_00006923-RA
OG0004962	AH021234-RA	Ds_00000148-RA
OG0004963	AH004120-RA	Ds_00005962-RA
OG0004963	AH005464-RA	Ds_00017099-RA
OG0004964	AH018240-RA	Ds_00013270-RA
OG0004965	AH017260-RA	Ds_00016254-RA
OG0004966	AH005415-RA, AH004068-RA	Ds_00015438-RA
OG0004967	AH017619-RA	Ds_00012441-RA
OG0004968	AH002920-RA	Ds_00010611-RA
OG0004969	AH018616-RA	Ds_00017695-RA
OG0004970	AH001064-RA	Ds_00017334-RA
OG0004971	AH017778-RA	Ds_00014411-RA
OG0004972	AH004430-RA, AH004790-RA	Ds_00015447-RA
OG0004973	AH019365-RA	Ds_00004369-RA
OG0004973	AH017646-RA	Ds_00011430-RA
OG0004974	AH005429-RA	Ds_00008604-RA
OG0004975	AH018327-RA	Ds_00008119-RA
OG0004977	AH015818-RA, AH015819-RA	Ds_00008492-RA
OG0004978	AH018743-RA	Ds_00009901-RA
OG0004979	AH018719-RA	Ds_00009883-RA
OG0004980	AH021034-RA	Ds_00012382-RA
OG0004982	AH002867-RA, AH017541-RA	Ds_00014114-RA, Ds_00017141-RA, Ds_00005333-RA, Ds_00017140-RA
OG0004983	AH004220-RA, AH003750-RA, AH005837-RA, AH010726-RA, AH010727-RA	Ds_00006976-RA
OG0004984	AH009481-RA	Ds_00002877-RA
OG0004985	AH019744-RA, AH011870-RA	Ds_00007683-RA, Ds_00010813-RA
OG0004986	AH020131-RA, AH011822-RA	Ds_00001850-RA
OG0004987	AH013760-RA	Ds_00010101-RA
OG0004990	AH000696-RA, AH000695-RA	Ds_00012177-RA
OG0004991	AH000092-RA	Ds_00018043-RA, Ds_00005246-RA
OG0004992	AH001221-RA, AH001220-RA	Ds_00005183-RA
OG0004993	AH000132-RA	Ds_00004077-RA
OG0005016	AH019969-RA	Ds_00003236-RA
OG0005017	AH007534-RA	Ds_00006921-RA, Ds_00006194-RA
OG0005019	AH007776-RA	Ds_00006182-RA
OG0005021	AH021564-RA	Ds_00005451-RA
OG0005023	AH021964-RA	Ds_00011562-RA
OG0005024	AH023119-RA, AH011585-RA	Ds_00002632-RA
OG0005025	AH011729-RA, AH020021-RA	Ds_00004974-RA
OG0005026	AH001800-RA	Ds_00002287-RA
OG0005027	AH015946-RA	Ds_00003273-RA
OG0005030	AH007427-RA	Ds_00004047-RA
OG0005031	AH019103-RA	Ds_00010803-RA
OG0005034	AH013196-RA	Ds_00006872-RA, Ds_00014743-RA
OG0005035	AH010971-RA	Ds_00014751-RA
OG0005036	AH020466-RA, AH006714-RA	Ds_00005785-RA
OG0005037	AH003549-RA, AH008969-RA	Ds_00014220-RA
OG0005038	AH013619-RA	Ds_00007431-RA
OG0005039	AH003094-RA	Ds_00010340-RA
OG0005040	AH000073-RA	Ds_00010036-RA
OG0005041	AH013549-RA	Ds_00000991-RA
OG0005042	AH007685-RA, AH010924-RA	Ds_00005531-RA, Ds_00008006-RA
OG0005043	AH006926-RA, AH020254-RA	Ds_00002730-RA
OG0005044	AH019809-RA	Ds_00006403-RA
OG0005045	AH012661-RA, AH021846-RA	Ds_00002057-RA
OG0005046	AH022987-RA, AH016435-RA	Ds_00012762-RA
OG0005047	AH007419-RB, AH007419-RA, AH007419-RC, AH011214-RA	Ds_00003920-RA, Ds_00017574-RA
OG0005049	AH017826-RA	Ds_00010946-RA
OG0005050	AH011645-RA, AH019953-RA	Ds_00005043-RA, Ds_00014653-RA
OG0005051	AH013166-RA	Ds_00010048-RA
OG0005053	AH007148-RA	Ds_00007643-RA
OG0005054	AH006201-RA	Ds_00013611-RA, Ds_00016134-RA
OG0005055	AH020184-RA	Ds_00016041-RA
OG0005058	AH000023-RA, AH001081-RA	Ds_00004174-RA
OG0005059	AH018711-RA, AH003143-RA	Ds_00016362-RA
OG0005061	AH006485-RA	Ds_00011117-RA
OG0005062	AH012765-RA	Ds_00002012-RA, Ds_00010275-RA
OG0005064	AH013137-RA	Ds_00007432-RA
OG0005065	AH019708-RA, AH011934-RA	Ds_00004921-RA
OG0005067	AH020593-RA	Ds_00005534-RA, Ds_00009332-RA
OG0005068	AH011050-RA, AH015483-RA	Ds_00006634-RA, Ds_00014940-RA
OG0005069	AH018448-RA, AH001863-RA	Ds_00017370-RA
OG0005070	AH014735-RA	Ds_00018069-RA, Ds_00010883-RA, Ds_00004388-RA
OG0005071	AH011118-RA	Ds_00006659-RA, Ds_00006660-RA, Ds_00006662-RA, Ds_00006663-RA, Ds_00016756-RA
OG0005072	AH021795-RA	Ds_00015554-RA
OG0005073	AH022507-RA	Ds_00014712-RA
OG0005073	AH001892-RA	Ds_00016779-RA
OG0005074	AH018769-RA	Ds_00004971-RA
OG0005075	AH022958-RA	Ds_00015270-RA
OG0005076	AH016658-RA, AH016657-RA	Ds_00015945-RA
OG0005077	AH012576-RA	Ds_00015794-RA, Ds_00015582-RA
OG0005078	AH012976-RA	Ds_00000980-RA
OG0005079	AH015471-RA	Ds_00011713-RA
OG0005080	AH012957-RA	Ds_00000956-RA
OG0005081	AH014838-RA	Ds_00007058-RA
OG0005084	AH007237-RA, AH019901-RA	Ds_00002563-RA
OG0005085	AH004929-RA	Ds_00010555-RA
OG0005086	AH005716-RA, AH003859-RA	Ds_00009391-RA
OG0005090	AH008863-RA	Ds_00010857-RA
OG0005091	AH003934-RA, AH005799-RA	Ds_00013414-RA
OG0005092	AH016958-RA	Ds_00015743-RA
OG0005094	AH008857-RA	Ds_00001515-RA
OG0005095	AH000291-RA	Ds_00001185-RA
OG0005096	AH001636-RA	Ds_00008196-RA
OG0005097	AH003932-RA	Ds_00001409-RA
OG0005098	AH005929-RA	Ds_00005982-RA
OG0005099	AH021342-RA, AH014761-RA	Ds_00015164-RA, Ds_00017837-RA
OG0005100	AH005794-RA, AH003777-RA, AH003778-RA	Ds_00014493-RA
OG0005101	AH004099-RA, AH014044-RA, AH014120-RA, AH014119-RA, AH005833-RA, AH003781-RA	Ds_00014482-RA, Ds_00014495-RA, Ds_00014500-RA
OG0005103	AH010735-RA	Ds_00006136-RA
OG0005104	AH003687-RA	Ds_00001507-RA
OG0005106	AH003852-RA, AH005725-RA, AH005726-RA, AH000674-RA	Ds_00001483-RA
OG0005107	AH023720-RA	Ds_00011979-RA
OG0005108	AH008677-RA	Ds_00007884-RA
OG0005109	AH006339-RA	Ds_00006636-RA
OG0005110	AH002451-RA, AH000688-RA	Ds_00001873-RA, Ds_00014008-RA
OG0005112	AH005532-RA	Ds_00008427-RA
OG0005114	AH000820-RA	Ds_00000044-RA
OG0005115	AH005484-RA	Ds_00006520-RA
OG0005116	AH008921-RA	Ds_00000183-RA
OG0005118	AH002262-RA, AH002261-RA	Ds_00013011-RA, Ds_00013583-RA
OG0005119	AH009367-RA	Ds_00002912-RA
OG0005120	AH014241-RA	Ds_00014026-RA
OG0005121	AH009396-RA	Ds_00013648-RA
OG0005122	AH001994-RA	Ds_00007540-RA
OG0005125	AH012903-RA	Ds_00002238-RA
OG0005126	AH006823-RA	Ds_00013999-RA
OG0005127	AH000886-RA	Ds_00000019-RA
OG0005128	AH017089-RA	Ds_00003387-RA
OG0005129	AH018802-RA	Ds_00012164-RA
OG0005130	AH016345-RA	Ds_00002663-RA
OG0005132	AH000600-RA, AH001865-RA	Ds_00004351-RA
OG0005133	AH005627-RA, AH003996-RA	Ds_00006799-RA
OG0005134	AH000725-RA, AH002408-RA	Ds_00012219-RA
OG0005135	AH008822-RA, AH003923-RA	Ds_00003612-RA
OG0005136	AH013604-RA	Ds_00001127-RA, Ds_00007761-RA
OG0005138	AH008577-RA	Ds_00016533-RA
OG0005139	AH020991-RA	Ds_00007975-RA
OG0005140	AH008039-RA	Ds_00001787-RA
OG0005141	AH023286-RA	Ds_00010431-RA
OG0005143	AH020590-RA	Ds_00005707-RA
OG0005145	AH010271-RA	Ds_00005309-RA
OG0005146	AH021431-RA	Ds_00004431-RA
OG0005147	AH015010-RA	Ds_00015384-RA
OG0005147	AH008195-RA	Ds_00011751-RA
OG0005149	AH001019-RA	Ds_00002653-RA
OG0005152	AH014297-RA	Ds_00013302-RA
OG0005156	AH011809-RA	Ds_00015655-RA
OG0005158	AH010178-RA	Ds_00011755-RA
OG0005160	AH008520-RA	Ds_00005312-RA
OG0005161	AH019202-RA	Ds_00014271-RA
OG0005162	AH008952-RA	Ds_00010176-RA
OG0005163	AH009196-RA	Ds_00008797-RA
OG0005164	AH002102-RA	Ds_00000734-RA
OG0005169	AH008896-RA	Ds_00004227-RA
OG0005170	AH009227-RA	Ds_00004612-RA
OG0005171	AH014087-RA	Ds_00015730-RA
OG0005172	AH020467-RA	Ds_00001613-RA, Ds_00016493-RA
OG0005173	AH021642-RA	Ds_00012897-RA
OG0005174	AH023747-RA	Ds_00001774-RA
