Orthogroup	A_coerulea.proteins	G_max.proteins
OG0000027	Aqcoe3G094300.1.p	GmISU01.17G087900.3.p, GmISU01.17G087900.4.p, GmISU01.17G087900.1.p, GmISU01.17G087900.7.p, GmISU01.05G027900.3.p, GmISU01.05G027900.1.p, GmISU01.05G027900.4.p, GmISU01.05G027900.5.p, GmISU01.17G087900.6.p, GmISU01.17G087900.5.p, GmISU01.05G027900.2.p, GmISU01.04G141400.1.p, GmISU01.04G141400.3.p, GmISU01.06G173000.1.p, GmISU01.13G043700.1.p, GmISU01.19G016900.1.p
OG0000027	Aqcoe3G269300.1.p	GmISU01.07G101400.2.p, GmISU01.07G101400.3.p, GmISU01.07G101400.1.p, GmISU01.03G083300.2.p, GmISU01.07G101400.4.p, GmISU01.03G083300.1.p
OG0000027	Aqcoe7G443000.1.p	GmISU01.03G219100.5.p, GmISU01.03G219100.4.p, GmISU01.03G219100.2.p, GmISU01.03G219100.3.p, GmISU01.03G219100.1.p
OG0000027	Aqcoe7G309700.2.p, Aqcoe7G309700.1.p	GmISU01.09G051300.3.p, GmISU01.09G051300.2.p, GmISU01.09G051300.1.p, GmISU01.15G147800.1.p, GmISU01.15G147800.2.p, GmISU01.13G070700.1.p, GmISU01.17G056800.1.p, GmISU01.04G069000.3.p, GmISU01.04G069000.1.p, GmISU01.06G069900.1.p, GmISU01.14G113600.1.p, GmISU01.17G172700.1.p
OG0000027	Aqcoe7G366100.1.p	GmISU01.13G326900.3.p, GmISU01.13G326900.4.p, GmISU01.15G003900.2.p, GmISU01.13G326900.1.p, GmISU01.15G003900.1.p, GmISU01.08G201200.2.p, GmISU01.07G023600.3.p, GmISU01.08G201200.1.p, GmISU01.07G023600.2.p, GmISU01.07G023600.1.p
OG0000028	Aqcoe3G248400.1.p, Aqcoe3G248300.1.p	GmISU01.09G114900.1.p, GmISU01.14G143700.1.p, GmISU01.15G136000.1.p
OG0000029	Aqcoe5G111800.2.p, Aqcoe5G111800.3.p, Aqcoe5G111800.1.p	GmISU01.04G201100.1.p, GmISU01.06G109100.1.p, GmISU01.13G017500.3.p, GmISU01.13G017500.1.p, GmISU01.13G017500.2.p, GmISU01.14G128400.1.p, GmISU01.14G128600.2.p, GmISU01.14G128600.1.p, GmISU01.14G128600.3.p, GmISU01.14G128500.2.p, GmISU01.14G128500.1.p, GmISU01.14G128700.1.p, GmISU01.14G128700.2.p, GmISU01.13G017400.1.p, GmISU01.14G128200.1.p, GmISU01.14G128100.1.p, GmISU01.13G017200.1.p, GmISU01.04G201000.1.p, GmISU01.04G201200.1.p, GmISU01.06G109000.1.p
OG0000029	Aqcoe7G184700.1.p, Aqcoe7G184900.1.p, Aqcoe7G184800.1.p, Aqcoe7G184600.1.p, Aqcoe7G176200.1.p, Aqcoe7G184300.1.p, Aqcoe5G410000.1.p, Aqcoe7G184200.1.p, Aqcoe7G176300.1.p, Aqcoe7G182900.1.p, Aqcoe2G110400.1.p, Aqcoe7G185400.1.p, Aqcoe7G185100.1.p, Aqcoe7G183900.1.p, Aqcoe7G184000.1.p, Aqcoe7G183900.2.p, Aqcoe7G183900.3.p, Aqcoe6G295700.1.p, Aqcoe7G185600.1.p, Aqcoe7G185500.1.p, Aqcoe5G326500.1.p	GmISU01.09G026100.1.p
OG0000030	Aqcoe6G194100.1.p	GmISU01.11G076400.1.p, GmISU01.01G123300.1.p, GmISU01.16G098900.1.p, GmISU01.02G039700.1.p, GmISU01.11G076200.1.p, GmISU01.01G123500.1.p
OG0000030	Aqcoe6G191800.1.p, Aqcoe6G191700.1.p, Aqcoe5G124200.1.p, Aqcoe5G124400.1.p, Aqcoe5G124300.1.p, Aqcoe5G124500.1.p, Aqcoe5G123900.1.p, Aqcoe6G183000.1.p, Aqcoe6G183100.1.p, Aqcoe6G183200.1.p, Aqcoe6G182900.1.p, Aqcoe6G193000.1.p, Aqcoe6G193100.1.p	GmISU01.04G010900.2.p, GmISU01.04G010900.1.p, GmISU01.06G010100.1.p, GmISU01.11G106600.1.p, GmISU01.12G037500.1.p, GmISU01.11G106666.1.p, GmISU01.11G106732.1.p, GmISU01.12G037800.1.p, GmISU01.12G037600.1.p, GmISU01.12G038000.1.p, GmISU01.11G106900.1.p, GmISU01.04G010700.1.p, GmISU01.06G010000.1.p, GmISU01.04G011100.1.p, GmISU01.04G011000.1.p, GmISU01.11G107000.1.p, GmISU01.04G010600.1.p, GmISU01.06G009800.1.p, GmISU01.12G037900.1.p, GmISU01.11G106800.1.p, GmISU01.06G009900.1.p, GmISU01.04G011200.1.p, GmISU01.04G010800.1.p, GmISU01.12G038100.1.p, GmISU01.12G038200.1.p, GmISU01.12G038300.1.p, GmISU01.19G061000.1.p, GmISU01.11G107100.1.p, GmISU01.11G107200.1.p
