target_id	length	eff_length	est_counts	tpm
Dm_00016706-RA	1569	1380.19	87	11.9196
Dm_00016604-RA	1665	1476.19	12	1.53716
Dm_00016107-RA	963	774.191	45	10.9912
Dm_00015070-RA	2595	2406.19	6	0.471522
Dm_00015068-RA	1323	1134.19	3	0.500168
Dm_00015069-RA	1272	1083.19	645	112.599
Dm_00016551-RA	2223	2034.19	112	10.4113
Dm_00016552-RA	999	810.191	0	0
Dm_00016162-RA	618	429.436	0	0
Dm_00016358-RA	345	158.634	38	45.2967
Dm_00016797-RA	1875	1686.19	263	29.4937
Dm_00015710-RA	360	173.282	43	46.924
Dm_00014888-RA	1707	1518.19	0	0
Dm_00016690-RA	846	657.191	0	0
Dm_00016692-RA	249	71.3071	0	0
Dm_00016691-RA	315	130.012	0	0
Dm_00016754-RA	918	729.191	0	0
Dm_00016755-RA	588	399.476	0	0
Dm_00016756-RA	2772	2583.19	0	0
Dm_00015954-RA	315	130.012	0	0
Dm_00016775-RA	1131	942.191	6	1.20418
Dm_00016774-RA	510	321.644	25	14.6976
Dm_00015349-RA	963	774.191	15	3.66373
Dm_00016028-RA	1137	948.191	0	0
Dm_00015219-RA	336	149.977	0	0
Dm_00014111-RA	1275	1086.19	57	9.92314
Dm_00015965-RA	660	471.303	1	0.401218
Dm_00015753-RA	528	339.545	102	56.8046
Dm_00015754-RA	576	387.476	0	0
Dm_00016597-RA	1098	909.191	8	1.66386
Dm_00017508-RA	444	255.976	18	13.297
Dm_00017509-RA	261	81.5697	15	34.7731
Dm_00017510-RA	1083	894.191	31	6.55559
Dm_00013987-RA	1200	1011.19	0	0
Dm_00015912-RA	270	89.2899	0	0
Dm_00012189-RA	729	540.253	67	23.4508
Dm_00012190-RA	837	648.191	153	44.6343
Dm_00016277-RA	2199	2010.19	7	0.658478
Dm_00016766-RA	2370	2181.19	79	6.84879
Dm_00016764-RA	972	783.191	27	6.51894
Dm_00016765-RA	354	167.438	0	0
Dm_00016517-RA	879	690.191	0	0
Dm_00016622-RA	432	244.102	0	0
Dm_00016621-RA	294	110.715	0	0
Dm_00015884-RA	192	29.2751	0	0
Dm_00015816-RA	717	528.253	0	0
Dm_00015679-RA	330	144.304	0	0
Dm_00016651-RA	495	306.644	825	508.745
Dm_00016758-RA	2079	1890.19	2.5	0.250101
Dm_00016757-RA	1455	1266.19	339	50.6269
Dm_00016759-RA	1248	1059.19	47.5	8.48008
Dm_00016806-RA	618	429.436	0	0
Dm_00015051-RA	210	41.399	0	0
Dm_00015460-RA	528	339.545	0	0
Dm_00016625-RA	1470	1281.19	192	28.3379
Dm_00016626-RA	357	170.403	1	1.10969
Dm_00016627-RA	1992	1803.19	315	33.0331
Dm_00015844-RA	1548	1359.19	249	34.6417
Dm_00015162-RA	795	606.253	103	32.1265
Dm_00015350-RA	759	570.253	266	88.2053
Dm_00015351-RA	1050	861.191	34	7.46552
Dm_00017189-RA	642	453.303	1232	513.929
Dm_00017191-RA	1647	1458.19	351	45.517
Dm_00017190-RA	1410	1221.19	45	6.96802
Dm_00017356-RA	2025	1836.19	43	4.42824
Dm_00016695-RA	666	477.303	6	2.37705
Dm_00014066-RA	447	258.898	0.5	0.365192
Dm_00014065-RA	453	264.872	3.5	2.49869
Dm_00016700-RA	1575	1386.19	432.538	59.004
Dm_00017039-RA	1254	1065.19	485.405	86.1703
Dm_00016730-RA	615	426.436	7	3.10402
Dm_00016858-RA	1314	1125.19	116	19.4945
Dm_00016859-RA	2130	1941.19	829	80.7545
Dm_00014510-RA	435	247.102	0	0
Dm_00016078-RA	390	202.573	0	0
Dm_00016079-RA	444	255.976	0	0
Dm_00016080-RA	360	173.282	0	0
Dm_00016081-RA	288	105.251	0	0
Dm_00016671-RA	1653	1464.19	241	31.1243
Dm_00016612-RA	477	288.734	2074.43	1358.57
Dm_00015594-RA	3249	3060.19	0	0
Dm_00012958-RA	690	501.253	202	76.2035
Dm_00016067-RA	336	149.977	339	427.422
Dm_00015956-RA	972	783.191	1457	351.781
Dm_00017020-RA	1336	1147.19	11	1.81317
Dm_00017021-RA	972	783.191	121	29.2145
Dm_00015134-RA	1455	1266.19	302	45.1012
Dm_00016456-RA	705	516.253	1487	544.664
Dm_00016457-RA	1026	837.191	23	5.19498
Dm_00016191-RA	552	363.476	6	3.12145
Dm_00016781-RA	771	582.253	0	0
Dm_00016359-RA	645	456.303	0	0
Dm_00016360-RA	729	540.253	266.259	93.194
Dm_00016573-RA	828	639.191	0	0
Dm_00016794-RA	300	116.168	0	0
Dm_00016795-RA	1596	1407.19	4	0.537511
Dm_00016796-RA	996	807.191	323	75.6671
Dm_00016851-RA	474	285.762	68	44.9971
Dm_00016852-RA	903	714.191	325	86.0498
Dm_00016853-RA	486	297.705	335	212.784
Dm_00015446-RA	921	732.191	285	73.604
Dm_00015447-RA	1707	1518.19	319	39.7324
Dm_00015448-RA	213	43.5926	27	117.12
Dm_00016595-RA	462	273.818	0	0
Dm_00016594-RA	123	29.02	0	0
Dm_00016593-RA	642	453.303	1	0.41715
Dm_00016821-RA	441	253.027	258	192.812
Dm_00016822-RA	1629	1440.19	99	12.9986
Dm_00016684-RA	702	513.253	0	0
Dm_00016683-RA	432	244.102	4.66348	3.61259
Dm_00012635-RA	1389	1200.19	96.3477	15.18
