Orthogroup	S_lycopersicum.proteins	D_muscipula.proteins
OG0004499	Solyc07g056390.3.1	Dm_00020594-RA, Dm_00000325-RA
OG0004500	Solyc11g073190.2.1, Solyc06g005290.3.1	Dm_00004307-RA
OG0004501	Solyc06g074690.3.1	Dm_00003643-RA
OG0004502	Solyc01g057000.3.1	Dm_00011901-RA
OG0004503	Solyc11g007610.2.1	Dm_00019086-RA
OG0004504	Solyc08g080220.2.1	Dm_00009411-RA
OG0004505	Solyc02g080570.3.1	Dm_00007537-RA, Dm_00008184-RA
OG0004506	Solyc06g009690.2.1	Dm_00018069-RA
OG0004507	Solyc02g068240.3.1	Dm_00018507-RA, Dm_00016878-RA
OG0004508	Solyc07g047670.3.1	Dm_00020382-RA
OG0004509	Solyc10g078320.2.1	Dm_00008847-RA
OG0004510	Solyc09g059510.3.1	Dm_00006919-RA, Dm_00020335-RA
OG0004511	Solyc11g010730.2.1, Solyc04g014410.3.1	Dm_00019536-RA
OG0004512	Solyc12g089280.2.1, Solyc04g081280.3.1	Dm_00007716-RA
OG0004514	Solyc02g090070.3.1	Dm_00003363-RA
OG0004515	Solyc05g055810.3.1	Dm_00001222-RA
OG0004516	Solyc04g063360.3.1	Dm_00007809-RA
OG0004517	Solyc06g073680.3.1	Dm_00000423-RA
OG0004518	Solyc12g049280.2.1	Dm_00019769-RA
OG0004519	Solyc05g053555.1.1	Dm_00017693-RA
OG0004519	Solyc03g118060.3.1, Solyc03g118050.3.1	Dm_00006999-RA
OG0004520	Solyc02g032330.3.1	Dm_00002508-RA, Dm_00018267-RA
OG0004521	Solyc12g088330.1.1, Solyc04g077810.1.1	Dm_00001359-RA, Dm_00003023-RA, Dm_00003024-RA, Dm_00001360-RA
OG0004522	Solyc01g094290.3.1	Dm_00010373-RA
OG0004523	Solyc10g012060.3.1, Solyc10g012050.3.1	Dm_00005057-RA
OG0004525	Solyc02g093210.3.1	Dm_00011814-RA
OG0004526	Solyc09g091050.3.1	Dm_00014551-RA
OG0004528	Solyc09g090050.3.1, Solyc04g026315.1.1	Dm_00008326-RA, Dm_00003546-RA
OG0004530	Solyc01g081297.1.1	Dm_00007965-RA
OG0004532	Solyc01g080850.3.1	Dm_00016049-RA
OG0004535	Solyc07g005360.3.1, Solyc12g010200.2.1	Dm_00015001-RA, Dm_00010366-RA
OG0004536	Solyc11g012950.2.1	Dm_00009183-RA
OG0004537	Solyc03g114050.3.1	Dm_00002604-RA
OG0004538	Solyc09g074970.3.1	Dm_00006669-RA
OG0004539	Solyc01g111040.3.1	Dm_00020678-RA
OG0004541	Solyc02g087330.3.1	Dm_00011696-RA
OG0004542	Solyc02g081680.3.1	Dm_00013272-RA
OG0004543	Solyc08g066030.3.1	Dm_00000664-RA
OG0004544	Solyc03g078090.3.1, Solyc11g005750.2.1, Solyc03g078100.3.1, Solyc11g005770.2.1	Dm_00021005-RA, Dm_00006773-RA
OG0004545	Solyc11g031950.1.1	Dm_00018348-RA
OG0004545	Solyc01g103360.3.1	Dm_00014859-RA
OG0004546	Solyc01g111620.3.1, Solyc08g005980.3.1	Dm_00018646-RA, Dm_00017238-RA
OG0004548	Solyc01g088550.3.1	Dm_00008639-RA
OG0004549	Solyc03g114940.3.1	Dm_00011842-RA
OG0004550	Solyc06g069370.3.1, Solyc03g114720.3.1	Dm_00009964-RA
OG0004551	Solyc01g005010.3.1	Dm_00013416-RA
OG0004552	Solyc04g049490.3.1	Dm_00005830-RA
OG0004553	Solyc06g071610.2.1, Solyc03g112540.3.1	Dm_00005177-RA
OG0004554	Solyc02g089263.1.1	Dm_00014052-RA
OG0004555	Solyc06g070900.3.1, Solyc03g116320.3.1	Dm_00019549-RA, Dm_00016409-RA
OG0004556	Solyc06g072380.3.1	Dm_00006750-RA
OG0004557	Solyc03g119440.3.1	Dm_00009852-RA
OG0004558	Solyc01g090170.3.1, Solyc01g090140.2.1	Dm_00009757-RA, Dm_00009559-RA
OG0004559	Solyc02g030095.1.1	Dm_00011807-RA
OG0004560	Solyc02g030170.3.1, Solyc02g069490.3.1	Dm_00015841-RA
OG0004561	Solyc06g071550.3.1	Dm_00008790-RA
OG0004562	Solyc05g009720.3.1	Dm_00012382-RA, Dm_00018751-RA
OG0004563	Solyc09g018970.1.1, Solyc10g037850.1.1, Solyc06g072290.3.1, Solyc03g098450.3.1	Dm_00012905-RA, Dm_00018599-RA
OG0004564	Solyc04g008680.3.1	Dm_00002167-RA
OG0004565	Solyc03g114820.3.1, Solyc06g069420.3.1	Dm_00014184-RA
OG0004566	Solyc05g009680.1.1	Dm_00007790-RA
OG0004567	Solyc10g007550.3.1	Dm_00008159-RA
OG0004568	Solyc03g005000.3.1, Solyc03g005015.1.1	Dm_00012588-RA
OG0004569	Solyc08g075490.3.1, Solyc08g075480.3.1	Dm_00006657-RA
OG0004570	Solyc08g016510.3.1, Solyc02g070510.3.1	Dm_00012188-RA
OG0004571	Solyc01g099300.3.1, Solyc06g071580.3.1	Dm_00008794-RA
OG0004572	Solyc03g115050.3.1	Dm_00006795-RA, Dm_00011822-RA
OG0004573	Solyc01g088820.2.1	Dm_00015498-RA
OG0004574	Solyc08g075890.3.1, Solyc08g005470.3.1, Solyc08g067450.1.1	Dm_00017566-RA, Dm_00006175-RA
OG0004575	Solyc03g096860.3.1	Dm_00000408-RA
OG0004577	Solyc06g066340.3.1, Solyc08g005260.2.1, Solyc08g076400.3.1	Dm_00016901-RA
OG0004578	Solyc03g121360.1.1, Solyc01g080363.1.1, Solyc06g062510.3.1	Dm_00018823-RA, Dm_00018003-RA, Dm_00014931-RA
OG0004580	Solyc05g056310.3.1	Dm_00006497-RA
OG0004581	Solyc06g065310.3.1	Dm_00010387-RA, Dm_00010389-RA
OG0004582	Solyc02g091340.3.1	Dm_00019479-RA
OG0004583	Solyc03g119755.1.1	Dm_00004424-RA
OG0004585	Solyc02g067530.3.1	Dm_00013914-RA
OG0004587	Solyc02g014380.3.1	Dm_00004590-RA
OG0004588	Solyc11g011170.2.1	Dm_00000357-RA
OG0004590	Solyc02g065680.3.1, Solyc02g089400.3.1	Dm_00005073-RA, Dm_00012193-RA
OG0004591	Solyc04g007730.3.1	Dm_00003201-RA, Dm_00003274-RA
OG0004592	Solyc06g072110.3.1, Solyc03g019770.3.1	Dm_00013666-RA
OG0004593	Solyc05g015710.3.1	Dm_00015258-RA
OG0004594	Solyc08g078203.1.1	Dm_00000870-RA
OG0004595	Solyc08g076370.3.1	Dm_00008959-RA
OG0004596	Solyc03g119650.3.1	Dm_00011346-RA, Dm_00011347-RA
OG0004599	Solyc10g078340.2.1	Dm_00008845-RA, Dm_00004480-RA
OG0004600	Solyc01g111820.2.1	Dm_00000064-RA, Dm_00002535-RA
OG0004601	Solyc10g078900.2.1	Dm_00008843-RA
OG0004605	Solyc03g098500.3.1	Dm_00010085-RA
OG0004606	Solyc02g071370.1.1, Solyc08g062370.3.1, Solyc02g071390.1.1	Dm_00012732-RA
OG0004622	Solyc10g078690.2.1	Dm_00017924-RA, Dm_00014269-RA
OG0004623	Solyc04g005330.3.1	Dm_00014781-RA
OG0004624	Solyc04g051780.3.1	Dm_00016200-RA
OG0004626	Solyc04g051280.3.1	Dm_00001973-RA
OG0004628	Solyc08g076140.3.1, Solyc06g066310.3.1	Dm_00014571-RA
OG0004629	Solyc01g086710.3.1	Dm_00014290-RA, Dm_00009400-RA, Dm_00009401-RA, Dm_00014289-RA
OG0004630	Solyc09g009410.3.1, Solyc09g074400.3.1	Dm_00000790-RA
OG0004633	Solyc02g062110.3.1	Dm_00001938-RA
OG0004634	Solyc07g025210.2.1	Dm_00002742-RA
OG0004635	Solyc01g097320.3.1	Dm_00002783-RA
OG0004636	Solyc09g010150.3.1	Dm_00001149-RA
OG0004638	Solyc12g099670.1.1	Dm_00006522-RA
OG0004639	Solyc12g009060.2.1	Dm_00015080-RA, Dm_00017304-RA
OG0004640	Solyc11g006350.1.1	Dm_00013899-RA
OG0004641	Solyc05g013990.3.1	Dm_00012627-RA
OG0004644	Solyc06g083000.1.1, Solyc05g050750.1.1	Dm_00005923-RA
OG0004645	Solyc03g097780.3.1	Dm_00012417-RA, Dm_00003248-RA
OG0004646	Solyc01g100110.3.1	Dm_00001795-RA, Dm_00001638-RA
OG0004649	Solyc06g082200.3.1	Dm_00005260-RA
OG0004650	Solyc05g056290.3.1	Dm_00001207-RA, Dm_00009026-RA
OG0004653	Solyc11g064800.2.1	Dm_00011470-RA
OG0004654	Solyc05g055790.3.1, Solyc04g056560.3.1	Dm_00009031-RA, Dm_00001210-RA
OG0004655	Solyc01g102410.3.1	Dm_00013290-RA
OG0004656	Solyc04g009950.3.1	Dm_00008495-RA
OG0004658	Solyc12g019100.2.1	Dm_00000359-RA
OG0004660	Solyc12g099900.1.1, Solyc01g008910.2.1	Dm_00009748-RA, Dm_00018549-RA
OG0004661	Solyc09g025270.3.1	Dm_00008668-RA
OG0004663	Solyc09g010280.3.1	Dm_00001399-RA
OG0004665	Solyc10g080440.2.1	Dm_00011338-RA
OG0004666	Solyc06g075400.3.1, Solyc11g072530.2.1	Dm_00009187-RA
OG0004667	Solyc09g061310.3.1	Dm_00013594-RA
OG0004668	Solyc03g112530.3.1	Dm_00014665-RA
OG0004670	Solyc05g053690.2.1, Solyc09g091930.3.1	Dm_00001552-RA
OG0004671	Solyc05g053300.3.1, Solyc12g099100.2.1	Dm_00020083-RA, Dm_00004358-RA
OG0004673	Solyc06g068440.3.1, Solyc03g116910.3.1	Dm_00002314-RA
OG0004674	Solyc06g075350.2.1	Dm_00010681-RA, Dm_00017049-RA
OG0004675	Solyc09g092250.3.1	Dm_00002556-RA
OG0004676	Solyc09g074470.3.1	Dm_00011826-RA
OG0004677	Solyc06g036640.3.1	Dm_00004718-RA
OG0004678	Solyc08g074420.3.1	Dm_00007835-RA
OG0004679	Solyc11g044430.1.1, Solyc01g099360.3.1	Dm_00013064-RA, Dm_00000600-RA
OG0004680	Solyc02g078790.3.1	Dm_00000598-RA
OG0004681	Solyc01g111340.3.1, Solyc07g041170.2.1	Dm_00009259-RA
OG0004682	Solyc02g072105.1.1	Dm_00008309-RA
OG0004683	Solyc01g111550.3.1	Dm_00005612-RA
OG0004684	Solyc01g105340.3.1	Dm_00003806-RA, Dm_00001916-RA
OG0004685	Solyc01g109560.3.1, Solyc01g109570.3.1	Dm_00009762-RA
OG0004686	Solyc01g112310.3.1	Dm_00018904-RA
OG0004687	Solyc04g081000.3.1	Dm_00010453-RA
OG0004688	Solyc01g104950.3.1, Solyc10g047030.3.1	Dm_00004859-RA
OG0004689	Solyc06g073630.3.1	Dm_00002458-RA
OG0004690	Solyc04g074980.3.1	Dm_00011306-RA, Dm_00015526-RA
OG0004691	Solyc01g109470.3.1	Dm_00015739-RA
OG0004692	Solyc02g083260.3.1	Dm_00002239-RA
OG0004693	Solyc01g106270.1.1, Solyc01g106265.1.1, Solyc01g106253.1.1, Solyc01g106220.3.1	Dm_00002621-RA
OG0004694	Solyc11g009060.2.1	Dm_00017435-RA
OG0004696	Solyc03g026315.1.1	Dm_00011885-RA
OG0004697	Solyc06g059970.3.1	Dm_00007243-RA
OG0004698	Solyc02g092360.3.1	Dm_00006592-RA
OG0004699	Solyc01g107580.3.1	Dm_00008257-RA
OG0004700	Solyc07g006530.3.1	Dm_00015187-RA
OG0004701	Solyc02g077330.3.1	Dm_00000704-RA
OG0004702	Solyc11g008590.2.1	Dm_00015419-RA
OG0004703	Solyc01g106360.3.1, Solyc01g106350.3.1, Solyc01g106340.3.1, Solyc01g106330.3.1	Dm_00008595-RA
OG0004704	Solyc03g033535.1.1, Solyc03g033530.3.1	Dm_00013940-RA
OG0004705	Solyc04g073990.3.1, Solyc04g055170.3.1, Solyc05g051980.3.1	Dm_00007881-RA
OG0004706	Solyc04g082845.1.1, Solyc01g112320.3.1	Dm_00008050-RA
OG0004707	Solyc04g074670.3.1	Dm_00016007-RA
OG0004708	Solyc09g008120.3.1	Dm_00018525-RA
OG0004709	Solyc04g055010.3.1	Dm_00018959-RA
OG0004711	Solyc03g033620.3.1	Dm_00005016-RA
OG0004712	Solyc05g009030.3.1	Dm_00016544-RA
OG0004713	Solyc10g055390.2.1, Solyc01g111350.3.1	Dm_00020147-RA
OG0004714	Solyc07g064840.2.1	Dm_00011416-RA, Dm_00017410-RA
OG0004715	Solyc04g074830.1.1	Dm_00020656-RA
OG0004716	Solyc02g064710.3.1	Dm_00016252-RA
OG0004717	Solyc02g092470.3.1, Solyc03g044060.3.1	Dm_00006600-RA
OG0004718	Solyc11g069000.2.1	Dm_00012517-RA, Dm_00000574-RA
OG0004719	Solyc10g074820.1.1	Dm_00000008-RA
OG0004722	Solyc10g006140.3.1	Dm_00011382-RA
OG0004724	Solyc08g065480.3.1, Solyc10g084140.2.1, Solyc08g065630.2.1	Dm_00006811-RA
OG0004725	Solyc07g056520.3.1	Dm_00003318-RA
OG0004726	Solyc02g077540.3.1, Solyc03g006290.3.1, Solyc02g077550.3.1	Dm_00000711-RA
OG0004727	Solyc12g005930.2.1, Solyc07g049580.3.1	Dm_00004885-RA
OG0004728	Solyc04g011350.3.1, Solyc05g054640.3.1	Dm_00013490-RA
OG0004729	Solyc02g090200.3.1	Dm_00001076-RA
OG0004730	Solyc03g120790.1.1	Dm_00007076-RA
OG0004731	Solyc07g040690.3.1	Dm_00009307-RA
OG0004732	Solyc04g009360.3.1	Dm_00006801-RA
OG0004733	Solyc02g072530.2.1	Dm_00002312-RA
OG0004734	Solyc11g020780.2.1	Dm_00009989-RA
OG0004735	Solyc03g111850.3.1	Dm_00007949-RA
OG0004736	Solyc01g005020.3.1	Dm_00015060-RA
OG0004737	Solyc02g071580.3.1	Dm_00015236-RA
OG0004739	Solyc07g062950.3.1	Dm_00014500-RA
OG0004740	Solyc11g070140.2.1	Dm_00020245-RA
OG0004742	Solyc03g025270.3.1	Dm_00003298-RA, Dm_00015511-RA
OG0004743	Solyc01g096130.3.1	Dm_00009277-RA, Dm_00004201-RA
OG0004744	Solyc03g060510.3.1	Dm_00002059-RA
OG0004744	Solyc07g007970.3.1	Dm_00010709-RA
OG0004745	Solyc06g035720.3.1, Solyc03g026220.3.1	Dm_00013326-RA, Dm_00003070-RA
OG0004746	Solyc08g067180.3.1	Dm_00017710-RA
OG0004747	Solyc04g080350.3.1	Dm_00015569-RA, Dm_00018484-RA
OG0004748	Solyc01g091460.3.1	Dm_00002917-RA
OG0004749	Solyc08g077800.3.1	Dm_00016089-RA
OG0004750	Solyc08g079670.3.1	Dm_00010434-RA, Dm_00003963-RA
OG0004751	Solyc08g066980.3.1	Dm_00012787-RA
OG0004752	Solyc06g063340.3.1	Dm_00018002-RA
OG0004753	Solyc07g007030.1.1, Solyc12g010390.2.1, Solyc06g065830.2.1	Dm_00000267-RA, Dm_00011691-RA
OG0004754	Solyc08g066640.3.1	Dm_00000657-RA
OG0004755	Solyc07g008970.3.1, Solyc08g074290.3.1, Solyc05g010750.3.1	Dm_00013660-RA
OG0004756	Solyc12g009810.2.1	Dm_00013598-RA
OG0004757	Solyc04g076580.3.1	Dm_00007999-RA, Dm_00019144-RA
OG0004758	Solyc12g042730.1.1	Dm_00002334-RA
OG0004759	Solyc01g091550.3.1, Solyc01g091570.3.1, Solyc01g091560.2.1	Dm_00020082-RA
OG0004760	Solyc06g054630.2.1	Dm_00008360-RA, Dm_00001027-RA
OG0004761	Solyc05g018320.3.1	Dm_00008798-RA, Dm_00008797-RA
OG0004762	Solyc07g007890.3.1	Dm_00003797-RA, Dm_00012939-RA, Dm_00012938-RA
OG0004763	Solyc06g066530.1.1, Solyc03g120920.1.1	Dm_00012244-RA
OG0004765	Solyc08g080090.3.1, Solyc12g056480.2.1	Dm_00015953-RA
OG0004766	Solyc11g020850.2.1, Solyc07g005910.3.1, Solyc12g009900.2.1	Dm_00001009-RA
OG0004767	Solyc08g006290.2.1, Solyc08g006300.3.1	Dm_00014732-RA, Dm_00006976-RA
OG0004768	Solyc01g095430.3.1, Solyc10g011770.3.1	Dm_00008062-RA, Dm_00006073-RA
OG0004770	Solyc12g044220.2.1, Solyc03g120770.3.1	Dm_00007079-RA
OG0004772	Solyc02g069710.3.1	Dm_00014709-RA
OG0004773	Solyc06g051940.3.1, Solyc03g007230.3.1	Dm_00007487-RA, Dm_00020312-RA
OG0004774	Solyc01g102265.1.1, Solyc06g071340.1.1	Dm_00008397-RA
OG0004776	Solyc11g069270.2.1	Dm_00018955-RA
OG0004777	Solyc12g006930.2.1	Dm_00001043-RA, Dm_00000112-RA
OG0004778	Solyc06g063330.3.1, Solyc12g055800.3.1	Dm_00019571-RA
OG0004779	Solyc01g009610.3.1, Solyc05g005520.1.1, Solyc03g025980.3.1	Dm_00003079-RA
OG0004780	Solyc07g005030.3.1	Dm_00000272-RA, Dm_00005244-RA
OG0004781	Solyc03g120280.1.1, Solyc06g066740.2.1	Dm_00005428-RA, Dm_00015218-RA
OG0004782	Solyc03g007070.3.1	Dm_00007837-RA
OG0004782	Solyc08g079750.3.1	Dm_00010433-RA
OG0004783	Solyc04g049180.3.1	Dm_00007944-RA, Dm_00017239-RA
OG0004784	Solyc06g066610.3.1	Dm_00006015-RA
OG0004786	Solyc12g042900.2.1, Solyc06g067940.3.1	Dm_00004815-RA
OG0004789	Solyc03g117540.3.1	Dm_00019663-RA, Dm_00011920-RA
OG0004790	Solyc07g017750.3.1	Dm_00009827-RA
OG0004791	Solyc07g039330.3.1	Dm_00011861-RA
OG0004791	Solyc03g121580.3.1	Dm_00009571-RA
OG0004792	Solyc04g047690.3.1	Dm_00001909-RA
OG0004793	Solyc08g067910.3.1	Dm_00001040-RA
OG0004794	Solyc02g087300.1.1	Dm_00003795-RA
OG0004795	Solyc02g062520.3.1	Dm_00008149-RA
OG0004796	Solyc09g055850.3.1, Solyc09g055870.2.1	Dm_00011535-RA
OG0004797	Solyc12g008990.2.1, Solyc07g040940.3.1	Dm_00014694-RA
OG0004798	Solyc07g007160.3.1, Solyc07g007170.3.1	Dm_00000264-RA
OG0004799	Solyc06g083620.3.1	Dm_00015781-RA
OG0004800	Solyc01g094860.3.1	Dm_00011211-RA
OG0004801	Solyc07g007590.1.1, Solyc09g011870.2.1	Dm_00003786-RA, Dm_00005003-RA
OG0004802	Solyc03g121030.2.1	Dm_00010127-RA
OG0004803	Solyc03g121380.3.1	Dm_00007523-RA, Dm_00007522-RA
OG0004804	Solyc06g059980.3.1	Dm_00007307-RA
OG0004805	Solyc07g041070.3.1	Dm_00019171-RA
OG0004805	Solyc03g121890.1.1	Dm_00013477-RA
OG0004806	Solyc03g123930.1.1	Dm_00017814-RA
OG0004807	Solyc06g065610.3.1	Dm_00011818-RA
OG0004809	Solyc07g066290.3.1	Dm_00010067-RA
OG0004810	Solyc04g016175.1.1	Dm_00004771-RA
OG0004812	Solyc10g017580.3.1, Solyc01g094170.3.1	Dm_00009398-RA
OG0004813	Solyc06g006080.3.1	Dm_00007348-RA
OG0004814	Solyc11g069780.2.1	Dm_00000487-RA
OG0004815	Solyc12g005220.2.1, Solyc07g064230.3.1, Solyc10g006440.3.1	Dm_00004240-RA, Dm_00000836-RA
OG0004816	Solyc09g011420.3.1, Solyc09g092080.3.1	Dm_00000084-RA, Dm_00003608-RA
OG0004817	Solyc06g050720.3.1	Dm_00018825-RA, Dm_00018826-RA
OG0004818	Solyc11g007080.1.1, Solyc05g055300.1.1	Dm_00011361-RA, Dm_00000784-RA
OG0004820	Solyc02g080510.1.1, Solyc02g032800.1.1	Dm_00010659-RA, Dm_00019098-RA
OG0004821	Solyc05g052850.3.1	Dm_00018927-RA
OG0004822	Solyc01g104510.3.1	Dm_00010136-RA, Dm_00009174-RA
OG0004823	Solyc01g109990.3.1	Dm_00004954-RA
OG0004824	Solyc11g069380.2.1	Dm_00007334-RA
OG0004825	Solyc02g080320.3.1	Dm_00005520-RA
OG0004826	Solyc02g033085.1.1, Solyc11g008320.2.1	Dm_00004400-RA
OG0004827	Solyc01g009300.3.1, Solyc11g071970.2.1	Dm_00018240-RA
OG0004828	Solyc08g067190.3.1	Dm_00000500-RA
OG0004829	Solyc02g021470.3.1, Solyc02g070460.3.1	Dm_00005038-RA, Dm_00000338-RA
OG0004830	Solyc03g063750.3.1	Dm_00014876-RA
OG0004831	Solyc01g056690.3.1	Dm_00005938-RA
OG0004832	Solyc10g076320.2.1, Solyc10g085370.2.1	Dm_00000054-RA, Dm_00002539-RA
OG0004833	Solyc05g054570.3.1	Dm_00010400-RA
OG0004833	Solyc06g075980.3.1	Dm_00004781-RA
OG0004834	Solyc12g017390.2.1	Dm_00016239-RA, Dm_00013703-RA
OG0004835	Solyc07g062040.3.1	Dm_00016675-RA
OG0004836	Solyc12g015800.2.1, Solyc07g065810.2.1	Dm_00005376-RA
OG0004837	Solyc06g048530.3.1	Dm_00010129-RA, Dm_00010735-RA, Dm_00013692-RA
OG0004838	Solyc12g013580.2.1	Dm_00013195-RA
OG0004839	Solyc09g008810.3.1	Dm_00010580-RA
OG0004840	Solyc09g009140.3.1	Dm_00016025-RA
OG0004841	Solyc12g005580.2.1	Dm_00005421-RA
OG0004842	Solyc07g064420.3.1, Solyc07g064440.3.1, Solyc12g005130.2.1	Dm_00000856-RA
OG0004843	Solyc09g007090.3.1, Solyc10g085970.2.1	Dm_00014783-RA, Dm_00007466-RA
OG0004844	Solyc04g010250.3.1	Dm_00015546-RA
OG0004846	Solyc06g043030.3.1	Dm_00015810-RA
OG0004847	Solyc05g054700.3.1	Dm_00014854-RA
OG0004848	Solyc03g006060.3.1, Solyc02g072270.3.1	Dm_00000670-RA, Dm_00000669-RA
OG0004849	Solyc07g053730.3.1, Solyc01g081010.3.1	Dm_00018722-RA, Dm_00015190-RA
OG0004850	Solyc10g008420.3.1	Dm_00003160-RA
OG0004851	Solyc01g087095.1.1	Dm_00007398-RA
OG0004852	Solyc03g006020.3.1	Dm_00006393-RA
OG0004853	Solyc02g087180.3.1, Solyc04g014240.1.1	Dm_00017934-RA
OG0004854	Solyc08g043140.3.1	Dm_00013733-RA
OG0004855	Solyc06g007390.3.1, Solyc06g082430.2.1	Dm_00013505-RA
OG0004856	Solyc06g048780.1.1, Solyc06g048790.1.1, Solyc05g017840.3.1, Solyc06g048810.3.1	Dm_00009834-RA
OG0004858	Solyc03g062830.3.1	Dm_00010732-RA
OG0004859	Solyc03g112500.3.1	Dm_00005180-RA
OG0004860	Solyc07g066210.3.1, Solyc10g005690.3.1	Dm_00013037-RA
OG0004861	Solyc04g045430.3.1	Dm_00017082-RA, Dm_00011705-RA
OG0004862	Solyc08g074760.3.1	Dm_00008002-RA
OG0004863	Solyc03g062700.3.1	Dm_00018796-RA
OG0004864	Solyc10g081200.1.1, Solyc10g077000.2.1, Solyc10g076650.2.1	Dm_00013121-RA
OG0004865	Solyc07g064080.3.1	Dm_00000828-RA, Dm_00000827-RA
OG0004866	Solyc11g069050.2.1	Dm_00017996-RA, Dm_00015530-RA
OG0004867	Solyc02g068380.3.1	Dm_00009430-RA, Dm_00009429-RA
OG0004869	Solyc12g005020.2.1	Dm_00010661-RA
OG0004870	Solyc01g097180.2.1	Dm_00005030-RA, Dm_00003558-RA
OG0004871	Solyc02g070050.3.1	Dm_00007666-RA, Dm_00009106-RA
OG0004872	Solyc05g052960.3.1	Dm_00009664-RA, Dm_00017866-RA
OG0004873	Solyc07g063940.2.1, Solyc12g005340.2.1	Dm_00018068-RA
OG0004874	Solyc02g094510.3.1	Dm_00012148-RA
OG0004875	Solyc11g022380.2.1	Dm_00002719-RA
OG0004876	Solyc06g036110.1.1, Solyc03g025340.1.1	Dm_00011709-RA
OG0004877	Solyc03g123910.3.1	Dm_00010170-RA
OG0004877	Solyc02g093910.3.1	Dm_00011449-RA
OG0004878	Solyc05g014720.3.1	Dm_00005738-RA
OG0004879	Solyc03g111310.3.1	Dm_00000302-RA
OG0004880	Solyc11g013180.2.1	Dm_00005431-RA, Dm_00013982-RA
OG0004881	Solyc05g014240.3.1	Dm_00014365-RA
OG0004882	Solyc04g045530.3.1	Dm_00011793-RA
OG0004883	Solyc05g014710.3.1	Dm_00005835-RA
OG0004884	Solyc03g111580.3.1, Solyc06g071860.3.1	Dm_00001673-RA
OG0004885	Solyc02g062540.3.1	Dm_00017195-RA
OG0004887	Solyc03g007370.3.1	Dm_00020033-RA
OG0004889	Solyc10g054900.2.1, Solyc01g111145.1.1	Dm_00019266-RA, Dm_00019957-RA
OG0004890	Solyc08g083330.2.1, Solyc03g081320.3.1	Dm_00001474-RA, Dm_00000422-RA, Dm_00000185-RA
OG0004891	Solyc01g067340.2.1, Solyc01g067330.3.1, Solyc09g074550.3.1	Dm_00015930-RA
OG0004892	Solyc08g074440.3.1	Dm_00015226-RA
OG0004893	Solyc09g074370.3.1	Dm_00015686-RA, Dm_00015687-RA
OG0004894	Solyc10g007320.3.1	Dm_00018931-RA
OG0004895	Solyc05g051510.3.1, Solyc11g010190.1.1, Solyc11g013260.2.1	Dm_00009526-RA, Dm_00005918-RA
OG0004896	Solyc06g054020.3.1, Solyc06g054050.2.1	Dm_00019904-RA
OG0004897	Solyc06g068840.3.1, Solyc03g118200.3.1	Dm_00003259-RA
OG0004898	Solyc03g059180.3.1	Dm_00007756-RA
OG0004899	Solyc09g064430.3.1	Dm_00005647-RA
OG0004900	Solyc11g028080.2.1, Solyc01g103400.3.1	Dm_00018847-RA
OG0004901	Solyc10g005010.3.1	Dm_00010714-RA
OG0004902	Solyc08g081690.3.1	Dm_00013887-RA
OG0004903	Solyc02g093070.3.1, Solyc02g093080.3.1	Dm_00005332-RA
OG0004904	Solyc09g064440.3.1	Dm_00003690-RA
OG0004905	Solyc11g040390.2.1, Solyc06g064550.3.1	Dm_00014349-RA
OG0004906	Solyc04g045580.3.1	Dm_00009156-RA, Dm_00009155-RA
OG0004908	Solyc01g104840.3.1	Dm_00014925-RA
OG0004909	Solyc10g009280.3.1	Dm_00007575-RA
OG0004910	Solyc05g015750.3.1	Dm_00003986-RA
OG0004911	Solyc04g076430.3.1	Dm_00005046-RA
OG0004912	Solyc09g083370.3.1, Solyc02g082000.3.1	Dm_00007994-RA
OG0004913	Solyc04g077060.3.1	Dm_00009636-RA
OG0004914	Solyc09g074690.3.1	Dm_00008399-RA
OG0004915	Solyc08g007320.3.1	Dm_00000884-RA
OG0004916	Solyc04g074070.2.1	Dm_00018896-RA
OG0004917	Solyc05g015630.3.1	Dm_00018930-RA
OG0004918	Solyc08g008160.3.1	Dm_00000310-RA
OG0004919	Solyc08g082560.3.1	Dm_00011053-RA
OG0004920	Solyc01g096500.3.1	Dm_00000207-RA
OG0004921	Solyc09g098540.3.1, Solyc12g098810.2.1	Dm_00008476-RA
OG0004922	Solyc05g014700.3.1	Dm_00014857-RA
OG0004923	Solyc04g064700.3.1	Dm_00010915-RA
OG0004924	Solyc03g082990.3.1	Dm_00004294-RA
OG0004925	Solyc02g089390.2.1, Solyc03g046450.3.1	Dm_00001601-RA
OG0004926	Solyc11g040050.2.1	Dm_00017252-RA, Dm_00001311-RA
OG0004927	Solyc04g007420.3.1, Solyc04g007430.2.1, Solyc08g081040.3.1	Dm_00010660-RA, Dm_00017174-RA, Dm_00017175-RA
OG0004928	Solyc12g038970.2.1	Dm_00009656-RA
OG0004930	Solyc12g062280.2.1	Dm_00002597-RA
OG0004931	Solyc02g087350.2.1, Solyc05g006510.1.1	Dm_00002852-RA
OG0004932	Solyc11g011460.2.1	Dm_00014877-RA
OG0004934	Solyc09g020110.3.1, Solyc06g082890.3.1	Dm_00008286-RA
OG0004936	Solyc05g005240.2.1	Dm_00008375-RA
OG0004938	Solyc08g007160.3.1, Solyc08g077770.3.1, Solyc06g060980.2.1	Dm_00016099-RA
