Orthogroup	S_lycopersicum.proteins	D_muscipula.proteins
OG0000058	Solyc09g009750.2.1	Dm_00001789-RA, Dm_00000773-RA
OG0000059	Solyc02g068660.2.1	Dm_00007673-RA
OG0000060	Solyc10g150000.2.1	Dm_00008660-RA
OG0000060	Solyc12g027540.2.1	Dm_00010462-RA
OG0000063	Solyc07g055190.3.1, Solyc03g025380.3.1	Dm_00017284-RA, Dm_00001327-RA
OG0000063	Solyc05g050870.3.1, Solyc09g018590.1.1	Dm_00000040-RA
OG0000063	Solyc09g018600.1.1	Dm_00016579-RA, Dm_00009436-RA, Dm_00020250-RA
OG0000065	Solyc09g011590.3.1, Solyc09g011570.3.1, Solyc09g011610.3.1, Solyc12g036560.1.1, Solyc09g011600.3.1, Solyc09g011580.2.1, Solyc09g011550.2.1, Solyc09g011560.2.1, Solyc09g011620.1.1, Solyc09g011520.3.1, Solyc09g011510.2.1, Solyc09g011530.2.1, Solyc09g011500.3.1, Solyc09g011490.3.1, Solyc09g011630.3.1, Solyc09g011640.4.1, Solyc10g084960.2.1, Solyc09g011540.2.1, Solyc01g086680.3.1, Solyc09g011650.3.1	Dm_00018921-RA
OG0000067	Solyc11g072490.2.1	Dm_00004643-RA, Dm_00004223-RA
OG0000070	Solyc03g078400.3.1	Dm_00019678-RA
OG0000070	Solyc11g065990.2.1, Solyc05g054480.3.1, Solyc10g080500.2.1	Dm_00008155-RA
OG0000070	Solyc06g076090.3.1	Dm_00013287-RA
OG0000070	Solyc00g017210.2.1	Dm_00004547-RA
OG0000071	Solyc03g111690.3.1, Solyc02g093580.3.1	Dm_00001685-RA
OG0000071	Solyc09g008380.3.1	Dm_00016304-RA
OG0000071	Solyc11g008140.2.1, Solyc03g071570.3.1, Solyc05g055510.3.1	Dm_00012616-RA
OG0000071	Solyc09g091430.3.1	Dm_00019310-RA
OG0000071	Solyc09g061890.3.1	Dm_00008368-RA, Dm_00000932-RA
OG0000072	Solyc05g051515.1.1	Dm_00015257-RA, Dm_00012063-RA
OG0000072	Solyc01g074000.3.1, Solyc10g008910.1.1, Solyc01g073970.3.1, Solyc02g077480.1.1, Solyc01g080600.3.1, Solyc01g086820.3.1, Solyc12g056540.1.1, Solyc01g086800.3.1	Dm_00019149-RA
OG0000072	Solyc01g079110.3.1	Dm_00019242-RA
OG0000075	Solyc09g056435.1.1	Dm_00018466-RA
OG0000077	Solyc01g111230.3.1	Dm_00004852-RA, Dm_00021132-RA
OG0000077	Solyc01g017563.1.1, Solyc01g021620.2.1, Solyc01g021600.3.1, Solyc01g017540.1.1, Solyc00g131610.2.1, Solyc01g006060.3.1	Dm_00009375-RA
OG0000078	Solyc11g071900.1.1	Dm_00012444-RA, Dm_00015818-RA, Dm_00020707-RA, Dm_00020663-RA, Dm_00009495-RA, Dm_00001317-RA
OG0000078	Solyc10g086610.1.1, Solyc05g053460.1.1, Solyc09g011107.1.1, Solyc09g011100.1.1, Solyc09g011103.1.1, Solyc03g025660.1.1, Solyc09g091310.1.1, Solyc09g091300.1.1, Solyc09g091290.1.1, Solyc09g091330.1.1, Solyc09g091340.1.1, Solyc09g091320.1.1, Solyc09g091350.1.1, Solyc12g097090.2.1, Solyc09g092370.1.1	Dm_00001318-RA
OG0000085	Solyc07g041940.3.1	Dm_00002079-RA, Dm_00008755-RA
OG0000085	Solyc12g049360.2.1, Solyc06g062920.3.1	Dm_00018382-RA, Dm_00014711-RA
OG0000085	Solyc10g074710.2.1	Dm_00000001-RA
OG0000085	Solyc12g009310.2.1, Solyc07g042590.3.1	Dm_00021097-RA
OG0000085	Solyc01g028830.3.1	Dm_00020301-RA
OG0000085	Solyc08g074980.3.1	Dm_00011328-RA
OG0000087	Solyc10g079600.2.1, Solyc10g079595.1.1, Solyc10g079700.2.1	Dm_00009408-RA
OG0000087	Solyc05g006420.3.1	Dm_00020143-RA, Dm_00002856-RA
OG0000088	Solyc12g014350.2.1	Dm_00006025-RA
OG0000088	Solyc02g071860.3.1, Solyc02g071820.3.1, Solyc02g071810.3.1	Dm_00016161-RA
OG0000089	Solyc05g053570.3.1, Solyc05g053590.3.1, Solyc05g053600.3.1, Solyc05g053610.2.1, Solyc09g091660.3.1, Solyc09g091670.3.1, Solyc12g100180.2.1, Solyc12g100190.2.1, Solyc12g098210.2.1	Dm_00005049-RA, Dm_00005048-RA, Dm_00012672-RA
OG0000089	Solyc08g067610.3.1, Solyc08g067620.2.1	Dm_00000623-RA, Dm_00005052-RA, Dm_00008000-RA, Dm_00005053-RA, Dm_00014697-RA, Dm_00001050-RA
OG0000090	Solyc02g093520.3.1	Dm_00004995-RA
OG0000091	Solyc12g098610.2.1, Solyc09g092520.3.1	Dm_00002549-RA, Dm_00011577-RA
OG0000091	Solyc07g009380.3.1, Solyc05g046290.3.1	Dm_00004862-RA
OG0000091	Solyc03g093130.3.1, Solyc03g093120.4.1, Solyc03g093110.3.1, Solyc03g093080.3.1	Dm_00000624-RA, Dm_00001319-RA, Dm_00002331-RA
OG0000092	Solyc10g085780.1.1	Dm_00003221-RA, Dm_00003211-RA
OG0000092	Solyc04g039980.3.1, Solyc04g039990.3.1	Dm_00008014-RA, Dm_00018424-RA, Dm_00019033-RA, Dm_00002825-RA, Dm_00003366-RA, Dm_00002758-RA, Dm_00013437-RA, Dm_00006790-RA, Dm_00009685-RA, Dm_00019542-RA, Dm_00018772-RA, Dm_00019544-RA, Dm_00016580-RA, Dm_00003219-RA, Dm_00009722-RA, Dm_00019429-RA, Dm_00019543-RA
OG0000093	Solyc01g074030.3.1, Solyc01g074040.1.1	Dm_00008253-RA, Dm_00011309-RA, Dm_00014861-RA, Dm_00016946-RA, Dm_00008254-RA, Dm_00012465-RA
OG0000095	Solyc03g121630.3.1	Dm_00013674-RA
OG0000095	Solyc08g060840.1.1	Dm_00001105-RA
OG0000096	Solyc07g043120.1.1, Solyc07g043150.1.1, Solyc09g098080.3.1, Solyc07g043160.1.1, Solyc07g043100.1.1, Solyc07g043110.1.1, Solyc07g043170.3.1, Solyc12g014010.2.1	Dm_00002220-RA
OG0000097	Solyc03g112680.2.1	Dm_00005636-RA, Dm_00005630-RA
OG0000097	Solyc08g044336.1.1	Dm_00006030-RA, Dm_00017352-RA
OG0000098	Solyc04g081490.3.1, Solyc12g089310.2.1	Dm_00003034-RA
OG0000098	Solyc03g118760.3.1	Dm_00015457-RA
OG0000098	Solyc10g080940.2.1	Dm_00004482-RA, Dm_00015844-RA
OG0000098	Solyc06g076640.3.1	Dm_00003528-RA
OG0000098	Solyc10g086760.2.1, Solyc10g085020.2.1, Solyc06g035970.3.1, Solyc03g025730.3.1	Dm_00013312-RA, Dm_00006029-RA
OG0000101	Solyc05g025640.1.1	Dm_00005058-RA
OG0000101	Solyc03g063670.1.1	Dm_00012329-RA
OG0000101	Solyc00g016480.1.1	Dm_00017960-RA, Dm_00019229-RA, Dm_00011937-RA, Dm_00005564-RA, Dm_00020741-RA, Dm_00012123-RA
OG0000102	Solyc02g077050.3.1	Dm_00001450-RA, Dm_00018156-RA, Dm_00001449-RA, Dm_00021072-RA, Dm_00017323-RA, Dm_00018155-RA
OG0000102	Solyc02g076910.3.1	Dm_00000680-RA, Dm_00013767-RA, Dm_00001451-RA
OG0000103	Solyc07g062620.3.1, Solyc10g005640.3.1, Solyc10g005630.3.1	Dm_00020702-RA
OG0000103	Solyc02g078530.3.1, Solyc03g006500.3.1	Dm_00001448-RA
OG0000104	Solyc10g083170.2.1	Dm_00012898-RA
OG0000104	Solyc01g005500.3.1	Dm_00000071-RA
OG0000105	Solyc02g067830.3.1, Solyc02g093360.3.1	Dm_00012589-RA
OG0000105	Solyc04g015130.3.1, Solyc07g065710.3.1, Solyc10g005770.3.1	Dm_00013721-RA, Dm_00001881-RA
OG0000105	Solyc10g083500.2.1, Solyc09g009380.3.1	Dm_00000769-RA, Dm_00001787-RA
OG0000105	Solyc06g074480.3.1, Solyc11g067070.1.1	Dm_00006766-RA
