Orthogroup	S_lycopersicum.proteins	A_coerulea.proteins
OG0000044	Solyc03g121660.3.1, Solyc06g062670.3.1	Aqcoe7G425000.2.p, Aqcoe7G425000.1.p
OG0000044	Solyc07g053570.3.1	Aqcoe1G251000.1.p, Aqcoe4G076700.1.p
OG0000044	Solyc09g065670.3.1	Aqcoe2G353000.1.p
OG0000046	Solyc12g007110.2.1	Aqcoe7G176700.1.p
OG0000046	Solyc05g010140.3.1, Solyc01g010030.3.1	Aqcoe0143s0001.2.p, Aqcoe0143s0001.1.p
OG0000046	Solyc02g089750.4.1	Aqcoe2G156400.1.p
OG0000047	Solyc04g078300.3.1	Aqcoe6G058700.1.p
OG0000047	Solyc04g025050.1.1	Aqcoe7G259200.1.p
OG0000048	Solyc10g075070.2.1, Solyc10g075060.2.1, Solyc10g075090.2.1, Solyc10g075110.2.1, Solyc10g075050.2.1, Solyc10g075150.2.1, Solyc10g075130.2.1, Solyc10g076200.2.1, Solyc09g008500.2.1, Solyc09g018010.3.1, Solyc10g075100.2.1	Aqcoe1G403600.1.p, Aqcoe1G404000.1.p, Aqcoe1G404200.1.p, Aqcoe1G403900.2.p, Aqcoe1G403900.1.p, Aqcoe1G404100.1.p, Aqcoe1G403700.1.p
OG0000048	Solyc02g087910.2.1	Aqcoe1G464400.1.p, Aqcoe1G464500.1.p, Aqcoe1G462000.1.p, Aqcoe1G415500.1.p, Aqcoe2G254500.1.p, Aqcoe1G405500.1.p, Aqcoe1G403400.1.p
OG0000048	Solyc01g081600.3.1	Aqcoe1G404300.1.p, Aqcoe1G056300.1.p
OG0000049	Solyc01g057720.1.1, Solyc11g044597.1.1, Solyc11g044580.1.1, Solyc02g044010.2.1, Solyc06g011650.1.1, Solyc02g055535.1.1, Solyc06g034067.1.1, Solyc06g034070.2.1, Solyc02g055520.1.1, Solyc04g076153.1.1, Solyc04g076160.2.1, Solyc05g016037.1.1, Solyc10g054135.1.1, Solyc10g074420.1.1, Solyc10g074405.1.1	Aqcoe5G111200.1.p, Aqcoe2G242900.1.p, Aqcoe4G190900.1.p
OG0000049	Solyc04g019320.1.1	Aqcoe7G201400.1.p, Aqcoe1G106600.1.p
OG0000050	Solyc04g015475.1.1, Solyc00g075030.3.1	Aqcoe4G238500.1.p
OG0000051	Solyc05g013435.1.1, Solyc00g304030.2.1, Solyc05g021247.1.1, Solyc01g058230.1.1, Solyc07g026580.1.1	Aqcoe6G282400.1.p
OG0000052	Solyc00g012700.2.1	Aqcoe1G062600.1.p
OG0000055	Solyc05g024290.3.1	Aqcoe5G345500.2.p, Aqcoe5G345500.1.p
OG0000055	Solyc01g067400.3.1	Aqcoe5G081700.1.p
OG0000055	Solyc09g061330.2.1, Solyc06g083500.3.1	Aqcoe5G007800.1.p, Aqcoe5G007800.2.p
OG0000055	Solyc10g006340.3.1, Solyc12g005160.2.1, Solyc07g064340.3.1, Solyc10g005300.3.1	Aqcoe1G276100.1.p
OG0000055	Solyc10g085990.2.1	Aqcoe2G168000.1.p, Aqcoe2G168000.2.p
OG0000056	Solyc03g006240.3.1	Aqcoe4G058400.1.p
OG0000056	Solyc10g008710.3.1, Solyc10g008720.3.1, Solyc02g077120.3.1, Solyc03g006250.2.1	Aqcoe1G283600.1.p, Aqcoe1G283300.1.p
OG0000056	Solyc12g017460.1.1, Solyc12g096620.1.1	Aqcoe4G223800.1.p, Aqcoe4G223900.1.p, Aqcoe4G097800.1.p, Aqcoe4G224600.1.p, Aqcoe1G037600.1.p
OG0000056	Solyc02g077130.2.1, Solyc01g099080.3.1, Solyc00g098560.3.1, Solyc01g099050.3.1, Solyc01g099030.3.1, Solyc01g099060.2.1, Solyc01g099010.3.1, Solyc01g099020.3.1, Solyc01g099040.3.1	Aqcoe3G310900.1.p, Aqcoe2G362400.1.p, Aqcoe3G306700.1.p, Aqcoe3G293600.1.p, Aqcoe3G290400.1.p, Aqcoe3G306100.1.p, Aqcoe5G183300.1.p
OG0000058	Solyc03g079890.2.1	Aqcoe1G094900.1.p
OG0000058	Solyc02g072330.2.1, Solyc02g072340.1.1, Solyc10g085520.1.1, Solyc09g009750.2.1, Solyc01g091930.3.1	Aqcoe7G053300.1.p, Aqcoe7G052400.1.p
OG0000059	Solyc09g005190.2.1, Solyc10g076560.1.1	Aqcoe6G325200.1.p
OG0000063	Solyc07g055190.3.1, Solyc03g025380.3.1	Aqcoe4G036500.1.p
OG0000063	Solyc06g050440.3.1, Solyc05g052280.3.1	Aqcoe2G078800.1.p, Aqcoe1G397700.1.p
OG0000065	Solyc01g081310.3.1	Aqcoe6G072400.1.p
OG0000065	Solyc01g081250.3.1, Solyc01g081270.2.1	Aqcoe7G401900.1.p, Aqcoe7G401800.1.p
OG0000065	Solyc12g097080.2.1, Solyc09g091140.3.1, Solyc09g091130.3.1, Solyc09g011535.1.1, Solyc09g063150.3.1	Aqcoe5G008600.1.p, Aqcoe5G008500.1.p, Aqcoe5G061000.1.p, Aqcoe7G402900.1.p, Aqcoe7G402800.1.p
OG0000067	Solyc11g072490.2.1, Solyc09g007360.3.1, Solyc10g084290.2.1, Solyc10g086030.2.1, Solyc10g019030.1.1	Aqcoe1G490000.2.p, Aqcoe1G490000.1.p, Aqcoe1G490000.3.p, Aqcoe2G166400.1.p
OG0000070	Solyc03g078400.3.1	Aqcoe5G246400.1.p
OG0000070	Solyc04g011500.3.1, Solyc11g065990.2.1, Solyc05g054480.3.1, Solyc10g080500.2.1, Solyc06g076090.3.1, Solyc00g017210.2.1	Aqcoe2G005900.1.p, Aqcoe1G462200.1.p
OG0000071	Solyc03g111690.3.1, Solyc02g093580.3.1	Aqcoe3G135100.1.p
OG0000071	Solyc11g008140.2.1, Solyc03g071570.3.1, Solyc05g055510.3.1	Aqcoe2G209700.1.p, Aqcoe1G129400.1.p
OG0000071	Solyc09g091430.3.1	Aqcoe2G390800.1.p
OG0000071	Solyc09g061890.3.1	Aqcoe5G006300.1.p
OG0000072	Solyc04g081150.3.1	Aqcoe6G077500.1.p
OG0000072	Solyc05g051515.1.1	Aqcoe2G393100.1.p
OG0000072	Solyc01g073970.3.1, Solyc02g077480.1.1	Aqcoe1G021700.1.p, Aqcoe1G247500.1.p
OG0000072	Solyc01g080600.3.1	Aqcoe1G022200.1.p
OG0000072	Solyc11g010230.2.1	Aqcoe5G069600.1.p
OG0000075	Solyc09g056435.1.1	Aqcoe2G104800.1.p
OG0000077	Solyc10g055200.1.1, Solyc01g111235.1.1, Solyc02g032040.1.1, Solyc02g032050.1.1, Solyc02g032030.1.1, Solyc10g008900.3.1, Solyc10g055230.1.1, Solyc10g055190.1.1, Solyc10g055210.2.1, Solyc10g055065.1.1, Solyc10g054975.1.1, Solyc10g055085.1.1, Solyc10g055000.2.1, Solyc10g055090.1.1, Solyc01g111230.3.1	Aqcoe4G087900.1.p, Aqcoe4G179500.1.p, Aqcoe4G178900.1.p, Aqcoe0403s0001.1.p, Aqcoe0403s0002.1.p, Aqcoe4G127100.1.p, Aqcoe4G088100.1.p, Aqcoe4G178600.1.p, Aqcoe4G179400.1.p, Aqcoe4G126100.1.p, Aqcoe4G127000.1.p, Aqcoe4G126000.1.p
OG0000077	Solyc06g054320.1.1	Aqcoe2G031900.1.p, Aqcoe2G031800.1.p
OG0000077	Solyc01g017563.1.1, Solyc01g021620.2.1, Solyc01g021600.3.1, Solyc01g017540.1.1, Solyc00g131610.2.1, Solyc01g006060.3.1	Aqcoe1G007000.1.p, Aqcoe1G007200.1.p, Aqcoe1G007200.2.p, Aqcoe6G314700.1.p
OG0000078	Solyc11g071900.1.1	Aqcoe5G089900.1.p
