Orthogroup	A_hypochondriacus.proteins	P_amilis.proteins
OG0003878	AH018681-RA	FUN_021142-T4, FUN_021142-T5, FUN_021142-T6, FUN_021142-T2, FUN_021142-T3, FUN_021142-T1
OG0003879	AH020869-RA, AH014519-RA	FUN_050860-T1, FUN_026480-T1
OG0003880	AH019211-RA	FUN_008368-T1
OG0003880	AH014159-RA	FUN_026314-T3, FUN_026314-T1, FUN_026314-T2
OG0003881	AH010628-RA, AH007373-RA	FUN_035978-T1, FUN_052319-T1
OG0003882	AH000190-RA	FUN_027361-T1, FUN_027361-T2
OG0003883	AH012199-RA	FUN_037532-T1
OG0003884	AH014354-RA, AH021018-RA	FUN_052893-T1
OG0003885	AH011922-RA	FUN_045014-T1, FUN_043096-T1
OG0003885	AH009510-RA	FUN_048235-T1, FUN_037540-T1
OG0003886	AH003203-RA, AH018578-RA	FUN_018450-T1, FUN_018450-T2, FUN_040208-T1
OG0003886	AH003204-RA, AH018577-RA	FUN_040227-T1, FUN_040225-T1
OG0003887	AH015365-RA, AH019232-RA, AH019231-RA	FUN_021087-T1
OG0003888	AH017027-RA	FUN_006128-T4, FUN_006128-T3, FUN_006128-T1, FUN_006128-T2
OG0003889	AH014338-RA	FUN_023980-T1
OG0003890	AH018024-RA	FUN_041032-T1, FUN_018165-T1, FUN_018135-T1
OG0003891	AH016285-RA	FUN_026867-T1
OG0003893	AH021289-RA	FUN_034712-T1
OG0003894	AH001163-RA	FUN_017520-T1
OG0003895	AH015427-RA	FUN_048994-T1, FUN_048994-T2
OG0003896	AH011055-RA, AH020437-RA	FUN_052630-T1
OG0003896	AH007512-RA	FUN_036298-T1
OG0003897	AH023415-RA, AH023416-RA	FUN_002834-T1, FUN_002834-T2
OG0003898	AH015556-RA	FUN_009997-T3, FUN_009997-T2, FUN_009997-T1
OG0003899	AH013646-RA	FUN_049276-T1, FUN_013114-T1
OG0003900	AH010001-RA	FUN_018090-T1
OG0003901	AH022636-RA	FUN_048963-T1
OG0003902	AH019125-RA	FUN_014564-T1
OG0003903	AH021988-RA	FUN_039397-T1
OG0003904	AH008980-RA	FUN_037933-T1, FUN_037934-T1, FUN_048492-T1
OG0003905	AH021491-RA	FUN_012330-T1
OG0003906	AH007922-RA	FUN_040428-T3, FUN_040428-T1
OG0003907	AH020920-RA, AH002465-RA, AH000678-RA	FUN_052129-T1, FUN_005584-T1
OG0003908	AH015258-RA	FUN_043261-T2, FUN_043261-T1
OG0003909	AH008306-RA	FUN_036880-T1
OG0003910	AH015227-RA, AH015228-RA	FUN_043187-T1
OG0003911	AH013984-RA, AH020691-RA	FUN_043705-T1
OG0003912	AH006957-RA	FUN_021879-T1
OG0003914	AH001151-RA	FUN_027566-T1
OG0003915	AH015662-RA	FUN_030752-T1
OG0003916	AH023084-RA	FUN_019134-T1, FUN_030314-T1
OG0003917	AH007952-RA	FUN_011683-T2, FUN_011683-T1
OG0003918	AH020152-RA	FUN_014290-T1
OG0003919	AH007479-RA, AH011106-RA	FUN_036249-T1
OG0003919	AH011730-RA	FUN_000769-T1
OG0003921	AH002048-RA	FUN_013773-T1, FUN_013775-T1
OG0003922	AH006634-RA	FUN_009416-T2, FUN_009416-T3, FUN_009416-T1
OG0003922	AH020494-RA	FUN_039700-T1
OG0003923	AH021273-RA	FUN_001680-T3, FUN_001680-T2, FUN_001680-T1
OG0003924	AH021496-RA	FUN_012340-T2, FUN_012340-T1, FUN_035168-T1
OG0003925	AH016357-RA, AH023050-RA	FUN_030277-T1, FUN_030277-T2, FUN_019157-T1
OG0003926	AH011005-RA	FUN_052753-T4, FUN_052753-T2, FUN_052753-T1, FUN_052753-T3
OG0003927	AH007586-RA, AH017731-RA	FUN_010432-T3, FUN_010432-T1, FUN_010432-T2, FUN_010432-T4, FUN_051195-T1
OG0003928	AH023623-RA, AH023541-RA, AH023485-RA, AH023485-RB	FUN_045905-T1
OG0003929	AH010304-RA, AH007978-RA	FUN_019105-T1, FUN_047646-T2, FUN_047646-T1
OG0003930	AH008095-RA	FUN_046548-T1
OG0003931	AH007639-RA	FUN_034663-T1
OG0003932	AH012485-RA	FUN_003999-T1
OG0003933	AH020037-RA	FUN_000802-T2, FUN_000802-T1, FUN_000802-T3
OG0003934	AH006621-RA	FUN_004384-T4, FUN_004384-T1, FUN_004384-T2, FUN_004384-T3
OG0003935	AH013186-RA	FUN_049351-T2, FUN_049351-T1
OG0003936	AH015707-RA	FUN_030824-T2, FUN_030824-T3, FUN_030824-T1
OG0003937	AH023513-RA	FUN_009406-T1
OG0003938	AH010784-RA, AH007729-RA	FUN_018911-T1, FUN_042858-T1, FUN_001580-T1
OG0003939	AH003081-RA	FUN_001383-T2, FUN_001383-T3, FUN_001383-T1
OG0003940	AH003942-RA, AH006130-RA	FUN_052822-T1, FUN_029379-T2, FUN_029379-T1
OG0003941	AH016769-RA	FUN_024110-T1
OG0003942	AH004940-RA	FUN_020572-T1, FUN_020574-T1
OG0003943	AH022860-RA	FUN_002468-T1, FUN_002468-T2
OG0003944	AH009487-RA	FUN_037579-T4, FUN_037579-T6, FUN_037579-T3, FUN_037579-T8, FUN_037579-T2, FUN_037579-T9, FUN_037579-T5, FUN_037579-T1, FUN_037579-T7
OG0003945	AH004237-RA	FUN_008175-T1
OG0003946	AH000716-RA	FUN_052026-T1
OG0003946	AH005660-RA, AH003650-RA	FUN_031175-T1
OG0003947	AH011905-RA, AH014041-RA, AH013626-RA, AH019723-RA	FUN_045057-T1, FUN_045058-T1, FUN_045053-T1, FUN_045059-T1
OG0003949	AH001688-RA, AH000978-RA, AH016886-RA	FUN_004604-T1, FUN_004604-T2
OG0003950	AH012387-RA	FUN_013927-T1
OG0003951	AH005151-RA, AH004286-RA	FUN_020570-T1
OG0003952	AH002310-RA	FUN_045778-T1
OG0003953	AH000551-RA	FUN_002291-T3, FUN_002291-T1, FUN_002291-T2
OG0003954	AH006282-RA	FUN_020704-T2, FUN_020704-T1, FUN_020703-T1, FUN_012577-T1
OG0003955	AH003182-RA, AH017934-RA, AH017931-RA, AH017932-RA	FUN_020706-T2, FUN_020706-T1, FUN_003505-T1
OG0003956	AH007556-RA, AH010455-RA	FUN_051423-T1, FUN_000489-T2, FUN_000489-T1
OG0003957	AH006976-RA, AH020182-RA	FUN_033192-T1
OG0003958	AH014564-RA	FUN_027846-T1
OG0003959	AH003724-RA	FUN_029463-T1, FUN_017046-T1
OG0003960	AH001799-RA	FUN_002233-T1, FUN_002233-T2, FUN_053194-T1, FUN_014945-T1, FUN_002233-T3, FUN_032038-T1, FUN_032038-T2
OG0003961	AH013098-RA	FUN_050480-T1, FUN_050480-T3, FUN_050480-T2
OG0003961	AH020594-RA	FUN_034107-T1
OG0003962	AH017414-RA	FUN_011312-T2, FUN_011312-T1, FUN_011313-T1, FUN_011313-T2, FUN_011314-T1
OG0003963	AH000598-RA	FUN_002352-T1, FUN_009912-T1
OG0003964	AH008733-RA	FUN_048630-T1, FUN_048630-T2, FUN_048630-T3, FUN_038394-T1
OG0003965	AH020062-RA	FUN_022331-T1, FUN_014022-T1, FUN_014097-T1, FUN_014091-T1
OG0003966	AH006274-RA	FUN_020699-T1, FUN_012637-T1
OG0003967	AH022057-RA	FUN_024819-T1, FUN_024819-T2, FUN_024826-T1
OG0003968	AH008511-RA	FUN_001254-T5, FUN_001254-T2, FUN_001254-T1, FUN_001254-T4, FUN_001254-T3
OG0003969	AH000148-RA	FUN_021267-T2, FUN_021267-T1
OG0003970	AH003415-RA, AH006284-RA	FUN_020708-T1
OG0003970	AH017231-RA	FUN_046904-T1, FUN_034112-T1
OG0003971	AH004916-RA, AH011702-RA	FUN_025359-T1
OG0003972	AH017749-RA	FUN_010310-T3, FUN_010310-T2, FUN_010310-T1
OG0003973	AH017387-RA, AH008772-RA	FUN_038200-T2, FUN_038200-T1
OG0003974	AH011464-RA	FUN_017353-T1
OG0003975	AH002848-RA	FUN_011131-T1, FUN_045320-T4, FUN_045320-T1, FUN_045320-T2, FUN_045320-T3
OG0003976	AH019770-RA, AH008304-RA, AH016749-RA	FUN_002012-T1
OG0003977	AH009291-RA, AH006930-RA	FUN_047820-T1, FUN_038299-T1
OG0003978	AH019142-RA	FUN_029104-T2, FUN_029104-T1, FUN_029109-T1, FUN_029109-T2
OG0003979	AH019383-RA	FUN_030917-T1
OG0003980	AH004077-RA, AH005420-RA	FUN_023839-T1
OG0003980	AH017432-RA	FUN_011293-T1
OG0003981	AH002301-RA, AH004750-RA	FUN_032306-T1
OG0003982	AH016511-RA, AH022891-RA	FUN_016537-T1
OG0003983	AH015794-RA	FUN_029164-T1, FUN_029164-T2
OG0003984	AH018776-RA	FUN_041888-T1, FUN_041888-T2, FUN_017981-T1, FUN_017981-T2
OG0003985	AH018311-RA	FUN_017196-T1
OG0003986	AH000027-RA, AH001084-RA	FUN_034162-T2, FUN_034162-T1
OG0003987	AH017454-RA	FUN_011264-T1, FUN_047128-T1
OG0003988	AH004464-RA, AH004866-RA, AH013673-RA	FUN_002976-T2, FUN_002976-T1, FUN_032067-T1, FUN_032078-T1
OG0003989	AH005482-RA, AH004132-RA	FUN_033502-T1
OG0003990	AH004794-RA, AH004434-RA	FUN_032185-T1
OG0003991	AH010649-RA	FUN_029951-T1
OG0003992	AH017913-RA, AH002533-RA	FUN_010734-T1, FUN_028075-T1, FUN_047368-T1, FUN_024354-T1, FUN_004586-T1, FUN_047334-T1
OG0003993	AH015729-RA	FUN_044729-T2, FUN_044729-T3, FUN_044729-T1
OG0003994	AH004138-RA	FUN_033392-T1, FUN_033392-T3, FUN_033392-T2
OG0003995	AH005042-RA, AH004371-RA	FUN_032593-T1, FUN_023388-T1
OG0003995	AH015789-RA	FUN_029171-T1, FUN_029172-T1
OG0003996	AH017067-RA	FUN_006031-T1
OG0003997	AH020658-RA	FUN_040447-T1
OG0003999	AH021236-RA	FUN_040403-T1, FUN_040403-T2
OG0004000	AH017601-RA	FUN_011044-T1
OG0004001	AH005471-RA, AH004128-RA	FUN_033528-T2, FUN_033527-T1, FUN_033528-T3, FUN_033528-T1
OG0004002	AH004045-RA, AH005554-RA	FUN_033882-T1, FUN_023497-T1
OG0004003	AH004635-RA, AH004715-RA	FUN_009126-T1
OG0004004	AH001104-RA	FUN_031719-T1
OG0004005	AH006696-RA	FUN_004468-T1
OG0004006	AH002927-RA	FUN_011290-T1
OG0004008	AH000022-RA	FUN_005673-T1, FUN_053021-T1, FUN_005669-T1
OG0004009	AH004312-RA, AH004977-RA	FUN_003892-T1, FUN_028973-T1
OG0004010	AH003105-RA	FUN_003902-T1, FUN_003902-T3, FUN_003902-T2
OG0004026	AH022493-RA	FUN_015470-T3, FUN_015470-T2
OG0004026	AH013149-RA	FUN_015470-T1
OG0004027	AH020459-RA	FUN_004486-T1, FUN_032723-T1
OG0004028	AH000798-RA	FUN_045756-T1
OG0004030	AH009112-RA	FUN_049655-T1, FUN_036983-T1
OG0004031	AH022549-RA, AH013698-RA	FUN_047934-T1
OG0004032	AH021603-RA, AH015114-RA	FUN_053041-T1
OG0004033	AH007282-RA, AH022714-RA	FUN_049345-T2, FUN_049345-T1
OG0004034	AH006506-RA	FUN_003516-T2, FUN_003516-T3, FUN_003516-T4, FUN_003516-T1
OG0004035	AH013763-RA	FUN_024642-T1
OG0004036	AH005989-RA	FUN_016960-T1, FUN_016961-T1
OG0004036	AH005991-RA	FUN_016970-T1
OG0004037	AH011117-RA, AH007472-RA, AH007473-RA	FUN_052540-T1, FUN_052531-T1
OG0004038	AH010164-RA	FUN_002890-T4, FUN_002890-T2, FUN_002890-T1, FUN_002890-T3
OG0004039	AH017274-RA	FUN_044941-T1
OG0004039	AH010462-RA, AH004075-RA, AH003567-RA, AH011247-RA	FUN_052356-T1
OG0004040	AH014769-RA	FUN_014490-T1
OG0004040	AH007775-RA	FUN_002521-T1
OG0004043	AH000383-RA, AH001502-RA	FUN_015681-T1
OG0004044	AH002104-RA, AH000474-RA	FUN_051386-T1
OG0004045	AH023132-RA, AH016339-RA	FUN_030425-T1, FUN_019065-T1
OG0004046	AH022206-RA	FUN_025068-T1
OG0004046	AH020552-RA	FUN_003552-T1, FUN_034063-T1
OG0004047	AH009631-RA	FUN_037315-T1
OG0004048	AH011012-RA	FUN_036365-T1, FUN_036365-T4, FUN_036365-T2, FUN_036365-T3
OG0004049	AH003748-RA	FUN_007836-T1
OG0004050	AH019080-RA	FUN_008170-T4, FUN_008170-T2, FUN_008170-T3, FUN_008170-T1
OG0004051	AH012802-RA	FUN_014595-T1
OG0004052	AH012962-RA	FUN_042949-T1, FUN_042949-T2, FUN_024751-T1
OG0004054	AH007674-RA	FUN_000301-T1, FUN_000100-T1
OG0004055	AH015666-RA	FUN_018868-T1
OG0004056	AH002661-RA	FUN_051255-T1
OG0004058	AH002604-RA	FUN_000659-T2
OG0004058	AH017783-RA	FUN_000659-T1
OG0004059	AH008069-RA, AH010039-RA, AH010036-RA	FUN_033198-T1, FUN_033198-T2, FUN_033198-T3
OG0004060	AH021308-RA	FUN_034740-T1
OG0004061	AH017496-RA, AH002890-RA, AH002889-RA	FUN_049158-T1, FUN_046718-T1, FUN_011207-T1
OG0004061	AH011727-RA, AH020025-RA	FUN_011208-T1
OG0004062	AH015527-RA	FUN_006723-T1
OG0004063	AH006860-RA	FUN_004811-T2, FUN_004811-T1, FUN_032974-T1
OG0004064	AH013108-RA	FUN_050464-T1, FUN_025021-T2, FUN_025021-T1, FUN_023600-T1
OG0004066	AH012650-RA	FUN_039140-T1
OG0004067	AH021336-RA	FUN_004146-T1
OG0004068	AH012676-RA	FUN_006623-T1
OG0004069	AH020087-RA, AH011656-RA	FUN_006516-T1, FUN_022367-T1
OG0004070	AH022619-RA	FUN_024655-T3, FUN_024655-T4, FUN_024655-T1, FUN_024655-T2, FUN_042818-T2, FUN_042818-T3, FUN_042818-T1
OG0004071	AH021940-RA	FUN_042770-T1
OG0004071	AH010456-RA	FUN_051424-T1, FUN_000490-T1
OG0004072	AH018953-RA	FUN_018727-T1
OG0004073	AH010952-RA	FUN_036369-T3, FUN_036369-T1, FUN_036369-T2
OG0004074	AH013675-RA	FUN_047890-T1, FUN_009636-T1, FUN_009636-T2
OG0004075	AH004262-RA	FUN_029432-T1
OG0004076	AH013159-RA	FUN_025917-T1, FUN_025917-T5, FUN_025917-T3, FUN_025917-T4, FUN_025917-T2
OG0004077	AH019845-RA	FUN_014896-T1
OG0004078	AH020083-RA	FUN_006526-T2, FUN_006526-T1
OG0004078	AH011135-RA	FUN_052519-T2, FUN_052519-T1
OG0004079	AH019834-RA	FUN_000622-T2, FUN_000622-T1
OG0004080	AH001930-RA, AH013250-RA	FUN_048746-T1
OG0004081	AH007770-RA, AH010838-RA	FUN_002533-T1
OG0004082	AH009468-RA	FUN_037600-T2, FUN_037600-T1
OG0004083	AH006002-RA	FUN_017012-T3, FUN_017012-T2, FUN_017012-T1
OG0004084	AH011114-RA, AH007476-RA	FUN_052549-T1, FUN_036240-T1
OG0004084	AH011710-RA	FUN_014086-T1
OG0004085	AH006457-RA	FUN_031110-T1
OG0004086	AH005281-RA	FUN_000826-T1, FUN_000826-T2, FUN_000826-T4, FUN_000826-T3
OG0004087	AH003294-RA	FUN_035835-T1
OG0004088	AH008807-RA	FUN_038057-T1, FUN_048571-T1
OG0004089	AH018132-RA, AH011338-RA	FUN_018408-T1, FUN_018408-T2, FUN_041180-T1, FUN_039999-T2, FUN_039999-T3, FUN_039999-T1
OG0004090	AH006135-RA	FUN_052814-T1
OG0004090	AH016665-RA	FUN_024543-T1
OG0004091	AH008808-RA	FUN_038055-T1, FUN_038056-T1
OG0004093	AH000985-RA, AH001684-RA, AH001685-RA	FUN_047251-T1
OG0004094	AH005865-RA	FUN_008640-T3, FUN_008640-T1, FUN_008640-T2
OG0004095	AH003886-RA	FUN_001781-T1, FUN_030530-T1
OG0004096	AH022832-RA	FUN_016728-T1
OG0004097	AH008866-RA	FUN_044276-T2, FUN_044276-T1
OG0004098	AH003679-RA	FUN_004335-T1, FUN_004335-T2
OG0004099	AH001898-RA	FUN_002378-T1
OG0004100	AH007267-RA	FUN_045255-T1, FUN_045255-T2
OG0004101	AH003279-RA, AH010366-RA	FUN_035903-T1
OG0004102	AH002308-RA	FUN_028049-T1
OG0004103	AH008964-RA	FUN_049762-T1, FUN_049762-T2
OG0004104	AH004205-RA, AH005291-RA	FUN_016340-T2, FUN_016340-T3, FUN_016340-T1
OG0004105	AH000639-RA	FUN_052197-T1
OG0004106	AH003839-RA	FUN_009487-T1, FUN_001651-T1, FUN_009487-T2, FUN_001651-T3, FUN_001651-T2
OG0004107	AH003589-RA	FUN_004180-T1
OG0004108	AH002337-RA	FUN_020204-T1
OG0004109	AH005613-RA	FUN_003936-T1, FUN_030229-T1
OG0004110	AH001409-RA	FUN_020738-T1
OG0004111	AH005695-RA, AH003878-RA	FUN_030556-T1
OG0004112	AH001585-RA, AH000920-RA	FUN_051815-T1
OG0004113	AH005078-RA	FUN_028280-T2, FUN_028280-T1
OG0004114	AH014737-RA, AH021320-RA	FUN_023878-T1
OG0004115	AH011594-RA	FUN_014895-T2, FUN_014895-T1
OG0004116	AH005902-RA	FUN_025427-T1, FUN_025428-T1, FUN_031259-T1
OG0004117	AH002348-RA, AH000744-RA	FUN_046139-T1
OG0004118	AH001878-RA	FUN_002348-T1
OG0004118	AH018875-RA	FUN_042080-T1
OG0004119	AH021446-RA, AH014900-RA	FUN_012180-T1
OG0004121	AH015268-RA	FUN_043245-T1
OG0004122	AH009786-RA	FUN_046391-T1, FUN_046391-T5, FUN_046391-T8, FUN_046391-T6, FUN_046391-T7, FUN_046391-T4, FUN_046391-T3, FUN_046391-T2
OG0004123	AH015067-RA, AH015064-RA, AH015065-RA, AH015069-RA, AH015070-RA, AH015066-RA	FUN_035423-T1
OG0004123	AH006845-RA, AH006846-RA, AH006844-RA	FUN_035411-T1
OG0004124	AH002272-RA, AH023231-RA	FUN_018781-T1
OG0004125	AH014384-RA	FUN_034046-T1, FUN_034046-T2
OG0004126	AH000305-RA, AH001380-RA	FUN_015764-T1
OG0004127	AH014746-RA	FUN_034819-T1
OG0004128	AH021193-RA	FUN_012380-T2, FUN_012380-T1
OG0004128	AH008223-RA	FUN_027322-T1
OG0004130	AH017408-RA	FUN_011317-T1
OG0004131	AH013145-RA, AH022496-RA, AH015815-RA	FUN_008075-T1, FUN_008076-T1, FUN_008076-T2
OG0004131	AH012629-RA	FUN_020517-T1
OG0004132	AH003329-RA, AH018087-RA	FUN_018334-T1
OG0004133	AH012287-RA	FUN_025907-T1
OG0004134	AH012084-RA	FUN_013782-T1, FUN_013778-T1
OG0004135	AH013307-RA, AH013306-RA	FUN_049994-T2, FUN_049994-T1
OG0004136	AH002098-RA, AH000470-RA	FUN_006315-T1
OG0004136	AH002097-RA	FUN_006314-T1
OG0004137	AH002293-RA	FUN_052013-T1
OG0004138	AH023237-RA	FUN_020948-T1
OG0004138	AH005885-RA	FUN_026075-T1
OG0004139	AH002734-RA	FUN_029878-T1
OG0004140	AH012239-RA	FUN_015439-T1
OG0004140	AH012273-RA	FUN_006602-T1
OG0004140	AH023584-RA	FUN_037002-T1, FUN_049702-T1
OG0004141	AH014229-RA	FUN_009820-T1, FUN_009820-T2, FUN_009820-T3
OG0004142	AH000356-RA	FUN_006504-T4
OG0004143	AH002051-RA	FUN_006242-T1
OG0004144	AH012991-RA, AH022031-RA	FUN_000589-T1, FUN_029853-T1
OG0004144	AH012990-RA	FUN_032365-T1
OG0004145	AH018715-RA	FUN_018695-T1
OG0004146	AH009056-RA	FUN_049564-T1, FUN_049564-T2
OG0004147	AH013972-RA	FUN_026067-T2, FUN_026067-T1, FUN_013142-T1
OG0004148	AH011803-RA	FUN_045889-T2, FUN_045889-T1
OG0004149	AH014642-RA	FUN_039735-T3, FUN_039735-T2, FUN_039735-T1
OG0004150	AH017107-RA	FUN_005281-T1, FUN_005281-T2
OG0004153	AH001997-RA	FUN_016255-T1
OG0004153	AH019252-RA	FUN_008425-T1
OG0004154	AH023242-RA, AH016263-RA	FUN_008405-T1
OG0004155	AH020696-RA	FUN_013152-T1, FUN_013151-T1
OG0004156	AH009512-RA	FUN_048232-T1, FUN_037537-T1
OG0004156	AH009514-RA	FUN_048230-T1
OG0004157	AH018294-RA	FUN_019265-T1, FUN_019265-T2
OG0004158	AH012104-RA	FUN_046345-T1, FUN_018116-T1, FUN_047819-T1, FUN_009090-T1, FUN_009090-T2, FUN_009090-T3
OG0004159	AH012698-RA	FUN_020422-T2, FUN_020422-T1, FUN_019137-T3, FUN_019137-T1, FUN_020422-T3, FUN_019137-T2
OG0004160	AH013435-RA	FUN_044888-T1
OG0004160	AH022309-RA	FUN_024067-T1, FUN_024067-T2
OG0004160	AH022308-RA	FUN_050177-T1, FUN_050177-T3, FUN_050177-T2, FUN_050177-T4
OG0004161	AH011365-RA, AH018181-RA	FUN_041214-T1
OG0004162	AH001530-RA	FUN_015869-T1
OG0004163	AH019679-RA, AH011989-RA	FUN_013661-T1, FUN_013661-T2, FUN_008877-T1
OG0004164	AH014001-RA	FUN_008280-T1
OG0004165	AH015314-RA	FUN_008278-T1
OG0004166	AH004246-RA	FUN_033969-T1
OG0004167	AH001217-RA	FUN_017092-T1, FUN_040092-T1
OG0004168	AH011918-RA	FUN_045032-T1
OG0004169	AH019487-RA	FUN_019476-T1
OG0004169	AH003120-RA, AH018737-RA	FUN_018628-T1
OG0004170	AH012443-RA, AH021707-RA	FUN_004063-T1, FUN_004063-T2, FUN_012889-T3, FUN_012889-T2, FUN_012889-T1
OG0004171	AH015951-RA, AH015950-RA, AH023493-RA	FUN_000978-T1
OG0004172	AH007918-RA	FUN_002079-T1
OG0004173	AH000259-RA	FUN_009755-T1, FUN_015532-T1
OG0004174	AH001322-RA, AH006505-RA	FUN_002008-T2, FUN_002008-T3, FUN_002008-T1
OG0004175	AH014732-RA, AH021315-RA	FUN_034750-T1
OG0004176	AH020792-RA	FUN_014031-T1
OG0004178	AH007047-RA	FUN_033250-T1
OG0004179	AH015393-RA	FUN_029240-T1, FUN_018940-T1
OG0004179	AH021708-RA	FUN_020258-T1
OG0004180	AH015386-RA	FUN_042091-T1
OG0004181	AH016005-RA	FUN_039326-T1
OG0004182	AH008217-RA	FUN_044077-T1
OG0004183	AH016171-RA, AH006119-RA	FUN_002438-T1
OG0004184	AH005286-RA	FUN_039747-T2, FUN_039747-T1
OG0004185	AH005676-RA	FUN_020796-T1, FUN_020796-T2, FUN_004333-T1
OG0004186	AH008140-RA	FUN_045886-T1, FUN_012066-T1
OG0004187	AH022725-RA, AH023792-RA, AH016646-RA	FUN_031330-T1, FUN_034828-T1, FUN_034828-T2
OG0004188	AH015638-RA	FUN_030972-T1
OG0004189	AH000431-RA, AH001269-RA	FUN_027436-T4, FUN_027436-T3, FUN_027436-T2, FUN_027436-T1
OG0004190	AH012792-RA	FUN_039449-T1, FUN_039450-T1, FUN_039450-T3, FUN_039450-T2
OG0004191	AH009356-RA	FUN_049486-T1, FUN_049486-T2
OG0004192	AH020852-RA	FUN_014267-T1
OG0004192	AH020158-RA	FUN_014270-T2, FUN_014270-T4, FUN_014270-T1, FUN_014270-T3, FUN_000614-T1
OG0004193	AH022592-RA	FUN_047456-T1
OG0004194	AH020816-RA	FUN_026319-T1
OG0004195	AH015270-RA	FUN_043240-T2, FUN_043240-T1, FUN_036721-T1
OG0004196	AH015037-RA	FUN_035303-T1, FUN_035303-T2, FUN_053069-T2, FUN_053069-T4
OG0004197	AH010009-RA, AH008092-RA	FUN_011986-T1, FUN_046520-T1, FUN_046520-T2
OG0004198	AH014974-RA, AH021494-RA	FUN_035149-T1, FUN_012333-T1
OG0004199	AH022243-RA	FUN_051850-T1, FUN_045635-T3, FUN_045635-T2, FUN_045635-T1
OG0004200	AH023399-RA	FUN_039360-T3, FUN_039360-T2, FUN_039360-T1
OG0004201	AH022010-RA	FUN_029979-T1
OG0004202	AH000169-RA	FUN_027292-T2, FUN_027292-T1
OG0004203	AH014770-RA, AH021350-RA	FUN_020429-T2, FUN_020429-T1
OG0004204	AH011695-RA	FUN_014073-T5, FUN_014073-T2, FUN_014073-T4, FUN_014073-T1, FUN_014073-T3
OG0004205	AH010152-RA	FUN_046722-T1
OG0004206	AH006761-RA	FUN_032820-T1, FUN_032820-T4
OG0004208	AH000086-RA, AH000087-RA	FUN_049560-T1, FUN_034090-T1
OG0004209	AH000179-RA	FUN_020262-T1
OG0004210	AH020402-RA	FUN_032805-T1, FUN_004599-T1
OG0004211	AH014637-RA	FUN_039802-T1
OG0004212	AH012894-RA	FUN_024629-T1
OG0004213	AH018622-RA	FUN_007946-T2, FUN_007946-T1
OG0004214	AH005202-RA, AH004531-RA	FUN_025275-T1, FUN_031823-T2, FUN_031823-T1
OG0004215	AH013614-RA	FUN_025051-T1
OG0004216	AH016970-RA, AH008609-RA	FUN_001504-T1, FUN_001504-T2
OG0004217	AH008429-RA	FUN_001605-T1, FUN_001603-T1
OG0004218	AH012170-RA	FUN_015293-T2, FUN_015293-T1
OG0004219	AH009470-RA	FUN_048306-T1
OG0004220	AH012197-RA	FUN_015309-T1
OG0004222	AH015997-RA	FUN_006002-T1
OG0004223	AH018194-RA	FUN_033598-T2, FUN_033598-T3, FUN_033598-T1
OG0004223	AH011906-RA	FUN_043114-T1
OG0004224	AH008447-RA	FUN_003950-T1
OG0004225	AH011709-RA	FUN_035719-T1, FUN_036735-T1
OG0004226	AH020107-RA, AH007076-RA	FUN_014415-T1
OG0004228	AH010904-RA	FUN_000108-T1
OG0004229	AH012280-RA, AH019477-RA	FUN_033680-T1, FUN_006596-T1
OG0004229	AH012281-RA, AH019478-RA	FUN_015445-T1, FUN_006593-T1, FUN_006595-T1
OG0004230	AH011439-RA	FUN_049565-T1, FUN_036891-T1, FUN_036891-T2
OG0004231	AH017077-RA	FUN_034024-T1
OG0004232	AH013569-RA, AH016715-RA, AH022379-RA	FUN_050342-T1, FUN_025095-T1
OG0004233	AH002558-RA	FUN_010659-T1, FUN_047263-T2, FUN_047263-T1
OG0004234	AH010818-RA, AH007759-RA, AH007758-RA	FUN_002555-T1, FUN_002556-T1
OG0004235	AH004899-RA	FUN_032006-T2, FUN_032006-T1, FUN_032006-T3
OG0004236	AH007883-RA, AH010753-RA	FUN_002684-T1
OG0004237	AH005839-RA	FUN_031076-T1
OG0004238	AH008656-RA	FUN_038827-T3, FUN_038827-T2, FUN_038827-T1
OG0004239	AH003221-RA	FUN_046069-T1
OG0004240	AH004542-RA	FUN_025300-T1, FUN_031856-T1
OG0004241	AH019426-RA	FUN_041438-T1
OG0004242	AH010357-RA	FUN_021729-T2
OG0004242	AH003288-RA, AH010358-RA	FUN_021729-T1
OG0004243	AH001760-RA	FUN_002189-T4, FUN_002189-T3, FUN_002189-T2, FUN_002189-T5, FUN_002189-T1
OG0004244	AH001505-RA	FUN_036153-T1
OG0004245	AH007362-RA	FUN_035950-T1, FUN_035950-T2
OG0004246	AH012927-RA	FUN_042926-T1, FUN_042926-T2, FUN_024735-T1
OG0004247	AH018106-RA	FUN_003136-T1, FUN_041194-T1
OG0004247	AH011329-RA	FUN_018377-T2, FUN_018377-T3, FUN_018377-T1
OG0004248	AH020248-RA, AH006935-RA	FUN_017498-T1, FUN_017498-T3, FUN_017498-T2, FUN_027429-T1
OG0004249	AH011778-RA	FUN_014216-T3, FUN_014216-T5, FUN_014216-T2, FUN_014216-T4
OG0004250	AH005242-RA, AH004252-RA	FUN_020382-T1
OG0004251	AH009363-RA	FUN_037839-T1, FUN_037836-T1, FUN_037836-T2
OG0004252	AH003501-RA	FUN_035215-T1, FUN_014586-T1
OG0004252	AH008445-RA	FUN_026920-T1
OG0004253	AH009715-RA	FUN_049439-T1, FUN_038458-T1
