Orthogroup	A_hypochondriacus.proteins	P_amilis.proteins
OG0000127	AH017358-RA, AH002968-RA	FUN_011381-T1, FUN_011381-T2, FUN_011382-T1, FUN_046977-T2, FUN_046977-T1, FUN_046978-T1, FUN_046974-T2, FUN_046974-T1, FUN_046975-T1
OG0000128	AH013510-RA	FUN_006077-T1
OG0000128	AH013513-RA	FUN_049798-T1, FUN_032866-T1, FUN_032867-T1
OG0000129	AH019248-RA	FUN_008279-T1
OG0000129	AH019249-RA	FUN_008282-T1
OG0000131	AH014578-RA	FUN_028128-T1
OG0000131	AH016864-RA, AH016862-RA, AH003876-RA	FUN_028063-T1, FUN_050388-T1
OG0000131	AH018991-RA, AH013318-RA, AH003875-RA, AH016865-RA, AH013320-RA, AH016866-RA, AH016863-RA, AH014527-RA, AH003877-RA, AH016833-RA, AH016845-RA, AH016868-RA	FUN_032815-T1, FUN_032816-T1, FUN_032812-T1, FUN_032814-T1
OG0000131	AH014582-RA, AH014583-RA, AH014581-RA, AH014580-RA, AH014579-RA, AH009123-RA, AH009120-RA, AH014365-RA, AH014364-RA	FUN_028106-T1
OG0000131	AH020779-RA, AH020778-RA, AH014066-RA, AH020774-RA	FUN_028062-T1
OG0000135	AH022214-RA	FUN_020155-T1
OG0000135	AH016059-RA	FUN_005277-T2, FUN_005277-T1
OG0000135	AH013502-RA	FUN_025181-T1, FUN_050254-T1
OG0000135	AH015896-RA	FUN_005976-T1, FUN_044613-T1
OG0000136	AH017306-RA	FUN_010903-T1, FUN_047448-T1
OG0000136	AH000810-RA, AH002265-RA	FUN_051971-T1, FUN_045727-T1
OG0000137	AH022076-RA, AH022075-RA	FUN_043057-T1, FUN_043055-T1, FUN_043053-T1, FUN_043064-T2, FUN_043059-T1, FUN_043060-T1, FUN_043064-T1, FUN_043058-T1, FUN_043065-T1, FUN_043052-T1, FUN_043051-T1, FUN_043049-T1, FUN_043054-T1, FUN_043056-T1, FUN_043070-T1, FUN_043071-T1, FUN_042992-T1, FUN_042991-T1, FUN_042990-T1, FUN_042989-T1
OG0000137	AH014193-RA, AH012283-RA, AH019476-RA, AH019481-RA, AH014194-RA, AH019421-RA, AH011697-RA, AH012282-RA	FUN_024797-T1
OG0000138	AH016422-RA, AH016421-RA	FUN_030061-T1
OG0000138	AH013724-RA, AH022574-RA	FUN_047956-T1
OG0000139	AH023020-RA	FUN_004597-T1, FUN_004596-T1
OG0000139	AH016410-RA	FUN_019194-T1, FUN_030158-T1, FUN_030157-T1, FUN_004595-T1, FUN_019198-T1
